year_week,count
2019_28,1
2019_31,1
2019_32,1
2019_33,1
2019_34,3
2019_35,8
2019_36,2
2019_37,5
2019_38,5
2019_39,8
2019_40,4
2019_41,5
2019_42,7
2019_43,4
2019_44,6
2019_45,7
2019_46,7
2019_47,9
2019_48,15
2019_49,11
2019_50,14
2019_51,13
2019_52,3
2020_00,13
2020_01,18
2020_02,15
2020_03,18
2020_04,22
2020_05,17
2020_06,27
2020_07,20
2020_08,10
2020_09,20
2020_10,22
2020_11,17
2020_12,27
2020_13,22
2020_14,27
2020_15,28
2020_16,31
2020_17,17
2020_18,14
2020_19,25
2020_20,22
2020_21,19
2020_22,19
2020_23,23
2020_24,24
2020_25,32
2020_26,24
2020_27,30
2020_28,24
2020_29,32
2020_30,25
2020_31,28
2020_32,28
2020_33,41
2020_34,31
2020_35,34
2020_36,28
2020_37,35
2020_38,29
2020_39,33
2020_40,33
2020_41,27
2020_42,28
2020_43,45
2020_44,46
2020_45,38
2020_46,39
2020_47,33
2020_48,40
2020_49,38
2020_50,48
2020_51,43
2020_52,14
2021_00,30
2021_01,38
2021_02,35
2021_03,49
2021_04,47
2021_05,43
2021_06,45
2021_07,49
2021_08,49
2021_09,34
2021_10,51
2021_11,51
2021_12,49
2021_13,45
2021_14,47
2021_15,38
2021_16,49
2021_17,40
2021_18,33
2021_19,39
2021_20,52
2021_21,53
2021_22,56
2021_23,52
2021_24,54
2021_25,43
2021_26,61
2021_27,58
2021_28,45
2021_29,50
2021_30,57
2021_31,64
2021_32,55
2021_33,58
2021_34,71
2021_35,58
2021_36,74
2021_37,63
2021_38,56
2021_39,53
2021_40,49
2021_41,57
2021_42,63
2021_43,72
2021_44,64
2021_45,50
2021_46,51
2021_47,74
2021_48,58
2021_49,57
2021_50,69
2021_51,62
2021_52,15
2022_00,65
2022_01,84
2022_02,75
2022_03,88
2022_04,51
2022_05,79
2022_06,72
2022_07,70
2022_08,73
2022_09,64
2022_10,73
2022_11,79
2022_12,63
2022_13,61
2022_14,69
2022_15,71
2022_16,80
2022_17,77
2022_18,51
2022_19,75
2022_20,76
2022_21,61
2022_22,74
2022_23,76
2022_24,80
2022_25,80
2022_26,78
2022_27,88
2022_28,74
2022_29,75
2022_30,79
2022_31,82
2022_32,66
2022_33,81
2022_34,102
2022_35,77
2022_36,89
2022_37,87
2022_38,76
2022_39,64
2022_40,101
2022_41,89
2022_42,77
2022_43,80
2022_44,90
2022_45,87
2022_46,76
2022_47,91
2022_48,100
2022_49,98
2022_50,90
2022_51,92
2022_52,33
2023_00,64
2023_01,114
2023_02,99
2023_03,100
2023_04,92
2023_05,98
2023_06,100
2023_07,89
2023_08,78
2023_09,97
2023_10,120
2023_11,105
2023_12,107
2023_13,84
2023_14,126
2023_15,97
2023_16,97
2023_17,85
2023_18,107
2023_19,104
2023_20,118
2023_21,111
2023_22,112
2023_23,104
2023_24,103
2023_25,140
2023_26,125
2023_27,109
2023_28,118
2023_29,106
2023_30,120
2023_31,113
2023_32,118
2023_33,108
2023_34,118
2023_35,113
2023_36,130
2023_37,125
2023_38,160
2023_39,124
2023_40,125
2023_41,101
2023_42,126
2023_43,147
2023_44,119
2023_45,121
2023_46,122
2023_47,141
2023_48,132
2023_49,67
