year_week,count
2019_29,1
2019_30,1
2019_32,1
2019_33,1
2019_34,2
2019_35,2
2019_36,1
2019_37,1
2019_38,1
2019_39,2
2019_40,2
2019_41,5
2019_42,4
2019_43,1
2019_44,4
2019_45,7
2019_46,7
2019_47,4
2019_48,4
2019_49,4
2019_50,5
2019_51,7
2019_52,1
2020_00,6
2020_01,7
2020_02,5
2020_03,14
2020_04,6
2020_05,5
2020_06,10
2020_07,17
2020_08,7
2020_09,8
2020_10,13
2020_11,11
2020_12,13
2020_13,12
2020_14,10
2020_15,14
2020_16,9
2020_17,8
2020_18,8
2020_19,13
2020_20,11
2020_21,12
2020_22,6
2020_23,13
2020_24,7
2020_25,19
2020_26,14
2020_27,15
2020_28,12
2020_29,21
2020_30,16
2020_31,15
2020_32,10
2020_33,21
2020_34,17
2020_35,17
2020_36,16
2020_37,18
2020_38,13
2020_39,23
2020_40,18
2020_41,16
2020_42,15
2020_43,18
2020_44,14
2020_45,20
2020_46,17
2020_47,13
2020_48,23
2020_49,18
2020_50,18
2020_51,19
2020_52,3
2021_00,15
2021_01,23
2021_02,18
2021_03,20
2021_04,20
2021_05,24
2021_06,21
2021_07,16
2021_08,15
2021_09,16
2021_10,35
2021_11,24
2021_12,23
2021_13,22
2021_14,20
2021_15,17
2021_16,31
2021_17,20
2021_18,17
2021_19,26
2021_20,33
2021_21,29
2021_22,23
2021_23,31
2021_24,22
2021_25,32
2021_26,28
2021_27,31
2021_28,23
2021_29,32
2021_30,20
2021_31,24
2021_32,23
2021_33,32
2021_34,31
2021_35,26
2021_36,29
2021_37,35
2021_38,27
2021_39,35
2021_40,35
2021_41,37
2021_42,29
2021_43,33
2021_44,38
2021_45,41
2021_46,36
2021_47,32
2021_48,27
2021_49,39
2021_50,27
2021_51,38
2021_52,4
2022_00,29
2022_01,36
2022_02,28
2022_03,38
2022_04,41
2022_05,32
2022_06,35
2022_07,37
2022_08,47
2022_09,31
2022_10,40
2022_11,42
2022_12,40
2022_13,29
2022_14,33
2022_15,26
2022_16,40
2022_17,39
2022_18,39
2022_19,44
2022_20,30
2022_21,34
2022_22,31
2022_23,39
2022_24,37
2022_25,36
2022_26,33
2022_27,39
2022_28,43
2022_29,43
2022_30,41
2022_31,43
2022_32,47
2022_33,54
2022_34,55
2022_35,52
2022_36,43
2022_37,38
2022_38,33
2022_39,53
2022_40,47
2022_41,47
2022_42,46
2022_43,40
2022_44,45
2022_45,32
2022_46,38
2022_47,46
2022_48,47
2022_49,40
2022_50,44
2022_51,43
2022_52,19
2023_00,36
2023_01,44
2023_02,58
2023_03,52
2023_04,53
2023_05,51
2023_06,56
2023_07,47
2023_08,59
2023_09,61
2023_10,45
2023_11,65
2023_12,65
2023_13,53
2023_14,65
2023_15,56
2023_16,49
2023_17,43
2023_18,46
2023_19,65
2023_20,55
2023_21,58
2023_22,66
2023_23,67
2023_24,64
2023_25,52
2023_26,60
2023_27,50
2023_28,62
2023_29,59
2023_30,45
2023_31,69
2023_32,71
2023_33,66
2023_34,69
2023_35,61
2023_36,73
2023_37,60
2023_38,71
2023_39,60
2023_40,69
2023_41,69
2023_42,57
2023_43,71
2023_44,65
2023_45,63
2023_46,56
2023_47,66
2023_48,62
2023_49,29
