year_week,count
2019_29,2
2019_31,1
2019_32,2
2019_33,3
2019_34,2
2019_35,5
2019_36,1
2019_37,4
2019_38,3
2019_39,7
2019_40,5
2019_41,4
2019_42,5
2019_43,5
2019_44,5
2019_45,9
2019_46,4
2019_47,6
2019_48,7
2019_49,12
2019_50,12
2019_51,12
2020_00,8
2020_01,12
2020_02,4
2020_03,12
2020_04,8
2020_05,12
2020_06,10
2020_07,10
2020_08,10
2020_09,11
2020_10,16
2020_11,11
2020_12,10
2020_13,11
2020_14,13
2020_15,15
2020_16,15
2020_17,21
2020_18,12
2020_19,17
2020_20,8
2020_21,17
2020_22,11
2020_23,17
2020_24,15
2020_25,16
2020_26,13
2020_27,19
2020_28,11
2020_29,16
2020_30,12
2020_31,19
2020_32,24
2020_33,18
2020_34,23
2020_35,22
2020_36,17
2020_37,20
2020_38,28
2020_39,23
2020_40,25
2020_41,22
2020_42,23
2020_43,22
2020_44,22
2020_45,18
2020_46,26
2020_47,23
2020_48,25
2020_49,20
2020_50,17
2020_51,33
2020_52,4
2021_00,15
2021_01,35
2021_02,18
2021_03,28
2021_04,29
2021_05,32
2021_06,24
2021_07,24
2021_08,31
2021_09,26
2021_10,28
2021_11,30
2021_12,41
2021_13,26
2021_14,21
2021_15,24
2021_16,36
2021_17,29
2021_18,39
2021_19,34
2021_20,35
2021_21,33
2021_22,34
2021_23,45
2021_24,24
2021_25,35
2021_26,42
2021_27,41
2021_28,49
2021_29,31
2021_30,32
2021_31,33
2021_32,37
2021_33,39
2021_34,42
2021_35,30
2021_36,34
2021_37,37
2021_38,41
2021_39,37
2021_40,30
2021_41,43
2021_42,44
2021_43,34
2021_44,34
2021_45,42
2021_46,31
2021_47,34
2021_48,42
2021_49,44
2021_50,41
2021_51,40
2021_52,4
2022_00,35
2022_01,43
2022_02,48
2022_03,49
2022_04,52
2022_05,36
2022_06,39
2022_07,40
2022_08,44
2022_09,49
2022_10,50
2022_11,52
2022_12,42
2022_13,39
2022_14,55
2022_15,46
2022_16,43
2022_17,51
2022_18,53
2022_19,55
2022_20,47
2022_21,50
2022_22,55
2022_23,53
2022_24,48
2022_25,53
2022_26,48
2022_27,49
2022_28,55
2022_29,60
2022_30,62
2022_31,45
2022_32,61
2022_33,61
2022_34,48
2022_35,56
2022_36,56
2022_37,50
2022_38,64
2022_39,57
2022_40,39
2022_41,50
2022_42,52
2022_43,58
2022_44,60
2022_45,63
2022_46,44
2022_47,72
2022_48,56
2022_49,68
2022_50,65
2022_51,53
2022_52,19
2023_00,49
2023_01,61
2023_02,56
2023_03,72
2023_04,57
2023_05,80
2023_06,68
2023_07,68
2023_08,82
2023_09,74
2023_10,75
2023_11,67
2023_12,65
2023_13,66
2023_14,61
2023_15,70
2023_16,75
2023_17,71
2023_18,83
2023_19,62
2023_20,71
2023_21,72
2023_22,84
2023_23,75
2023_24,82
2023_25,83
2023_26,67
2023_27,74
2023_28,84
2023_29,92
2023_30,67
2023_31,75
2023_32,72
2023_33,81
2023_34,77
2023_35,72
2023_36,78
2023_37,80
2023_38,75
2023_39,76
2023_40,76
2023_41,60
2023_42,79
2023_43,81
2023_44,85
2023_45,87
2023_46,75
2023_47,70
2023_48,69
2023_49,31
