year_week,count
2019_28,1
2019_29,1
2019_30,1
2019_32,1
2019_33,1
2019_34,1
2019_36,2
2019_37,2
2019_38,1
2019_39,6
2019_40,2
2019_41,3
2019_42,6
2019_43,6
2019_44,6
2019_45,2
2019_46,3
2019_47,5
2019_48,4
2019_49,6
2019_50,8
2019_51,4
2019_52,1
2020_00,6
2020_01,9
2020_02,5
2020_03,6
2020_04,9
2020_05,14
2020_06,3
2020_07,10
2020_08,5
2020_09,12
2020_10,3
2020_11,7
2020_12,7
2020_13,10
2020_14,10
2020_15,7
2020_16,14
2020_17,8
2020_19,11
2020_20,15
2020_21,6
2020_22,10
2020_23,9
2020_24,11
2020_25,13
2020_26,12
2020_27,15
2020_28,11
2020_29,11
2020_30,15
2020_31,9
2020_32,13
2020_33,6
2020_34,14
2020_35,19
2020_36,14
2020_37,9
2020_38,12
2020_39,13
2020_40,17
2020_41,15
2020_42,12
2020_43,18
2020_44,13
2020_45,14
2020_46,16
2020_47,14
2020_48,11
2020_49,10
2020_50,14
2020_51,13
2020_52,10
2021_00,13
2021_01,25
2021_02,17
2021_03,12
2021_04,16
2021_05,20
2021_06,16
2021_07,15
2021_08,16
2021_09,30
2021_10,18
2021_11,25
2021_12,27
2021_13,14
2021_14,22
2021_15,15
2021_16,16
2021_17,25
2021_18,22
2021_19,23
2021_20,17
2021_21,23
2021_22,28
2021_23,19
2021_24,21
2021_25,24
2021_26,21
2021_27,25
2021_28,25
2021_29,16
2021_30,15
2021_31,24
2021_32,23
2021_33,26
2021_34,34
2021_35,27
2021_36,28
2021_37,19
2021_38,35
2021_39,23
2021_40,23
2021_41,19
2021_42,15
2021_43,28
2021_44,27
2021_45,33
2021_46,32
2021_47,24
2021_48,20
2021_49,16
2021_50,25
2021_51,27
2021_52,4
2022_00,28
2022_01,34
2022_02,40
2022_03,29
2022_04,32
2022_05,29
2022_06,25
2022_07,30
2022_08,38
2022_09,34
2022_10,39
2022_11,31
2022_12,36
2022_13,25
2022_14,44
2022_15,36
2022_16,39
2022_17,36
2022_18,45
2022_19,45
2022_20,35
2022_21,43
2022_22,36
2022_23,45
2022_24,29
2022_25,31
2022_26,37
2022_27,40
2022_28,37
2022_29,37
2022_30,45
2022_31,45
2022_32,51
2022_33,34
2022_34,42
2022_35,30
2022_36,37
2022_37,37
2022_38,41
2022_39,48
2022_40,42
2022_41,39
2022_42,44
2022_43,39
2022_44,48
2022_45,42
2022_46,53
2022_47,32
2022_48,48
2022_49,61
2022_50,39
2022_51,36
2022_52,18
2023_00,35
2023_01,47
2023_02,36
2023_03,43
2023_04,35
2023_05,51
2023_06,47
2023_07,51
2023_08,44
2023_09,57
2023_10,48
2023_11,46
2023_12,40
2023_13,50
2023_14,50
2023_15,48
2023_16,49
2023_17,49
2023_18,36
2023_19,44
2023_20,27
2023_21,41
2023_22,44
2023_23,52
2023_24,57
2023_25,45
2023_26,45
2023_27,51
2023_28,62
2023_29,50
2023_30,62
2023_31,51
2023_32,54
2023_33,55
2023_34,66
2023_35,66
2023_36,50
2023_37,61
2023_38,33
2023_39,36
2023_40,54
2023_41,58
2023_42,51
2023_43,45
2023_44,62
2023_45,55
2023_46,57
2023_47,53
2023_48,59
2023_49,17
