year_week,count
2019_28,1
2019_29,1
2019_30,3
2019_32,1
2019_33,1
2019_34,3
2019_35,1
2019_36,1
2019_37,2
2019_38,10
2019_39,2
2019_40,9
2019_41,6
2019_42,5
2019_43,13
2019_44,11
2019_45,9
2019_46,5
2019_47,6
2019_48,7
2019_49,8
2019_50,8
2019_51,15
2019_52,2
2020_00,9
2020_01,15
2020_02,13
2020_03,6
2020_04,9
2020_05,10
2020_06,9
2020_07,8
2020_08,12
2020_09,14
2020_10,8
2020_11,13
2020_12,14
2020_13,13
2020_14,20
2020_15,11
2020_16,15
2020_17,14
2020_18,18
2020_19,24
2020_20,20
2020_21,28
2020_22,15
2020_23,28
2020_24,14
2020_25,28
2020_26,29
2020_27,20
2020_28,21
2020_29,22
2020_30,12
2020_31,30
2020_32,18
2020_33,27
2020_34,16
2020_35,17
2020_36,28
2020_37,20
2020_38,29
2020_39,26
2020_40,27
2020_41,21
2020_42,19
2020_43,27
2020_44,35
2020_45,26
2020_46,20
2020_47,22
2020_48,38
2020_49,20
2020_50,32
2020_51,23
2020_52,4
2021_00,27
2021_01,27
2021_02,32
2021_03,32
2021_04,29
2021_05,30
2021_06,23
2021_07,40
2021_08,35
2021_09,37
2021_10,30
2021_11,39
2021_12,39
2021_13,30
2021_14,28
2021_15,36
2021_16,33
2021_17,36
2021_18,40
2021_19,37
2021_20,30
2021_21,37
2021_22,39
2021_23,38
2021_24,42
2021_25,38
2021_26,33
2021_27,43
2021_28,39
2021_29,40
2021_30,36
2021_31,37
2021_32,40
2021_33,42
2021_34,46
2021_35,42
2021_36,49
2021_37,36
2021_38,49
2021_39,46
2021_40,51
2021_41,44
2021_42,31
2021_43,51
2021_44,38
2021_45,54
2021_46,47
2021_47,61
2021_48,63
2021_49,44
2021_50,65
2021_51,53
2021_52,12
2022_00,41
2022_01,48
2022_02,43
2022_03,51
2022_04,50
2022_05,54
2022_06,64
2022_07,63
2022_08,65
2022_09,60
2022_10,58
2022_11,69
2022_12,57
2022_13,58
2022_14,68
2022_15,58
2022_16,64
2022_17,55
2022_18,65
2022_19,69
2022_20,63
2022_21,58
2022_22,54
2022_23,57
2022_24,63
2022_25,69
2022_26,73
2022_27,75
2022_28,65
2022_29,62
2022_30,82
2022_31,61
2022_32,60
2022_33,63
2022_34,53
2022_35,74
2022_36,65
2022_37,71
2022_38,85
2022_39,76
2022_40,84
2022_41,69
2022_42,70
2022_43,82
2022_44,58
2022_45,75
2022_46,77
2022_47,73
2022_48,62
2022_49,82
2022_50,66
2022_51,91
2022_52,23
2023_00,71
2023_01,77
2023_02,75
2023_03,64
2023_04,96
2023_05,93
2023_06,96
2023_07,84
2023_08,91
2023_09,107
2023_10,77
2023_11,97
2023_12,81
2023_13,78
2023_14,95
2023_15,75
2023_16,96
2023_17,95
2023_18,81
2023_19,88
2023_20,72
2023_21,74
2023_22,91
2023_23,108
2023_24,81
2023_25,97
2023_26,74
2023_27,100
2023_28,93
2023_29,101
2023_30,90
2023_31,93
2023_32,89
2023_33,90
2023_34,98
2023_35,86
2023_36,96
2023_37,75
2023_38,81
2023_39,97
2023_40,93
2023_41,93
2023_42,84
2023_43,119
2023_44,90
2023_45,95
2023_46,113
2023_47,100
2023_48,91
2023_49,40
