year_week,count
2019_28,1
2019_31,1
2019_33,1
2019_34,1
2019_35,2
2019_36,2
2019_37,6
2019_38,3
2019_39,6
2019_40,5
2019_41,4
2019_42,7
2019_43,5
2019_44,5
2019_45,2
2019_46,6
2019_47,10
2019_48,7
2019_49,9
2019_50,6
2019_51,6
2019_52,3
2020_00,9
2020_01,11
2020_02,8
2020_03,12
2020_04,20
2020_05,8
2020_06,14
2020_07,12
2020_08,8
2020_09,14
2020_10,12
2020_11,15
2020_12,15
2020_13,19
2020_14,27
2020_15,12
2020_16,13
2020_17,16
2020_18,14
2020_19,20
2020_20,19
2020_21,20
2020_22,15
2020_23,15
2020_24,16
2020_25,16
2020_26,20
2020_27,12
2020_28,26
2020_29,22
2020_30,20
2020_31,21
2020_32,21
2020_33,20
2020_34,23
2020_35,26
2020_36,35
2020_37,29
2020_38,43
2020_39,24
2020_40,25
2020_41,24
2020_42,29
2020_43,27
2020_44,33
2020_45,27
2020_46,29
2020_47,27
2020_48,22
2020_49,26
2020_50,34
2020_51,31
2020_52,5
2021_00,20
2021_01,33
2021_02,18
2021_03,26
2021_04,41
2021_05,33
2021_06,21
2021_07,34
2021_08,33
2021_09,30
2021_10,42
2021_11,36
2021_12,38
2021_13,38
2021_14,34
2021_15,38
2021_16,33
2021_17,27
2021_18,39
2021_19,40
2021_20,27
2021_21,27
2021_22,40
2021_23,42
2021_24,37
2021_25,37
2021_26,39
2021_27,26
2021_28,31
2021_29,32
2021_30,37
2021_31,33
2021_32,48
2021_33,43
2021_34,47
2021_35,37
2021_36,40
2021_37,37
2021_38,39
2021_39,40
2021_40,41
2021_41,43
2021_42,37
2021_43,53
2021_44,44
2021_45,47
2021_46,46
2021_47,52
2021_48,51
2021_49,57
2021_50,49
2021_51,60
2021_52,10
2022_00,48
2022_01,45
2022_02,51
2022_03,46
2022_04,39
2022_05,64
2022_06,55
2022_07,53
2022_08,60
2022_09,56
2022_10,55
2022_11,51
2022_12,67
2022_13,44
2022_14,39
2022_15,42
2022_16,41
2022_17,49
2022_18,61
2022_19,61
2022_20,53
2022_21,51
2022_22,70
2022_23,51
2022_24,45
2022_25,51
2022_26,61
2022_27,55
2022_28,58
2022_29,60
2022_30,68
2022_31,70
2022_32,48
2022_33,64
2022_34,64
2022_35,60
2022_36,61
2022_37,60
2022_38,58
2022_39,62
2022_40,61
2022_41,66
2022_42,57
2022_43,65
2022_44,62
2022_45,70
2022_46,67
2022_47,66
2022_48,66
2022_49,70
2022_50,56
2022_51,82
2022_52,24
2023_00,55
2023_01,73
2023_02,85
2023_03,66
2023_04,80
2023_05,76
2023_06,68
2023_07,84
2023_08,100
2023_09,80
2023_10,74
2023_11,85
2023_12,74
2023_13,81
2023_14,66
2023_15,82
2023_16,67
2023_17,77
2023_18,70
2023_19,80
2023_20,74
2023_21,92
2023_22,88
2023_23,67
2023_24,76
2023_25,94
2023_26,76
2023_27,89
2023_28,78
2023_29,81
2023_30,89
2023_31,108
2023_32,78
2023_33,104
2023_34,92
2023_35,91
2023_36,68
2023_37,97
2023_38,91
2023_39,108
2023_40,89
2023_41,105
2023_42,82
2023_43,83
2023_44,96
2023_45,88
2023_46,107
2023_47,87
2023_48,76
2023_49,30
