year_week,count
2019_31,1
2019_35,2
2019_36,2
2019_41,4
2019_42,2
2019_43,4
2019_44,1
2019_46,1
2019_47,2
2019_48,3
2019_49,5
2019_50,1
2019_51,1
2019_52,1
2020_00,4
2020_01,4
2020_02,7
2020_03,2
2020_04,5
2020_05,2
2020_06,4
2020_07,4
2020_08,2
2020_10,7
2020_11,5
2020_12,3
2020_13,2
2020_14,4
2020_15,6
2020_16,5
2020_17,1
2020_18,7
2020_19,5
2020_20,5
2020_21,7
2020_22,9
2020_23,4
2020_24,4
2020_25,4
2020_26,4
2020_27,8
2020_28,9
2020_29,5
2020_30,6
2020_31,3
2020_32,10
2020_33,3
2020_34,6
2020_35,8
2020_36,4
2020_37,4
2020_38,8
2020_39,4
2020_40,9
2020_41,12
2020_42,6
2020_43,5
2020_44,5
2020_45,6
2020_46,8
2020_47,8
2020_48,7
2020_49,6
2020_50,8
2020_51,4
2020_52,5
2021_00,6
2021_01,9
2021_02,11
2021_03,7
2021_04,12
2021_05,7
2021_06,7
2021_07,10
2021_08,3
2021_09,5
2021_10,16
2021_11,8
2021_12,12
2021_13,15
2021_14,7
2021_15,9
2021_16,13
2021_17,10
2021_18,8
2021_19,16
2021_20,14
2021_21,13
2021_22,3
2021_23,9
2021_24,6
2021_25,16
2021_26,11
2021_27,11
2021_28,11
2021_29,11
2021_30,10
2021_31,8
2021_32,8
2021_33,8
2021_34,9
2021_35,8
2021_36,14
2021_37,14
2021_38,7
2021_39,11
2021_40,10
2021_41,11
2021_42,15
2021_43,15
2021_44,10
2021_45,11
2021_46,7
2021_47,10
2021_48,16
2021_49,15
2021_50,12
2021_51,13
2021_52,6
2022_00,14
2022_01,8
2022_02,10
2022_03,13
2022_04,15
2022_05,5
2022_06,16
2022_07,11
2022_08,17
2022_09,20
2022_10,19
2022_11,12
2022_12,17
2022_13,14
2022_14,20
2022_15,16
2022_16,20
2022_17,9
2022_18,23
2022_19,21
2022_20,24
2022_21,22
2022_22,26
2022_23,22
2022_24,23
2022_25,15
2022_26,10
2022_27,15
2022_28,17
2022_29,29
2022_30,16
2022_31,16
2022_32,21
2022_33,19
2022_34,26
2022_35,18
2022_36,20
2022_37,13
2022_38,16
2022_39,19
2022_40,19
2022_41,35
2022_42,13
2022_43,29
2022_44,16
2022_45,27
2022_46,17
2022_47,15
2022_48,22
2022_49,19
2022_50,23
2022_51,20
2022_52,11
2023_00,16
2023_01,29
2023_02,22
2023_03,21
2023_04,15
2023_05,12
2023_06,14
2023_07,17
2023_08,21
2023_09,16
2023_10,22
2023_11,20
2023_12,22
2023_13,28
2023_14,16
2023_15,15
2023_16,21
2023_17,25
2023_18,24
2023_19,23
2023_20,15
2023_21,22
2023_22,16
2023_23,22
2023_24,30
2023_25,20
2023_26,20
2023_27,29
2023_28,19
2023_29,19
2023_30,14
2023_31,26
2023_32,36
2023_33,33
2023_34,38
2023_35,17
2023_36,20
2023_37,28
2023_38,18
2023_39,22
2023_40,20
2023_41,12
2023_42,21
2023_43,29
2023_44,23
2023_45,26
2023_46,17
2023_47,25
2023_48,26
2023_49,10
