year_week,count
2019_27,1
2019_28,1
2019_29,1
2019_30,5
2019_31,2
2019_32,2
2019_33,2
2019_34,7
2019_35,3
2019_36,6
2019_37,3
2019_38,7
2019_39,9
2019_40,6
2019_41,5
2019_42,8
2019_43,11
2019_44,16
2019_45,5
2019_46,9
2019_47,12
2019_48,15
2019_49,11
2019_50,17
2019_51,12
2019_52,2
2020_00,7
2020_01,17
2020_02,14
2020_03,9
2020_04,8
2020_05,19
2020_06,13
2020_07,19
2020_08,12
2020_09,10
2020_10,12
2020_11,23
2020_12,24
2020_13,22
2020_14,13
2020_15,22
2020_16,19
2020_17,18
2020_18,19
2020_19,19
2020_20,22
2020_21,25
2020_22,28
2020_23,23
2020_24,20
2020_25,21
2020_26,22
2020_27,16
2020_28,23
2020_29,19
2020_30,22
2020_31,22
2020_32,21
2020_33,33
2020_34,22
2020_35,28
2020_36,22
2020_37,29
2020_38,32
2020_39,28
2020_40,25
2020_41,30
2020_42,23
2020_43,37
2020_44,27
2020_45,31
2020_46,28
2020_47,24
2020_48,35
2020_49,45
2020_50,41
2020_51,38
2020_52,13
2021_00,23
2021_01,43
2021_02,37
2021_03,26
2021_04,23
2021_05,31
2021_06,37
2021_07,33
2021_08,40
2021_09,35
2021_10,44
2021_11,39
2021_12,44
2021_13,27
2021_14,45
2021_15,46
2021_16,39
2021_17,39
2021_18,47
2021_19,33
2021_20,38
2021_21,43
2021_22,35
2021_23,43
2021_24,30
2021_25,40
2021_26,50
2021_27,43
2021_28,45
2021_29,41
2021_30,39
2021_31,37
2021_32,38
2021_33,42
2021_34,41
2021_35,54
2021_36,48
2021_37,50
2021_38,50
2021_39,50
2021_40,44
2021_41,50
2021_42,51
2021_43,49
2021_44,49
2021_45,52
2021_46,51
2021_47,58
2021_48,60
2021_49,54
2021_50,53
2021_51,65
2021_52,18
2022_00,57
2022_01,57
2022_02,51
2022_03,70
2022_04,72
2022_05,51
2022_06,55
2022_07,59
2022_08,49
2022_09,81
2022_10,60
2022_11,52
2022_12,73
2022_13,69
2022_14,64
2022_15,63
2022_16,66
2022_17,56
2022_18,67
2022_19,70
2022_20,86
2022_21,62
2022_22,63
2022_23,67
2022_24,60
2022_25,83
2022_26,68
2022_27,72
2022_28,71
2022_29,80
2022_30,64
2022_31,83
2022_32,79
2022_33,70
2022_34,87
2022_35,76
2022_36,72
2022_37,68
2022_38,71
2022_39,85
2022_40,92
2022_41,91
2022_42,71
2022_43,91
2022_44,94
2022_45,85
2022_46,83
2022_47,82
2022_48,106
2022_49,71
2022_50,92
2022_51,71
2022_52,20
2023_00,66
2023_01,94
2023_02,78
2023_03,85
2023_04,91
2023_05,92
2023_06,74
2023_07,109
2023_08,99
2023_09,93
2023_10,82
2023_11,94
2023_12,85
2023_13,85
2023_14,96
2023_15,92
2023_16,92
2023_17,73
2023_18,112
2023_19,98
2023_20,110
2023_21,104
2023_22,87
2023_23,90
2023_24,96
2023_25,101
2023_26,89
2023_27,104
2023_28,95
2023_29,105
2023_30,100
2023_31,101
2023_32,95
2023_33,103
2023_34,92
2023_35,123
2023_36,102
2023_37,95
2023_38,114
2023_39,97
2023_40,109
2023_41,98
2023_42,106
2023_43,112
2023_44,135
2023_45,94
2023_46,107
2023_47,117
2023_48,119
2023_49,52
