year_week,count
2019_28,1
2019_29,2
2019_30,9
2019_31,4
2019_32,7
2019_33,6
2019_34,4
2019_35,15
2019_36,18
2019_37,17
2019_38,13
2019_39,28
2019_40,22
2019_41,31
2019_42,22
2019_43,30
2019_44,27
2019_45,33
2019_46,29
2019_47,46
2019_48,36
2019_49,29
2019_50,42
2019_51,36
2019_52,7
2020_00,39
2020_01,57
2020_02,56
2020_03,62
2020_04,41
2020_05,68
2020_06,53
2020_07,63
2020_08,62
2020_09,56
2020_10,80
2020_11,46
2020_12,80
2020_13,72
2020_14,86
2020_15,64
2020_16,70
2020_17,73
2020_18,67
2020_19,79
2020_20,81
2020_21,75
2020_22,83
2020_23,89
2020_24,94
2020_25,81
2020_26,89
2020_27,83
2020_28,82
2020_29,87
2020_30,83
2020_31,86
2020_32,84
2020_33,95
2020_34,90
2020_35,112
2020_36,71
2020_37,78
2020_38,117
2020_39,102
2020_40,101
2020_41,100
2020_42,106
2020_43,118
2020_44,95
2020_45,107
2020_46,99
2020_47,141
2020_48,124
2020_49,150
2020_50,133
2020_51,122
2020_52,42
2021_00,111
2021_01,130
2021_02,133
2021_03,146
2021_04,139
2021_05,122
2021_06,139
2021_07,144
2021_08,136
2021_09,122
2021_10,134
2021_11,167
2021_12,132
2021_13,136
2021_14,162
2021_15,140
2021_16,149
2021_17,155
2021_18,153
2021_19,151
2021_20,173
2021_21,169
2021_22,176
2021_23,179
2021_24,146
2021_25,165
2021_26,166
2021_27,153
2021_28,175
2021_29,165
2021_30,197
2021_31,188
2021_32,176
2021_33,180
2021_34,223
2021_35,178
2021_36,201
2021_37,169
2021_38,184
2021_39,171
2021_40,162
2021_41,187
2021_42,223
2021_43,198
2021_44,210
2021_45,193
2021_46,190
2021_47,215
2021_48,225
2021_49,220
2021_50,219
2021_51,240
2021_52,35
2022_00,194
2022_01,208
2022_02,211
2022_03,218
2022_04,223
2022_05,239
2022_06,221
2022_07,241
2022_08,248
2022_09,226
2022_10,245
2022_11,252
2022_12,257
2022_13,264
2022_14,275
2022_15,227
2022_16,233
2022_17,253
2022_18,270
2022_19,256
2022_20,271
2022_21,262
2022_22,268
2022_23,286
2022_24,262
2022_25,266
2022_26,266
2022_27,277
2022_28,275
2022_29,256
2022_30,260
2022_31,264
2022_32,281
2022_33,275
2022_34,271
2022_35,262
2022_36,297
2022_37,289
2022_38,282
2022_39,286
2022_40,320
2022_41,321
2022_42,339
2022_43,292
2022_44,296
2022_45,318
2022_46,335
2022_47,333
2022_48,317
2022_49,329
2022_50,314
2022_51,308
2022_52,111
2023_00,264
2023_01,297
2023_02,301
2023_03,343
2023_04,311
2023_05,319
2023_06,301
2023_07,316
2023_08,326
2023_09,343
2023_10,345
2023_11,321
2023_12,366
2023_13,389
2023_14,380
2023_15,350
2023_16,364
2023_17,312
2023_18,280
2023_19,345
2023_20,339
2023_21,358
2023_22,379
2023_23,365
2023_24,375
2023_25,397
2023_26,344
2023_27,374
2023_28,388
2023_29,415
2023_30,407
2023_31,400
2023_32,365
2023_33,408
2023_34,384
2023_35,376
2023_36,399
2023_37,402
2023_38,382
2023_39,383
2023_40,425
2023_41,371
2023_42,394
2023_43,414
2023_44,391
2023_45,412
2023_46,388
2023_47,391
2023_48,426
2023_49,177
