year_week,count
2019_27,1
2019_30,1
2019_33,1
2019_34,2
2019_35,1
2019_36,1
2019_37,2
2019_39,1
2019_40,2
2019_41,2
2019_42,3
2019_43,3
2019_44,3
2019_45,2
2019_46,3
2019_47,2
2019_48,2
2019_49,4
2019_50,3
2019_51,6
2019_52,1
2020_01,1
2020_02,2
2020_04,7
2020_05,5
2020_06,7
2020_07,3
2020_08,6
2020_09,1
2020_10,4
2020_11,11
2020_12,5
2020_13,6
2020_14,4
2020_15,6
2020_16,7
2020_17,5
2020_18,5
2020_19,3
2020_20,9
2020_21,5
2020_22,6
2020_23,7
2020_24,5
2020_25,3
2020_26,4
2020_27,1
2020_28,8
2020_29,4
2020_30,4
2020_31,3
2020_32,8
2020_33,11
2020_34,11
2020_35,4
2020_36,8
2020_37,6
2020_38,9
2020_39,6
2020_40,9
2020_41,5
2020_42,8
2020_43,9
2020_44,15
2020_45,10
2020_46,5
2020_47,9
2020_48,7
2020_49,6
2020_50,4
2020_51,8
2020_52,3
2021_00,4
2021_01,12
2021_02,13
2021_03,9
2021_04,8
2021_05,10
2021_06,7
2021_07,7
2021_08,6
2021_09,17
2021_10,15
2021_11,13
2021_12,9
2021_13,14
2021_14,13
2021_15,10
2021_16,9
2021_17,13
2021_18,4
2021_19,6
2021_20,12
2021_21,12
2021_22,9
2021_23,7
2021_24,7
2021_25,13
2021_26,13
2021_27,5
2021_28,9
2021_29,13
2021_30,16
2021_31,13
2021_32,15
2021_33,11
2021_34,9
2021_35,12
2021_36,10
2021_37,11
2021_38,13
2021_39,11
2021_40,10
2021_41,13
2021_42,15
2021_43,13
2021_44,14
2021_45,17
2021_46,21
2021_47,12
2021_48,20
2021_49,21
2021_50,21
2021_51,16
2021_52,4
2022_00,14
2022_01,13
2022_02,16
2022_03,16
2022_04,18
2022_05,17
2022_06,12
2022_07,18
2022_08,21
2022_09,21
2022_10,23
2022_11,10
2022_12,12
2022_13,12
2022_14,15
2022_15,12
2022_16,23
2022_17,24
2022_18,18
2022_19,25
2022_20,19
2022_21,28
2022_22,25
2022_23,29
2022_24,20
2022_25,18
2022_26,16
2022_27,19
2022_28,18
2022_29,20
2022_30,14
2022_31,21
2022_32,15
2022_33,26
2022_34,21
2022_35,21
2022_36,20
2022_37,17
2022_38,17
2022_39,22
2022_40,32
2022_41,25
2022_42,25
2022_43,21
2022_44,30
2022_45,31
2022_46,26
2022_47,26
2022_48,17
2022_49,28
2022_50,22
2022_51,19
2022_52,5
2023_00,19
2023_01,28
2023_02,23
2023_03,16
2023_04,21
2023_05,20
2023_06,29
2023_07,23
2023_08,19
2023_09,33
2023_10,25
2023_11,21
2023_12,21
2023_13,29
2023_14,28
2023_15,32
2023_16,32
2023_17,24
2023_18,30
2023_19,22
2023_20,18
2023_21,33
2023_22,40
2023_23,20
2023_24,39
2023_25,24
2023_26,30
2023_27,33
2023_28,32
2023_29,22
2023_30,30
2023_31,35
2023_32,24
2023_33,21
2023_34,33
2023_35,21
2023_36,38
2023_37,29
2023_38,26
2023_39,26
2023_40,22
2023_41,18
2023_42,26
2023_43,23
2023_44,25
2023_45,25
2023_46,37
2023_47,33
2023_48,35
2023_49,16
