year_week,count
2019_29,6
2019_30,1
2019_31,3
2019_32,7
2019_33,11
2019_34,5
2019_35,11
2019_36,12
2019_37,12
2019_38,14
2019_39,10
2019_40,15
2019_41,18
2019_42,22
2019_43,29
2019_44,33
2019_45,22
2019_46,25
2019_47,27
2019_48,28
2019_49,33
2019_50,18
2019_51,22
2019_52,4
2020_00,29
2020_01,30
2020_02,27
2020_03,38
2020_04,34
2020_05,50
2020_06,31
2020_07,35
2020_08,42
2020_09,41
2020_10,31
2020_11,35
2020_12,58
2020_13,50
2020_14,41
2020_15,40
2020_16,43
2020_17,50
2020_18,44
2020_19,55
2020_20,49
2020_21,59
2020_22,51
2020_23,50
2020_24,69
2020_25,52
2020_26,60
2020_27,46
2020_28,71
2020_29,56
2020_30,61
2020_31,60
2020_32,44
2020_33,67
2020_34,62
2020_35,64
2020_36,60
2020_37,69
2020_38,78
2020_39,59
2020_40,45
2020_41,71
2020_42,64
2020_43,69
2020_44,83
2020_45,71
2020_46,82
2020_47,98
2020_48,88
2020_49,77
2020_50,91
2020_51,89
2020_52,21
2021_00,54
2021_01,86
2021_02,72
2021_03,82
2021_04,86
2021_05,85
2021_06,85
2021_07,87
2021_08,88
2021_09,110
2021_10,85
2021_11,102
2021_12,95
2021_13,113
2021_14,98
2021_15,107
2021_16,108
2021_17,107
2021_18,117
2021_19,112
2021_20,99
2021_21,91
2021_22,111
2021_23,113
2021_24,116
2021_25,90
2021_26,106
2021_27,117
2021_28,101
2021_29,126
2021_30,111
2021_31,125
2021_32,122
2021_33,113
2021_34,130
2021_35,123
2021_36,119
2021_37,133
2021_38,107
2021_39,124
2021_40,126
2021_41,130
2021_42,129
2021_43,113
2021_44,117
2021_45,126
2021_46,140
2021_47,143
2021_48,137
2021_49,148
2021_50,162
2021_51,145
2021_52,34
2022_00,132
2022_01,143
2022_02,149
2022_03,148
2022_04,138
2022_05,122
2022_06,161
2022_07,158
2022_08,139
2022_09,162
2022_10,143
2022_11,162
2022_12,174
2022_13,167
2022_14,180
2022_15,181
2022_16,176
2022_17,150
2022_18,164
2022_19,177
2022_20,192
2022_21,181
2022_22,192
2022_23,203
2022_24,196
2022_25,177
2022_26,189
2022_27,211
2022_28,159
2022_29,189
2022_30,202
2022_31,194
2022_32,177
2022_33,174
2022_34,232
2022_35,184
2022_36,184
2022_37,209
2022_38,182
2022_39,195
2022_40,192
2022_41,202
2022_42,189
2022_43,194
2022_44,225
2022_45,200
2022_46,229
2022_47,223
2022_48,196
2022_49,238
2022_50,220
2022_51,200
2022_52,76
2023_00,166
2023_01,244
2023_02,221
2023_03,220
2023_04,221
2023_05,238
2023_06,237
2023_07,213
2023_08,255
2023_09,255
2023_10,218
2023_11,197
2023_12,234
2023_13,251
2023_14,234
2023_15,248
2023_16,227
2023_17,223
2023_18,240
2023_19,238
2023_20,243
2023_21,274
2023_22,229
2023_23,251
2023_24,274
2023_25,234
2023_26,255
2023_27,270
2023_28,257
2023_29,241
2023_30,280
2023_31,243
2023_32,264
2023_33,235
2023_34,250
2023_35,268
2023_36,228
2023_37,263
2023_38,242
2023_39,255
2023_40,253
2023_41,272
2023_42,293
2023_43,268
2023_44,253
2023_45,283
2023_46,287
2023_47,296
2023_48,268
2023_49,111
