year_week,count
2019_33,1
2019_35,1
2019_36,1
2019_37,2
2019_41,3
2019_42,2
2019_46,2
2019_47,2
2019_49,1
2019_50,1
2019_51,1
2020_00,1
2020_01,1
2020_02,1
2020_03,2
2020_04,1
2020_05,3
2020_06,5
2020_07,1
2020_08,2
2020_09,1
2020_11,2
2020_12,3
2020_13,2
2020_14,4
2020_15,2
2020_16,3
2020_17,2
2020_18,6
2020_19,3
2020_20,5
2020_21,7
2020_22,3
2020_23,3
2020_24,4
2020_25,3
2020_26,1
2020_27,2
2020_28,5
2020_29,5
2020_30,6
2020_31,1
2020_32,6
2020_33,6
2020_34,2
2020_35,5
2020_36,4
2020_37,6
2020_38,2
2020_39,5
2020_40,2
2020_41,2
2020_42,7
2020_43,4
2020_44,8
2020_45,4
2020_46,3
2020_47,3
2020_48,3
2020_49,5
2020_50,1
2020_51,8
2020_52,1
2021_00,7
2021_01,3
2021_02,8
2021_03,7
2021_04,5
2021_05,2
2021_06,3
2021_07,7
2021_08,4
2021_09,5
2021_10,4
2021_11,8
2021_12,6
2021_13,10
2021_14,7
2021_15,6
2021_16,3
2021_17,8
2021_18,7
2021_19,9
2021_20,7
2021_21,2
2021_22,1
2021_23,12
2021_24,9
2021_25,6
2021_26,8
2021_27,4
2021_28,5
2021_29,3
2021_30,5
2021_31,6
2021_32,8
2021_33,12
2021_34,7
2021_35,8
2021_36,12
2021_37,11
2021_38,7
2021_39,11
2021_40,9
2021_41,6
2021_42,9
2021_43,8
2021_44,1
2021_45,11
2021_46,7
2021_47,11
2021_48,7
2021_49,13
2021_50,8
2021_51,10
2021_52,1
2022_00,5
2022_01,3
2022_02,8
2022_03,13
2022_04,10
2022_05,9
2022_06,9
2022_07,8
2022_08,13
2022_09,7
2022_10,9
2022_11,8
2022_12,7
2022_13,9
2022_14,11
2022_15,5
2022_16,6
2022_17,13
2022_18,10
2022_19,16
2022_20,11
2022_21,15
2022_22,13
2022_23,15
2022_24,10
2022_25,7
2022_26,7
2022_27,10
2022_28,12
2022_29,12
2022_30,11
2022_31,12
2022_32,15
2022_33,11
2022_34,12
2022_35,7
2022_36,15
2022_37,7
2022_38,8
2022_39,6
2022_40,16
2022_41,13
2022_42,14
2022_43,14
2022_44,16
2022_45,11
2022_46,12
2022_47,13
2022_48,18
2022_49,15
2022_50,20
2022_51,11
2022_52,5
2023_00,7
2023_01,14
2023_02,13
2023_03,19
2023_04,15
2023_05,19
2023_06,14
2023_07,24
2023_08,21
2023_09,13
2023_10,15
2023_11,9
2023_12,21
2023_13,14
2023_14,15
2023_15,18
2023_16,17
2023_17,14
2023_18,25
2023_19,13
2023_20,15
2023_21,18
2023_22,12
2023_23,14
2023_24,24
2023_25,18
2023_26,15
2023_27,15
2023_28,16
2023_29,13
2023_30,21
2023_31,16
2023_32,13
2023_33,14
2023_34,23
2023_35,14
2023_36,9
2023_37,13
2023_38,8
2023_39,14
2023_40,19
2023_41,16
2023_42,8
2023_43,16
2023_44,20
2023_45,21
2023_46,23
2023_47,21
2023_48,24
2023_49,12
