year_week,count
2019_28,1
2019_34,1
2019_36,2
2019_37,2
2019_38,3
2019_39,2
2019_40,2
2019_41,4
2019_42,3
2019_43,3
2019_44,6
2019_46,4
2019_47,10
2019_48,4
2019_49,4
2019_50,7
2019_51,11
2020_00,4
2020_01,6
2020_02,10
2020_03,10
2020_04,9
2020_05,10
2020_06,7
2020_07,10
2020_08,8
2020_09,14
2020_10,5
2020_11,18
2020_12,12
2020_13,8
2020_14,10
2020_15,10
2020_16,11
2020_17,10
2020_18,13
2020_19,13
2020_20,12
2020_21,6
2020_22,21
2020_23,6
2020_24,8
2020_25,7
2020_26,11
2020_27,17
2020_28,10
2020_29,20
2020_30,14
2020_31,15
2020_32,17
2020_33,12
2020_34,16
2020_35,17
2020_36,18
2020_37,14
2020_38,19
2020_39,14
2020_40,23
2020_41,17
2020_42,13
2020_43,18
2020_44,17
2020_45,17
2020_46,18
2020_47,20
2020_48,18
2020_49,23
2020_50,16
2020_51,18
2020_52,4
2021_00,17
2021_01,22
2021_02,18
2021_03,24
2021_04,32
2021_05,19
2021_06,22
2021_07,24
2021_08,25
2021_09,23
2021_10,23
2021_11,30
2021_12,30
2021_13,21
2021_14,26
2021_15,25
2021_16,19
2021_17,29
2021_18,26
2021_19,23
2021_20,33
2021_21,22
2021_22,24
2021_23,30
2021_24,25
2021_25,19
2021_26,27
2021_27,15
2021_28,25
2021_29,32
2021_30,22
2021_31,32
2021_32,27
2021_33,26
2021_34,33
2021_35,35
2021_36,30
2021_37,31
2021_38,25
2021_39,22
2021_40,42
2021_41,25
2021_42,39
2021_43,36
2021_44,39
2021_45,28
2021_46,31
2021_47,38
2021_48,48
2021_49,33
2021_50,30
2021_51,39
2021_52,7
2022_00,46
2022_01,30
2022_02,34
2022_03,35
2022_04,39
2022_05,31
2022_06,35
2022_07,47
2022_08,30
2022_09,35
2022_10,36
2022_11,32
2022_12,41
2022_13,31
2022_14,41
2022_15,30
2022_16,31
2022_17,34
2022_18,45
2022_19,42
2022_20,34
2022_21,40
2022_22,32
2022_23,36
2022_24,39
2022_25,34
2022_26,29
2022_27,42
2022_28,38
2022_29,50
2022_30,49
2022_31,44
2022_32,27
2022_33,59
2022_34,39
2022_35,47
2022_36,27
2022_37,46
2022_38,37
2022_39,49
2022_40,40
2022_41,40
2022_42,40
2022_43,44
2022_44,52
2022_45,42
2022_46,40
2022_47,40
2022_48,43
2022_49,59
2022_50,59
2022_51,50
2022_52,15
2023_00,38
2023_01,50
2023_02,51
2023_03,60
2023_04,52
2023_05,55
2023_06,48
2023_07,56
2023_08,45
2023_09,56
2023_10,39
2023_11,63
2023_12,46
2023_13,45
2023_14,48
2023_15,51
2023_16,57
2023_17,56
2023_18,44
2023_19,63
2023_20,45
2023_21,52
2023_22,63
2023_23,62
2023_24,59
2023_25,56
2023_26,56
2023_27,56
2023_28,63
2023_29,57
2023_30,55
2023_31,62
2023_32,66
2023_33,55
2023_34,68
2023_35,61
2023_36,56
2023_37,59
2023_38,62
2023_39,63
2023_40,59
2023_41,57
2023_42,61
2023_43,58
2023_44,72
2023_45,56
2023_46,53
2023_47,64
2023_48,72
2023_49,16
