year_week,count
2019_27,1
2019_28,3
2019_29,3
2019_30,10
2019_31,11
2019_32,7
2019_33,12
2019_34,11
2019_35,8
2019_36,26
2019_37,16
2019_38,23
2019_39,35
2019_40,34
2019_41,27
2019_42,37
2019_43,48
2019_44,33
2019_45,40
2019_46,39
2019_47,39
2019_48,44
2019_49,50
2019_50,60
2019_51,44
2019_52,6
2020_00,47
2020_01,48
2020_02,51
2020_03,65
2020_04,67
2020_05,71
2020_06,52
2020_07,64
2020_08,55
2020_09,70
2020_10,75
2020_11,70
2020_12,73
2020_13,61
2020_14,59
2020_15,80
2020_16,80
2020_17,81
2020_18,87
2020_19,96
2020_20,94
2020_21,100
2020_22,108
2020_23,99
2020_24,109
2020_25,88
2020_26,106
2020_27,88
2020_28,128
2020_29,88
2020_30,112
2020_31,98
2020_32,120
2020_33,119
2020_34,106
2020_35,107
2020_36,136
2020_37,101
2020_38,132
2020_39,95
2020_40,123
2020_41,92
2020_42,113
2020_43,101
2020_44,107
2020_45,139
2020_46,121
2020_47,158
2020_48,158
2020_49,151
2020_50,133
2020_51,146
2020_52,40
2021_00,104
2021_01,169
2021_02,133
2021_03,149
2021_04,157
2021_05,138
2021_06,148
2021_07,139
2021_08,168
2021_09,143
2021_10,158
2021_11,175
2021_12,166
2021_13,160
2021_14,183
2021_15,179
2021_16,164
2021_17,186
2021_18,165
2021_19,184
2021_20,178
2021_21,177
2021_22,169
2021_23,163
2021_24,179
2021_25,182
2021_26,188
2021_27,184
2021_28,194
2021_29,217
2021_30,202
2021_31,185
2021_32,213
2021_33,233
2021_34,210
2021_35,203
2021_36,224
2021_37,192
2021_38,202
2021_39,227
2021_40,255
2021_41,232
2021_42,214
2021_43,228
2021_44,209
2021_45,247
2021_46,270
2021_47,248
2021_48,250
2021_49,272
2021_50,267
2021_51,267
2021_52,61
2022_00,244
2022_01,256
2022_02,254
2022_03,263
2022_04,241
2022_05,285
2022_06,252
2022_07,271
2022_08,260
2022_09,279
2022_10,269
2022_11,265
2022_12,299
2022_13,285
2022_14,271
2022_15,282
2022_16,295
2022_17,313
2022_18,328
2022_19,290
2022_20,297
2022_21,322
2022_22,303
2022_23,329
2022_24,340
2022_25,311
2022_26,311
2022_27,336
2022_28,314
2022_29,299
2022_30,296
2022_31,335
2022_32,335
2022_33,336
2022_34,344
2022_35,338
2022_36,360
2022_37,325
2022_38,336
2022_39,310
2022_40,382
2022_41,343
2022_42,363
2022_43,341
2022_44,342
2022_45,374
2022_46,398
2022_47,360
2022_48,345
2022_49,429
2022_50,367
2022_51,372
2022_52,112
2023_00,280
2023_01,406
2023_02,381
2023_03,400
2023_04,366
2023_05,333
2023_06,395
2023_07,396
2023_08,412
2023_09,416
2023_10,386
2023_11,388
2023_12,385
2023_13,435
2023_14,400
2023_15,422
2023_16,386
2023_17,412
2023_18,396
2023_19,423
2023_20,381
2023_21,430
2023_22,408
2023_23,441
2023_24,466
2023_25,436
2023_26,429
2023_27,419
2023_28,405
2023_29,472
2023_30,471
2023_31,438
2023_32,437
2023_33,457
2023_34,468
2023_35,449
2023_36,449
2023_37,430
2023_38,451
2023_39,470
2023_40,502
2023_41,464
2023_42,427
2023_43,447
2023_44,444
2023_45,470
2023_46,490
2023_47,517
2023_48,497
2023_49,196
