year_week,count
2019_29,1
2019_30,2
2019_31,4
2019_32,1
2019_33,5
2019_34,4
2019_35,3
2019_36,3
2019_37,6
2019_38,8
2019_39,9
2019_40,10
2019_41,5
2019_42,11
2019_43,17
2019_44,8
2019_45,12
2019_46,10
2019_47,15
2019_48,16
2019_49,16
2019_50,5
2019_51,16
2019_52,3
2020_00,8
2020_01,21
2020_02,25
2020_03,30
2020_04,38
2020_05,21
2020_06,23
2020_07,27
2020_08,26
2020_09,27
2020_10,34
2020_11,24
2020_12,31
2020_13,28
2020_14,25
2020_15,34
2020_16,34
2020_17,19
2020_18,36
2020_19,30
2020_20,29
2020_21,39
2020_22,50
2020_23,35
2020_24,33
2020_25,31
2020_26,40
2020_27,40
2020_28,44
2020_29,47
2020_30,39
2020_31,42
2020_32,42
2020_33,27
2020_34,44
2020_35,48
2020_36,50
2020_37,54
2020_38,73
2020_39,63
2020_40,45
2020_41,63
2020_42,52
2020_43,62
2020_44,58
2020_45,45
2020_46,68
2020_47,48
2020_48,59
2020_49,58
2020_50,61
2020_51,55
2020_52,10
2021_00,51
2021_01,67
2021_02,57
2021_03,67
2021_04,81
2021_05,59
2021_06,59
2021_07,59
2021_08,71
2021_09,71
2021_10,71
2021_11,65
2021_12,71
2021_13,65
2021_14,83
2021_15,71
2021_16,68
2021_17,63
2021_18,83
2021_19,62
2021_20,77
2021_21,72
2021_22,87
2021_23,81
2021_24,59
2021_25,60
2021_26,71
2021_27,70
2021_28,82
2021_29,84
2021_30,91
2021_31,75
2021_32,96
2021_33,82
2021_34,114
2021_35,102
2021_36,90
2021_37,88
2021_38,77
2021_39,101
2021_40,73
2021_41,88
2021_42,102
2021_43,99
2021_44,101
2021_45,93
2021_46,95
2021_47,92
2021_48,108
2021_49,103
2021_50,86
2021_51,115
2021_52,17
2022_00,90
2022_01,97
2022_02,120
2022_03,105
2022_04,96
2022_05,115
2022_06,92
2022_07,92
2022_08,111
2022_09,108
2022_10,100
2022_11,139
2022_12,97
2022_13,109
2022_14,132
2022_15,90
2022_16,98
2022_17,107
2022_18,93
2022_19,108
2022_20,108
2022_21,99
2022_22,106
2022_23,105
2022_24,112
2022_25,141
2022_26,126
2022_27,119
2022_28,108
2022_29,126
2022_30,130
2022_31,110
2022_32,131
2022_33,134
2022_34,122
2022_35,135
2022_36,155
2022_37,143
2022_38,121
2022_39,133
2022_40,147
2022_41,129
2022_42,130
2022_43,154
2022_44,150
2022_45,130
2022_46,122
2022_47,162
2022_48,157
2022_49,146
2022_50,125
2022_51,106
2022_52,48
2023_00,113
2023_01,142
2023_02,148
2023_03,156
2023_04,155
2023_05,146
2023_06,156
2023_07,162
2023_08,155
2023_09,174
2023_10,152
2023_11,177
2023_12,170
2023_13,135
2023_14,153
2023_15,164
2023_16,158
2023_17,156
2023_18,140
2023_19,153
2023_20,174
2023_21,175
2023_22,164
2023_23,181
2023_24,172
2023_25,166
2023_26,164
2023_27,177
2023_28,164
2023_29,172
2023_30,159
2023_31,173
2023_32,167
2023_33,159
2023_34,175
2023_35,183
2023_36,163
2023_37,202
2023_38,162
2023_39,188
2023_40,181
2023_41,185
2023_42,163
2023_43,209
2023_44,201
2023_45,169
2023_46,185
2023_47,186
2023_48,184
2023_49,71
