year_week,count
2019_30,2
2019_33,1
2019_34,1
2019_38,1
2019_41,1
2019_42,3
2019_44,1
2019_45,2
2019_46,5
2019_47,1
2019_48,1
2019_49,1
2019_50,2
2019_51,1
2020_01,2
2020_02,4
2020_03,3
2020_05,1
2020_07,2
2020_08,2
2020_09,1
2020_10,3
2020_12,5
2020_13,5
2020_14,3
2020_15,5
2020_16,2
2020_18,3
2020_19,3
2020_20,1
2020_21,2
2020_22,3
2020_23,3
2020_24,1
2020_26,2
2020_27,5
2020_28,6
2020_29,6
2020_30,4
2020_31,4
2020_32,3
2020_33,3
2020_34,3
2020_35,3
2020_36,5
2020_37,1
2020_39,2
2020_40,7
2020_41,4
2020_42,1
2020_43,2
2020_44,1
2020_45,3
2020_46,2
2020_47,5
2020_48,7
2020_49,2
2020_50,4
2020_51,3
2020_52,2
2021_00,7
2021_01,4
2021_02,4
2021_03,3
2021_04,3
2021_05,3
2021_06,5
2021_07,5
2021_08,6
2021_09,2
2021_10,6
2021_11,2
2021_12,2
2021_13,5
2021_14,4
2021_15,6
2021_16,6
2021_17,3
2021_18,5
2021_19,4
2021_20,10
2021_21,6
2021_22,7
2021_23,6
2021_24,5
2021_25,9
2021_26,7
2021_27,7
2021_28,6
2021_29,8
2021_30,2
2021_31,6
2021_32,9
2021_33,6
2021_34,5
2021_35,2
2021_36,5
2021_37,10
2021_38,6
2021_39,4
2021_40,9
2021_41,5
2021_42,5
2021_43,4
2021_44,9
2021_45,5
2021_46,9
2021_47,9
2021_48,4
2021_49,5
2021_50,7
2021_51,12
2022_00,10
2022_01,8
2022_02,4
2022_03,11
2022_04,8
2022_05,8
2022_06,9
2022_07,9
2022_08,11
2022_09,11
2022_10,6
2022_11,7
2022_12,5
2022_13,8
2022_14,11
2022_15,7
2022_16,6
2022_17,9
2022_18,7
2022_19,6
2022_20,7
2022_21,7
2022_22,8
2022_23,9
2022_24,6
2022_25,12
2022_26,11
2022_27,9
2022_28,11
2022_29,12
2022_30,7
2022_31,6
2022_32,8
2022_33,7
2022_34,10
2022_35,12
2022_36,5
2022_37,10
2022_38,5
2022_39,7
2022_40,11
2022_41,10
2022_42,12
2022_43,6
2022_44,16
2022_45,7
2022_46,11
2022_47,10
2022_48,10
2022_49,7
2022_50,7
2022_51,10
2022_52,4
2023_00,7
2023_01,11
2023_02,7
2023_03,13
2023_04,13
2023_05,9
2023_06,7
2023_07,9
2023_08,20
2023_09,9
2023_10,14
2023_11,11
2023_12,5
2023_13,13
2023_14,13
2023_15,12
2023_16,9
2023_17,11
2023_18,13
2023_19,12
2023_20,9
2023_21,11
2023_22,14
2023_23,6
2023_24,17
2023_25,11
2023_26,11
2023_27,16
2023_28,8
2023_29,13
2023_30,11
2023_31,12
2023_32,9
2023_33,13
2023_34,17
2023_35,9
2023_36,12
2023_37,19
2023_38,10
2023_39,8
2023_40,13
2023_41,13
2023_42,15
2023_43,9
2023_44,14
2023_45,12
2023_46,12
2023_47,19
2023_48,12
2023_49,8
