year_week,count
2019_28,1
2019_29,2
2019_30,4
2019_31,4
2019_32,4
2019_33,10
2019_34,6
2019_35,5
2019_36,12
2019_37,13
2019_38,17
2019_39,10
2019_40,22
2019_41,16
2019_42,27
2019_43,24
2019_44,25
2019_45,26
2019_46,23
2019_47,28
2019_48,31
2019_49,42
2019_50,36
2019_51,43
2019_52,9
2020_00,33
2020_01,45
2020_02,39
2020_03,35
2020_04,59
2020_05,55
2020_06,49
2020_07,49
2020_08,38
2020_09,81
2020_10,62
2020_11,68
2020_12,59
2020_13,68
2020_14,69
2020_15,50
2020_16,70
2020_17,63
2020_18,73
2020_19,46
2020_20,75
2020_21,71
2020_22,67
2020_23,73
2020_24,67
2020_25,68
2020_26,92
2020_27,74
2020_28,98
2020_29,89
2020_30,81
2020_31,70
2020_32,88
2020_33,87
2020_34,80
2020_35,115
2020_36,98
2020_37,102
2020_38,117
2020_39,110
2020_40,117
2020_41,125
2020_42,111
2020_43,113
2020_44,121
2020_45,97
2020_46,104
2020_47,123
2020_48,113
2020_49,96
2020_50,111
2020_51,90
2020_52,36
2021_00,95
2021_01,103
2021_02,117
2021_03,119
2021_04,159
2021_05,140
2021_06,131
2021_07,128
2021_08,119
2021_09,147
2021_10,161
2021_11,123
2021_12,137
2021_13,128
2021_14,166
2021_15,159
2021_16,136
2021_17,164
2021_18,166
2021_19,139
2021_20,158
2021_21,151
2021_22,145
2021_23,162
2021_24,134
2021_25,158
2021_26,164
2021_27,154
2021_28,169
2021_29,151
2021_30,169
2021_31,168
2021_32,171
2021_33,175
2021_34,176
2021_35,141
2021_36,197
2021_37,170
2021_38,200
2021_39,184
2021_40,189
2021_41,193
2021_42,175
2021_43,177
2021_44,186
2021_45,175
2021_46,177
2021_47,208
2021_48,168
2021_49,196
2021_50,222
2021_51,215
2021_52,45
2022_00,150
2022_01,197
2022_02,213
2022_03,215
2022_04,203
2022_05,173
2022_06,206
2022_07,223
2022_08,180
2022_09,217
2022_10,215
2022_11,233
2022_12,213
2022_13,211
2022_14,230
2022_15,210
2022_16,197
2022_17,262
2022_18,231
2022_19,231
2022_20,236
2022_21,244
2022_22,216
2022_23,250
2022_24,241
2022_25,259
2022_26,260
2022_27,252
2022_28,276
2022_29,236
2022_30,264
2022_31,238
2022_32,259
2022_33,241
2022_34,253
2022_35,251
2022_36,264
2022_37,255
2022_38,245
2022_39,260
2022_40,254
2022_41,250
2022_42,284
2022_43,279
2022_44,267
2022_45,258
2022_46,255
2022_47,281
2022_48,267
2022_49,291
2022_50,300
2022_51,270
2022_52,99
2023_00,214
2023_01,282
2023_02,302
2023_03,322
2023_04,291
2023_05,328
2023_06,287
2023_07,302
2023_08,290
2023_09,289
2023_10,313
2023_11,311
2023_12,339
2023_13,300
2023_14,297
2023_15,316
2023_16,322
2023_17,324
2023_18,342
2023_19,327
2023_20,369
2023_21,343
2023_22,331
2023_23,325
2023_24,335
2023_25,319
2023_26,344
2023_27,337
2023_28,356
2023_29,367
2023_30,333
2023_31,331
2023_32,333
2023_33,338
2023_34,332
2023_35,353
2023_36,399
2023_37,365
2023_38,344
2023_39,357
2023_40,374
2023_41,380
2023_42,389
2023_43,380
2023_44,377
2023_45,358
2023_46,412
2023_47,342
2023_48,396
2023_49,157
