year_week,count
2019_31,1
2019_36,1
2019_38,4
2019_39,2
2019_40,1
2019_41,3
2019_43,1
2019_44,2
2019_45,3
2019_46,3
2019_47,1
2019_48,1
2019_49,2
2019_50,4
2019_51,5
2019_52,1
2020_01,2
2020_02,6
2020_03,3
2020_04,3
2020_05,4
2020_06,4
2020_07,2
2020_08,2
2020_09,1
2020_10,3
2020_11,1
2020_12,3
2020_13,4
2020_14,5
2020_15,3
2020_16,2
2020_17,6
2020_18,2
2020_19,3
2020_20,6
2020_21,4
2020_22,2
2020_23,6
2020_24,5
2020_25,2
2020_26,7
2020_27,3
2020_28,4
2020_29,3
2020_30,5
2020_31,4
2020_32,6
2020_33,3
2020_34,6
2020_35,12
2020_36,5
2020_37,4
2020_38,3
2020_39,7
2020_40,4
2020_41,10
2020_42,1
2020_43,6
2020_44,6
2020_45,2
2020_46,3
2020_47,7
2020_48,9
2020_49,7
2020_50,2
2020_51,6
2020_52,5
2021_00,6
2021_01,2
2021_02,7
2021_03,9
2021_04,9
2021_05,11
2021_06,4
2021_07,7
2021_08,3
2021_09,10
2021_10,9
2021_11,10
2021_12,5
2021_13,11
2021_14,13
2021_15,7
2021_16,5
2021_17,5
2021_18,11
2021_19,9
2021_20,10
2021_21,9
2021_22,8
2021_23,10
2021_24,6
2021_25,10
2021_26,11
2021_27,8
2021_28,4
2021_29,8
2021_30,8
2021_31,8
2021_32,14
2021_33,11
2021_34,10
2021_35,14
2021_36,10
2021_37,6
2021_38,9
2021_39,8
2021_40,16
2021_41,17
2021_42,10
2021_43,15
2021_44,7
2021_45,17
2021_46,12
2021_47,9
2021_48,18
2021_49,16
2021_50,8
2021_51,15
2021_52,2
2022_00,10
2022_01,13
2022_02,24
2022_03,11
2022_04,11
2022_05,12
2022_06,13
2022_07,8
2022_08,15
2022_09,16
2022_10,17
2022_11,14
2022_12,17
2022_13,12
2022_14,14
2022_15,11
2022_16,16
2022_17,15
2022_18,9
2022_19,11
2022_20,10
2022_21,14
2022_22,13
2022_23,14
2022_24,10
2022_25,11
2022_26,14
2022_27,19
2022_28,16
2022_29,10
2022_30,11
2022_31,20
2022_32,15
2022_33,9
2022_34,16
2022_35,18
2022_36,15
2022_37,14
2022_38,16
2022_39,14
2022_40,13
2022_41,14
2022_42,14
2022_43,24
2022_44,16
2022_45,12
2022_46,13
2022_47,20
2022_48,12
2022_49,20
2022_50,15
2022_51,9
2022_52,6
2023_00,17
2023_01,24
2023_02,11
2023_03,25
2023_04,17
2023_05,18
2023_06,14
2023_07,18
2023_08,15
2023_09,18
2023_10,13
2023_11,13
2023_12,11
2023_13,25
2023_14,21
2023_15,18
2023_16,19
2023_17,17
2023_18,17
2023_19,27
2023_20,14
2023_21,24
2023_22,25
2023_23,16
2023_24,22
2023_25,18
2023_26,20
2023_27,17
2023_28,28
2023_29,13
2023_30,13
2023_31,25
2023_32,15
2023_33,21
2023_34,21
2023_35,26
2023_36,18
2023_37,19
2023_38,25
2023_39,24
2023_40,21
2023_41,20
2023_42,23
2023_43,21
2023_44,25
2023_45,21
2023_46,22
2023_47,17
2023_48,25
2023_49,10
