year_week,count
2019_27,1
2019_28,1
2019_29,1
2019_36,2
2019_37,1
2019_38,1
2019_39,2
2019_41,1
2019_42,1
2019_44,2
2019_48,2
2019_49,1
2019_51,2
2020_00,1
2020_01,1
2020_02,4
2020_03,1
2020_07,2
2020_08,1
2020_10,1
2020_11,1
2020_13,2
2020_14,3
2020_16,2
2020_17,1
2020_18,2
2020_19,4
2020_21,1
2020_23,1
2020_24,3
2020_25,1
2020_26,2
2020_27,1
2020_28,3
2020_29,4
2020_30,3
2020_31,4
2020_32,3
2020_33,2
2020_34,2
2020_35,6
2020_36,6
2020_37,4
2020_38,2
2020_39,7
2020_40,7
2020_41,3
2020_42,3
2020_43,1
2020_44,1
2020_45,5
2020_46,2
2020_47,2
2020_48,2
2020_49,1
2020_50,9
2020_51,3
2021_00,6
2021_01,3
2021_02,10
2021_03,4
2021_04,4
2021_05,5
2021_06,7
2021_07,4
2021_08,3
2021_09,5
2021_10,3
2021_11,5
2021_12,2
2021_13,5
2021_14,4
2021_15,10
2021_16,5
2021_17,1
2021_18,7
2021_19,9
2021_20,7
2021_21,4
2021_22,7
2021_23,6
2021_24,3
2021_25,4
2021_26,4
2021_27,6
2021_28,8
2021_29,12
2021_30,9
2021_31,8
2021_32,2
2021_33,10
2021_34,7
2021_35,9
2021_36,3
2021_37,4
2021_38,8
2021_39,5
2021_40,11
2021_41,6
2021_42,9
2021_43,7
2021_44,9
2021_45,6
2021_46,6
2021_47,8
2021_48,4
2021_49,6
2021_50,5
2021_51,5
2021_52,3
2022_00,3
2022_01,7
2022_02,2
2022_03,13
2022_04,5
2022_05,4
2022_06,6
2022_07,10
2022_08,7
2022_09,6
2022_10,10
2022_11,8
2022_12,6
2022_13,3
2022_14,13
2022_15,7
2022_16,10
2022_17,11
2022_18,8
2022_19,13
2022_20,7
2022_21,13
2022_22,11
2022_23,8
2022_24,8
2022_25,16
2022_26,9
2022_27,5
2022_28,6
2022_29,8
2022_30,9
2022_31,10
2022_32,7
2022_33,7
2022_34,8
2022_35,19
2022_36,6
2022_37,9
2022_38,3
2022_39,6
2022_40,13
2022_41,6
2022_42,11
2022_43,5
2022_44,9
2022_45,12
2022_46,8
2022_47,11
2022_48,7
2022_49,11
2022_50,6
2022_51,13
2022_52,3
2023_00,8
2023_01,14
2023_02,8
2023_03,5
2023_04,12
2023_05,7
2023_06,5
2023_07,9
2023_08,19
2023_09,8
2023_10,16
2023_11,5
2023_12,9
2023_13,17
2023_14,9
2023_15,14
2023_16,9
2023_17,14
2023_18,15
2023_19,7
2023_20,9
2023_21,12
2023_22,7
2023_23,13
2023_24,9
2023_25,13
2023_26,8
2023_27,10
2023_28,15
2023_29,14
2023_30,7
2023_31,9
2023_32,10
2023_33,13
2023_34,9
2023_35,14
2023_36,15
2023_37,12
2023_38,13
2023_39,10
2023_40,13
2023_41,13
2023_42,10
2023_43,5
2023_44,11
2023_45,17
2023_46,16
2023_47,12
2023_48,16
2023_49,10
