year_week,count
2019_27,1
2019_28,6
2019_29,8
2019_30,18
2019_31,2
2019_32,13
2019_33,14
2019_34,20
2019_35,18
2019_36,24
2019_37,28
2019_38,29
2019_39,38
2019_40,44
2019_41,55
2019_42,46
2019_43,57
2019_44,75
2019_45,50
2019_46,56
2019_47,61
2019_48,76
2019_49,74
2019_50,72
2019_51,91
2019_52,14
2020_00,72
2020_01,101
2020_02,97
2020_03,97
2020_04,98
2020_05,98
2020_06,89
2020_07,112
2020_08,81
2020_09,111
2020_10,111
2020_11,121
2020_12,146
2020_13,122
2020_14,126
2020_15,118
2020_16,143
2020_17,107
2020_18,145
2020_19,148
2020_20,133
2020_21,148
2020_22,153
2020_23,186
2020_24,174
2020_25,138
2020_26,166
2020_27,137
2020_28,184
2020_29,174
2020_30,191
2020_31,171
2020_32,201
2020_33,164
2020_34,173
2020_35,212
2020_36,195
2020_37,201
2020_38,215
2020_39,182
2020_40,191
2020_41,218
2020_42,201
2020_43,182
2020_44,191
2020_45,205
2020_46,230
2020_47,244
2020_48,210
2020_49,219
2020_50,233
2020_51,234
2020_52,86
2021_00,191
2021_01,233
2021_02,242
2021_03,265
2021_04,258
2021_05,267
2021_06,257
2021_07,242
2021_08,247
2021_09,247
2021_10,270
2021_11,303
2021_12,276
2021_13,287
2021_14,280
2021_15,276
2021_16,296
2021_17,324
2021_18,304
2021_19,311
2021_20,286
2021_21,304
2021_22,319
2021_23,277
2021_24,345
2021_25,316
2021_26,311
2021_27,288
2021_28,333
2021_29,339
2021_30,342
2021_31,293
2021_32,346
2021_33,352
2021_34,366
2021_35,388
2021_36,362
2021_37,335
2021_38,381
2021_39,335
2021_40,342
2021_41,372
2021_42,344
2021_43,381
2021_44,381
2021_45,346
2021_46,379
2021_47,407
2021_48,392
2021_49,386
2021_50,387
2021_51,395
2021_52,101
2022_00,359
2022_01,384
2022_02,411
2022_03,428
2022_04,430
2022_05,389
2022_06,434
2022_07,386
2022_08,460
2022_09,458
2022_10,426
2022_11,450
2022_12,494
2022_13,460
2022_14,478
2022_15,470
2022_16,488
2022_17,475
2022_18,468
2022_19,473
2022_20,507
2022_21,499
2022_22,482
2022_23,485
2022_24,504
2022_25,493
2022_26,473
2022_27,530
2022_28,501
2022_29,487
2022_30,505
2022_31,500
2022_32,467
2022_33,462
2022_34,599
2022_35,514
2022_36,527
2022_37,535
2022_38,537
2022_39,551
2022_40,543
2022_41,593
2022_42,514
2022_43,535
2022_44,581
2022_45,564
2022_46,556
2022_47,619
2022_48,568
2022_49,552
2022_50,533
2022_51,602
2022_52,213
2023_00,454
2023_01,633
2023_02,653
2023_03,582
2023_04,645
2023_05,624
2023_06,613
2023_07,616
2023_08,656
2023_09,695
2023_10,608
2023_11,625
2023_12,654
2023_13,609
2023_14,587
2023_15,654
2023_16,638
2023_17,576
2023_18,588
2023_19,640
2023_20,651
2023_21,656
2023_22,713
2023_23,720
2023_24,638
2023_25,698
2023_26,626
2023_27,743
2023_28,662
2023_29,777
2023_30,763
2023_31,705
2023_32,716
2023_33,690
2023_34,724
2023_35,746
2023_36,696
2023_37,712
2023_38,731
2023_39,704
2023_40,731
2023_41,750
2023_42,713
2023_43,715
2023_44,755
2023_45,759
2023_46,730
2023_47,729
2023_48,698
2023_49,321
