year_week,count
2019_27,1
2019_32,1
2019_33,1
2019_34,1
2019_35,1
2019_36,5
2019_37,4
2019_38,4
2019_39,2
2019_40,8
2019_41,3
2019_42,5
2019_43,5
2019_44,3
2019_45,8
2019_46,7
2019_47,9
2019_48,8
2019_49,8
2019_50,8
2019_51,9
2019_52,2
2020_00,8
2020_01,9
2020_02,8
2020_03,5
2020_04,14
2020_05,13
2020_06,9
2020_07,8
2020_08,11
2020_09,13
2020_10,19
2020_11,11
2020_12,18
2020_13,10
2020_14,8
2020_15,17
2020_16,17
2020_17,7
2020_18,18
2020_19,15
2020_20,19
2020_21,17
2020_22,19
2020_23,14
2020_24,16
2020_25,21
2020_26,15
2020_27,12
2020_28,20
2020_29,16
2020_30,12
2020_31,25
2020_32,19
2020_33,12
2020_34,9
2020_35,26
2020_36,22
2020_37,21
2020_38,19
2020_39,31
2020_40,27
2020_41,17
2020_42,21
2020_43,22
2020_44,18
2020_45,26
2020_46,23
2020_47,29
2020_48,22
2020_49,31
2020_50,29
2020_51,25
2020_52,6
2021_00,18
2021_01,20
2021_02,18
2021_03,31
2021_04,34
2021_05,32
2021_06,31
2021_07,24
2021_08,26
2021_09,22
2021_10,29
2021_11,24
2021_12,33
2021_13,21
2021_14,29
2021_15,21
2021_16,31
2021_17,33
2021_18,23
2021_19,28
2021_20,31
2021_21,27
2021_22,33
2021_23,29
2021_24,38
2021_25,30
2021_26,42
2021_27,37
2021_28,32
2021_29,32
2021_30,30
2021_31,28
2021_32,38
2021_33,40
2021_34,39
2021_35,37
2021_36,41
2021_37,32
2021_38,42
2021_39,37
2021_40,37
2021_41,45
2021_42,47
2021_43,41
2021_44,43
2021_45,27
2021_46,48
2021_47,29
2021_48,35
2021_49,43
2021_50,41
2021_51,26
2021_52,9
2022_00,35
2022_01,41
2022_02,36
2022_03,41
2022_04,34
2022_05,44
2022_06,46
2022_07,44
2022_08,39
2022_09,30
2022_10,41
2022_11,48
2022_12,46
2022_13,41
2022_14,51
2022_15,48
2022_16,42
2022_17,51
2022_18,41
2022_19,49
2022_20,51
2022_21,48
2022_22,42
2022_23,44
2022_24,60
2022_25,47
2022_26,50
2022_27,51
2022_28,53
2022_29,64
2022_30,53
2022_31,52
2022_32,53
2022_33,53
2022_34,63
2022_35,45
2022_36,44
2022_37,55
2022_38,64
2022_39,56
2022_40,34
2022_41,54
2022_42,57
2022_43,51
2022_44,66
2022_45,65
2022_46,67
2022_47,62
2022_48,54
2022_49,63
2022_50,64
2022_51,63
2022_52,19
2023_00,43
2023_01,51
2023_02,58
2023_03,65
2023_04,64
2023_05,61
2023_06,49
2023_07,68
2023_08,75
2023_09,66
2023_10,70
2023_11,62
2023_12,56
2023_13,62
2023_14,63
2023_15,58
2023_16,65
2023_17,67
2023_18,60
2023_19,75
2023_20,69
2023_21,69
2023_22,63
2023_23,85
2023_24,80
2023_25,76
2023_26,62
2023_27,79
2023_28,71
2023_29,75
2023_30,74
2023_31,62
2023_32,73
2023_33,74
2023_34,66
2023_35,72
2023_36,74
2023_37,75
2023_38,91
2023_39,84
2023_40,76
2023_41,69
2023_42,65
2023_43,88
2023_44,83
2023_45,65
2023_46,81
2023_47,77
2023_48,77
2023_49,28
