year_week,count
2019_30,1
2019_31,1
2019_32,2
2019_34,2
2019_35,1
2019_36,2
2019_37,3
2019_38,4
2019_39,6
2019_40,4
2019_41,9
2019_42,6
2019_43,6
2019_44,4
2019_45,3
2019_46,8
2019_47,6
2019_48,9
2019_49,9
2019_50,6
2019_51,12
2019_52,2
2020_00,6
2020_01,16
2020_02,9
2020_03,15
2020_04,8
2020_05,11
2020_06,9
2020_07,11
2020_08,14
2020_09,13
2020_10,13
2020_11,10
2020_12,23
2020_13,16
2020_14,9
2020_15,12
2020_16,14
2020_17,12
2020_18,20
2020_19,11
2020_20,18
2020_21,14
2020_22,17
2020_23,19
2020_24,14
2020_25,10
2020_26,19
2020_27,12
2020_28,26
2020_29,19
2020_30,27
2020_31,20
2020_32,16
2020_33,32
2020_34,28
2020_35,28
2020_36,28
2020_37,24
2020_38,26
2020_39,23
2020_40,22
2020_41,31
2020_42,27
2020_43,35
2020_44,36
2020_45,31
2020_46,34
2020_47,30
2020_48,27
2020_49,24
2020_50,28
2020_51,19
2020_52,7
2021_00,25
2021_01,22
2021_02,23
2021_03,32
2021_04,45
2021_05,31
2021_06,27
2021_07,34
2021_08,31
2021_09,41
2021_10,35
2021_11,49
2021_12,50
2021_13,38
2021_14,41
2021_15,32
2021_16,32
2021_17,32
2021_18,41
2021_19,31
2021_20,30
2021_21,24
2021_22,54
2021_23,40
2021_24,34
2021_25,41
2021_26,44
2021_27,37
2021_28,42
2021_29,41
2021_30,39
2021_31,39
2021_32,43
2021_33,41
2021_34,30
2021_35,35
2021_36,39
2021_37,37
2021_38,46
2021_39,38
2021_40,43
2021_41,46
2021_42,53
2021_43,53
2021_44,55
2021_45,50
2021_46,57
2021_47,51
2021_48,47
2021_49,43
2021_50,43
2021_51,47
2021_52,13
2022_00,46
2022_01,40
2022_02,48
2022_03,45
2022_04,51
2022_05,42
2022_06,54
2022_07,53
2022_08,48
2022_09,52
2022_10,58
2022_11,58
2022_12,52
2022_13,53
2022_14,59
2022_15,61
2022_16,57
2022_17,55
2022_18,49
2022_19,48
2022_20,71
2022_21,68
2022_22,42
2022_23,68
2022_24,51
2022_25,53
2022_26,76
2022_27,69
2022_28,69
2022_29,59
2022_30,65
2022_31,68
2022_32,50
2022_33,62
2022_34,67
2022_35,68
2022_36,51
2022_37,80
2022_38,67
2022_39,55
2022_40,55
2022_41,59
2022_42,64
2022_43,67
2022_44,67
2022_45,73
2022_46,66
2022_47,68
2022_48,71
2022_49,82
2022_50,80
2022_51,68
2022_52,21
2023_00,62
2023_01,68
2023_02,64
2023_03,73
2023_04,70
2023_05,73
2023_06,69
2023_07,64
2023_08,82
2023_09,93
2023_10,95
2023_11,73
2023_12,102
2023_13,78
2023_14,95
2023_15,77
2023_16,90
2023_17,86
2023_18,78
2023_19,79
2023_20,75
2023_21,95
2023_22,97
2023_23,91
2023_24,90
2023_25,97
2023_26,79
2023_27,77
2023_28,71
2023_29,95
2023_30,70
2023_31,95
2023_32,84
2023_33,74
2023_34,77
2023_35,89
2023_36,92
2023_37,104
2023_38,85
2023_39,90
2023_40,99
2023_41,84
2023_42,106
2023_43,87
2023_44,97
2023_45,101
2023_46,96
2023_47,95
2023_48,83
2023_49,31
