year_week,count
2019_28,2
2019_29,7
2019_30,5
2019_31,4
2019_32,12
2019_33,9
2019_34,7
2019_35,13
2019_36,19
2019_37,22
2019_38,24
2019_39,16
2019_40,31
2019_41,33
2019_42,34
2019_43,38
2019_44,48
2019_45,30
2019_46,45
2019_47,51
2019_48,48
2019_49,56
2019_50,50
2019_51,47
2019_52,10
2020_00,36
2020_01,53
2020_02,62
2020_03,55
2020_04,53
2020_05,64
2020_06,72
2020_07,72
2020_08,57
2020_09,93
2020_10,68
2020_11,80
2020_12,74
2020_13,84
2020_14,81
2020_15,77
2020_16,80
2020_17,78
2020_18,95
2020_19,90
2020_20,116
2020_21,100
2020_22,91
2020_23,105
2020_24,115
2020_25,98
2020_26,94
2020_27,101
2020_28,127
2020_29,105
2020_30,95
2020_31,109
2020_32,89
2020_33,133
2020_34,131
2020_35,132
2020_36,111
2020_37,120
2020_38,153
2020_39,145
2020_40,141
2020_41,134
2020_42,129
2020_43,120
2020_44,139
2020_45,139
2020_46,129
2020_47,155
2020_48,155
2020_49,143
2020_50,131
2020_51,151
2020_52,43
2021_00,117
2021_01,167
2021_02,168
2021_03,149
2021_04,174
2021_05,164
2021_06,168
2021_07,181
2021_08,178
2021_09,166
2021_10,159
2021_11,195
2021_12,197
2021_13,172
2021_14,200
2021_15,184
2021_16,171
2021_17,188
2021_18,198
2021_19,186
2021_20,205
2021_21,167
2021_22,185
2021_23,215
2021_24,216
2021_25,220
2021_26,208
2021_27,196
2021_28,249
2021_29,237
2021_30,209
2021_31,203
2021_32,249
2021_33,253
2021_34,220
2021_35,235
2021_36,254
2021_37,219
2021_38,234
2021_39,210
2021_40,248
2021_41,268
2021_42,244
2021_43,224
2021_44,244
2021_45,273
2021_46,272
2021_47,254
2021_48,232
2021_49,262
2021_50,276
2021_51,273
2021_52,59
2022_00,233
2022_01,274
2022_02,279
2022_03,252
2022_04,289
2022_05,249
2022_06,264
2022_07,291
2022_08,287
2022_09,319
2022_10,269
2022_11,281
2022_12,321
2022_13,293
2022_14,290
2022_15,276
2022_16,305
2022_17,290
2022_18,308
2022_19,319
2022_20,303
2022_21,287
2022_22,330
2022_23,312
2022_24,291
2022_25,316
2022_26,319
2022_27,317
2022_28,291
2022_29,323
2022_30,327
2022_31,321
2022_32,343
2022_33,347
2022_34,349
2022_35,328
2022_36,324
2022_37,349
2022_38,363
2022_39,337
2022_40,319
2022_41,364
2022_42,366
2022_43,412
2022_44,411
2022_45,363
2022_46,384
2022_47,408
2022_48,371
2022_49,361
2022_50,356
2022_51,375
2022_52,111
2023_00,315
2023_01,410
2023_02,417
2023_03,394
2023_04,429
2023_05,408
2023_06,392
2023_07,408
2023_08,416
2023_09,454
2023_10,448
2023_11,383
2023_12,449
2023_13,394
2023_14,424
2023_15,446
2023_16,417
2023_17,411
2023_18,453
2023_19,423
2023_20,436
2023_21,421
2023_22,411
2023_23,446
2023_24,444
2023_25,448
2023_26,486
2023_27,460
2023_28,462
2023_29,478
2023_30,476
2023_31,439
2023_32,490
2023_33,480
2023_34,457
2023_35,450
2023_36,448
2023_37,474
2023_38,476
2023_39,492
2023_40,496
2023_41,453
2023_42,440
2023_43,502
2023_44,504
2023_45,494
2023_46,512
2023_47,481
2023_48,445
2023_49,183
