year_week,count
2019_27,1
2019_28,1
2019_29,2
2019_30,6
2019_31,3
2019_32,8
2019_33,12
2019_34,7
2019_35,7
2019_36,17
2019_37,7
2019_38,23
2019_39,17
2019_40,19
2019_41,29
2019_42,28
2019_43,21
2019_44,31
2019_45,21
2019_46,21
2019_47,29
2019_48,32
2019_49,41
2019_50,39
2019_51,32
2019_52,8
2020_00,19
2020_01,45
2020_02,42
2020_03,39
2020_04,43
2020_05,54
2020_06,45
2020_07,59
2020_08,58
2020_09,64
2020_10,55
2020_11,52
2020_12,51
2020_13,50
2020_14,52
2020_15,55
2020_16,59
2020_17,74
2020_18,68
2020_19,63
2020_20,62
2020_21,60
2020_22,58
2020_23,93
2020_24,81
2020_25,73
2020_26,89
2020_27,82
2020_28,81
2020_29,78
2020_30,75
2020_31,74
2020_32,86
2020_33,91
2020_34,86
2020_35,109
2020_36,93
2020_37,78
2020_38,79
2020_39,95
2020_40,85
2020_41,87
2020_42,103
2020_43,93
2020_44,114
2020_45,116
2020_46,97
2020_47,109
2020_48,127
2020_49,106
2020_50,100
2020_51,113
2020_52,39
2021_00,89
2021_01,110
2021_02,93
2021_03,136
2021_04,131
2021_05,108
2021_06,99
2021_07,132
2021_08,106
2021_09,140
2021_10,119
2021_11,155
2021_12,150
2021_13,132
2021_14,137
2021_15,123
2021_16,146
2021_17,131
2021_18,137
2021_19,130
2021_20,139
2021_21,152
2021_22,142
2021_23,134
2021_24,147
2021_25,153
2021_26,166
2021_27,158
2021_28,149
2021_29,158
2021_30,172
2021_31,155
2021_32,169
2021_33,166
2021_34,175
2021_35,167
2021_36,145
2021_37,168
2021_38,210
2021_39,133
2021_40,184
2021_41,198
2021_42,185
2021_43,183
2021_44,201
2021_45,153
2021_46,180
2021_47,186
2021_48,174
2021_49,187
2021_50,178
2021_51,175
2021_52,46
2022_00,172
2022_01,182
2022_02,191
2022_03,194
2022_04,171
2022_05,225
2022_06,204
2022_07,213
2022_08,218
2022_09,203
2022_10,187
2022_11,191
2022_12,185
2022_13,199
2022_14,215
2022_15,186
2022_16,243
2022_17,194
2022_18,241
2022_19,215
2022_20,242
2022_21,238
2022_22,229
2022_23,227
2022_24,248
2022_25,238
2022_26,246
2022_27,255
2022_28,243
2022_29,228
2022_30,231
2022_31,263
2022_32,239
2022_33,227
2022_34,250
2022_35,234
2022_36,242
2022_37,256
2022_38,266
2022_39,266
2022_40,232
2022_41,251
2022_42,273
2022_43,237
2022_44,280
2022_45,291
2022_46,252
2022_47,276
2022_48,274
2022_49,294
2022_50,300
2022_51,271
2022_52,94
2023_00,214
2023_01,293
2023_02,293
2023_03,271
2023_04,311
2023_05,289
2023_06,264
2023_07,332
2023_08,300
2023_09,299
2023_10,299
2023_11,320
2023_12,336
2023_13,309
2023_14,273
2023_15,294
2023_16,330
2023_17,284
2023_18,311
2023_19,315
2023_20,326
2023_21,329
2023_22,324
2023_23,327
2023_24,320
2023_25,345
2023_26,333
2023_27,317
2023_28,300
2023_29,361
2023_30,349
2023_31,344
2023_32,356
2023_33,367
2023_34,327
2023_35,314
2023_36,339
2023_37,347
2023_38,339
2023_39,315
2023_40,326
2023_41,362
2023_42,368
2023_43,359
2023_44,360
2023_45,367
2023_46,360
2023_47,359
2023_48,360
2023_49,145
