year_week,count
2019_28,1
2019_29,1
2019_30,1
2019_31,3
2019_32,1
2019_33,2
2019_34,2
2019_35,2
2019_36,6
2019_37,4
2019_38,5
2019_39,3
2019_40,10
2019_41,7
2019_42,7
2019_43,5
2019_44,5
2019_45,3
2019_46,6
2019_47,13
2019_48,10
2019_49,6
2019_50,5
2019_51,12
2019_52,1
2020_00,12
2020_01,13
2020_02,9
2020_03,18
2020_04,11
2020_05,10
2020_06,11
2020_07,7
2020_08,10
2020_09,11
2020_10,8
2020_11,8
2020_12,12
2020_13,7
2020_14,14
2020_15,7
2020_16,14
2020_17,6
2020_18,19
2020_19,12
2020_20,17
2020_21,15
2020_22,19
2020_23,14
2020_24,12
2020_25,20
2020_26,15
2020_27,25
2020_28,20
2020_29,26
2020_30,28
2020_31,17
2020_32,16
2020_33,24
2020_34,28
2020_35,23
2020_36,15
2020_37,22
2020_38,23
2020_39,30
2020_40,18
2020_41,19
2020_42,22
2020_43,18
2020_44,26
2020_45,25
2020_46,24
2020_47,29
2020_48,27
2020_49,13
2020_50,21
2020_51,26
2020_52,10
2021_00,18
2021_01,26
2021_02,20
2021_03,27
2021_04,40
2021_05,26
2021_06,25
2021_07,21
2021_08,25
2021_09,33
2021_10,33
2021_11,31
2021_12,27
2021_13,22
2021_14,37
2021_15,30
2021_16,34
2021_17,29
2021_18,28
2021_19,41
2021_20,19
2021_21,28
2021_22,32
2021_23,41
2021_24,31
2021_25,30
2021_26,24
2021_27,36
2021_28,37
2021_29,24
2021_30,35
2021_31,33
2021_32,38
2021_33,44
2021_34,47
2021_35,32
2021_36,35
2021_37,32
2021_38,48
2021_39,50
2021_40,33
2021_41,52
2021_42,38
2021_43,51
2021_44,52
2021_45,40
2021_46,35
2021_47,41
2021_48,58
2021_49,47
2021_50,47
2021_51,55
2021_52,11
2022_00,28
2022_01,41
2022_02,45
2022_03,43
2022_04,47
2022_05,35
2022_06,48
2022_07,50
2022_08,54
2022_09,51
2022_10,62
2022_11,45
2022_12,54
2022_13,51
2022_14,59
2022_15,46
2022_16,53
2022_17,46
2022_18,52
2022_19,75
2022_20,58
2022_21,55
2022_22,68
2022_23,53
2022_24,59
2022_25,59
2022_26,48
2022_27,44
2022_28,52
2022_29,51
2022_30,59
2022_31,77
2022_32,64
2022_33,48
2022_34,67
2022_35,66
2022_36,58
2022_37,51
2022_38,52
2022_39,63
2022_40,61
2022_41,74
2022_42,64
2022_43,81
2022_44,67
2022_45,61
2022_46,76
2022_47,71
2022_48,66
2022_49,66
2022_50,68
2022_51,53
2022_52,30
2023_00,56
2023_01,74
2023_02,78
2023_03,73
2023_04,60
2023_05,61
2023_06,91
2023_07,81
2023_08,77
2023_09,74
2023_10,82
2023_11,46
2023_12,51
2023_13,78
2023_14,73
2023_15,89
2023_16,95
2023_17,71
2023_18,67
2023_19,66
2023_20,66
2023_21,62
2023_22,91
2023_23,84
2023_24,71
2023_25,93
2023_26,66
2023_27,88
2023_28,74
2023_29,78
2023_30,91
2023_31,82
2023_32,82
2023_33,87
2023_34,88
2023_35,76
2023_36,95
2023_37,72
2023_38,71
2023_39,75
2023_40,89
2023_41,88
2023_42,80
2023_43,73
2023_44,83
2023_45,87
2023_46,72
2023_47,86
2023_48,88
2023_49,40
