year_week,count
2019_30,1
2019_32,1
2019_34,1
2019_35,3
2019_36,2
2019_37,1
2019_38,2
2019_39,7
2019_40,6
2019_41,4
2019_42,4
2019_43,2
2019_44,2
2019_45,3
2019_46,4
2019_47,4
2019_48,6
2019_49,4
2019_50,7
2019_51,4
2019_52,1
2020_00,4
2020_01,8
2020_02,9
2020_03,4
2020_04,9
2020_05,14
2020_06,10
2020_07,10
2020_08,8
2020_09,8
2020_10,6
2020_11,12
2020_12,8
2020_13,7
2020_14,15
2020_15,10
2020_16,13
2020_17,10
2020_18,13
2020_19,11
2020_20,8
2020_21,12
2020_22,16
2020_23,10
2020_24,15
2020_25,13
2020_26,11
2020_27,9
2020_28,10
2020_29,12
2020_30,19
2020_31,14
2020_32,12
2020_33,18
2020_34,13
2020_35,9
2020_36,17
2020_37,14
2020_38,25
2020_39,13
2020_40,14
2020_41,21
2020_42,20
2020_43,22
2020_44,19
2020_45,10
2020_46,20
2020_47,20
2020_48,11
2020_49,24
2020_50,15
2020_51,18
2020_52,5
2021_00,17
2021_01,22
2021_02,25
2021_03,24
2021_04,28
2021_05,22
2021_06,16
2021_07,21
2021_08,20
2021_09,28
2021_10,13
2021_11,25
2021_12,29
2021_13,21
2021_14,19
2021_15,28
2021_16,24
2021_17,22
2021_18,23
2021_19,28
2021_20,41
2021_21,25
2021_22,24
2021_23,24
2021_24,20
2021_25,22
2021_26,24
2021_27,28
2021_28,30
2021_29,27
2021_30,34
2021_31,26
2021_32,33
2021_33,31
2021_34,29
2021_35,23
2021_36,31
2021_37,31
2021_38,36
2021_39,29
2021_40,29
2021_41,29
2021_42,44
2021_43,30
2021_44,35
2021_45,31
2021_46,39
2021_47,37
2021_48,35
2021_49,27
2021_50,38
2021_51,40
2021_52,11
2022_00,25
2022_01,38
2022_02,35
2022_03,33
2022_04,36
2022_05,25
2022_06,31
2022_07,34
2022_08,37
2022_09,33
2022_10,41
2022_11,36
2022_12,48
2022_13,54
2022_14,45
2022_15,23
2022_16,24
2022_17,37
2022_18,38
2022_19,44
2022_20,46
2022_21,44
2022_22,39
2022_23,46
2022_24,34
2022_25,35
2022_26,33
2022_27,36
2022_28,35
2022_29,40
2022_30,37
2022_31,42
2022_32,43
2022_33,44
2022_34,41
2022_35,38
2022_36,37
2022_37,56
2022_38,35
2022_39,31
2022_40,34
2022_41,37
2022_42,40
2022_43,52
2022_44,62
2022_45,30
2022_46,46
2022_47,65
2022_48,60
2022_49,55
2022_50,50
2022_51,43
2022_52,15
2023_00,30
2023_01,54
2023_02,51
2023_03,52
2023_04,45
2023_05,48
2023_06,48
2023_07,50
2023_08,54
2023_09,48
2023_10,56
2023_11,35
2023_12,71
2023_13,55
2023_14,45
2023_15,52
2023_16,53
2023_17,52
2023_18,47
2023_19,31
2023_20,60
2023_21,59
2023_22,58
2023_23,56
2023_24,61
2023_25,63
2023_26,65
2023_27,65
2023_28,61
2023_29,64
2023_30,55
2023_31,51
2023_32,62
2023_33,74
2023_34,60
2023_35,52
2023_36,58
2023_37,66
2023_38,58
2023_39,59
2023_40,58
2023_41,76
2023_42,60
2023_43,61
2023_44,73
2023_45,56
2023_46,68
2023_47,53
2023_48,59
2023_49,27
