year_week,count
2019_30,1
2019_32,1
2019_33,1
2019_35,2
2019_36,4
2019_38,1
2019_39,4
2019_40,2
2019_41,5
2019_42,12
2019_43,5
2019_44,4
2019_45,8
2019_46,2
2019_47,7
2019_48,9
2019_49,9
2019_50,3
2019_51,12
2019_52,1
2020_00,7
2020_01,6
2020_02,6
2020_03,15
2020_04,12
2020_05,11
2020_06,12
2020_07,7
2020_08,12
2020_09,7
2020_10,10
2020_11,13
2020_12,12
2020_13,21
2020_14,18
2020_15,20
2020_16,14
2020_17,12
2020_18,18
2020_19,20
2020_20,11
2020_21,21
2020_22,19
2020_23,18
2020_24,11
2020_25,12
2020_26,21
2020_27,16
2020_28,17
2020_29,26
2020_30,21
2020_31,18
2020_32,14
2020_33,23
2020_34,26
2020_35,22
2020_36,17
2020_37,29
2020_38,29
2020_39,24
2020_40,14
2020_41,23
2020_42,19
2020_43,19
2020_44,20
2020_45,24
2020_46,22
2020_47,25
2020_48,18
2020_49,30
2020_50,23
2020_51,29
2020_52,10
2021_00,19
2021_01,34
2021_02,25
2021_03,30
2021_04,25
2021_05,29
2021_06,25
2021_07,15
2021_08,20
2021_09,27
2021_10,24
2021_11,26
2021_12,34
2021_13,26
2021_14,34
2021_15,20
2021_16,27
2021_17,27
2021_18,17
2021_19,28
2021_20,23
2021_21,27
2021_22,28
2021_23,34
2021_24,33
2021_25,37
2021_26,47
2021_27,36
2021_28,40
2021_29,46
2021_30,31
2021_31,30
2021_32,38
2021_33,49
2021_34,48
2021_35,42
2021_36,40
2021_37,37
2021_38,45
2021_39,39
2021_40,30
2021_41,45
2021_42,34
2021_43,38
2021_44,50
2021_45,51
2021_46,51
2021_47,39
2021_48,39
2021_49,41
2021_50,48
2021_51,40
2021_52,12
2022_00,35
2022_01,41
2022_02,41
2022_03,38
2022_04,38
2022_05,45
2022_06,47
2022_07,47
2022_08,39
2022_09,52
2022_10,57
2022_11,54
2022_12,54
2022_13,42
2022_14,51
2022_15,46
2022_16,42
2022_17,46
2022_18,56
2022_19,58
2022_20,57
2022_21,47
2022_22,50
2022_23,59
2022_24,41
2022_25,41
2022_26,59
2022_27,67
2022_28,54
2022_29,55
2022_30,52
2022_31,46
2022_32,58
2022_33,63
2022_34,55
2022_35,58
2022_36,60
2022_37,65
2022_38,49
2022_39,53
2022_40,54
2022_41,51
2022_42,54
2022_43,62
2022_44,54
2022_45,62
2022_46,56
2022_47,47
2022_48,53
2022_49,67
2022_50,55
2022_51,57
2022_52,26
2023_00,52
2023_01,64
2023_02,58
2023_03,71
2023_04,71
2023_05,59
2023_06,79
2023_07,66
2023_08,54
2023_09,76
2023_10,69
2023_11,62
2023_12,76
2023_13,72
2023_14,73
2023_15,56
2023_16,64
2023_17,65
2023_18,70
2023_19,62
2023_20,73
2023_21,77
2023_22,47
2023_23,67
2023_24,60
2023_25,73
2023_26,78
2023_27,73
2023_28,65
2023_29,80
2023_30,79
2023_31,68
2023_32,70
2023_33,90
2023_34,78
2023_35,88
2023_36,61
2023_37,83
2023_38,72
2023_39,81
2023_40,72
2023_41,73
2023_42,83
2023_43,83
2023_44,72
2023_45,79
2023_46,74
2023_47,71
2023_48,88
2023_49,45
