year_week,count
2019_30,3
2019_33,1
2019_34,2
2019_35,1
2019_36,3
2019_38,1
2019_39,1
2019_40,2
2019_41,3
2019_42,3
2019_43,6
2019_44,3
2019_45,4
2019_46,4
2019_47,1
2019_48,4
2019_49,6
2019_50,5
2019_51,3
2019_52,1
2020_00,5
2020_01,7
2020_02,7
2020_03,4
2020_04,3
2020_05,11
2020_06,4
2020_07,6
2020_09,7
2020_10,2
2020_11,6
2020_12,6
2020_13,3
2020_14,7
2020_15,3
2020_16,8
2020_17,8
2020_18,7
2020_19,6
2020_20,4
2020_21,10
2020_22,10
2020_23,6
2020_24,7
2020_25,9
2020_26,9
2020_27,12
2020_28,11
2020_29,11
2020_30,13
2020_31,12
2020_32,10
2020_33,8
2020_34,4
2020_35,4
2020_36,7
2020_37,10
2020_38,9
2020_39,9
2020_40,8
2020_41,9
2020_42,9
2020_43,8
2020_44,9
2020_45,12
2020_46,12
2020_47,4
2020_48,12
2020_49,8
2020_50,8
2020_51,16
2020_52,5
2021_00,6
2021_01,15
2021_02,11
2021_03,14
2021_04,9
2021_05,7
2021_06,13
2021_07,12
2021_08,9
2021_09,14
2021_10,17
2021_11,13
2021_12,14
2021_13,13
2021_14,13
2021_15,11
2021_16,13
2021_17,17
2021_18,13
2021_19,16
2021_20,13
2021_21,13
2021_22,9
2021_23,19
2021_24,12
2021_25,18
2021_26,18
2021_27,24
2021_28,13
2021_29,19
2021_30,19
2021_31,13
2021_32,18
2021_33,16
2021_34,15
2021_35,15
2021_36,19
2021_37,20
2021_38,15
2021_39,15
2021_40,18
2021_41,18
2021_42,18
2021_43,16
2021_44,27
2021_45,17
2021_46,24
2021_47,15
2021_48,18
2021_49,16
2021_50,14
2021_51,18
2021_52,5
2022_00,19
2022_01,17
2022_02,18
2022_03,25
2022_04,25
2022_05,16
2022_06,23
2022_07,17
2022_08,21
2022_09,18
2022_10,28
2022_11,23
2022_12,16
2022_13,20
2022_14,26
2022_15,23
2022_16,30
2022_17,29
2022_18,26
2022_19,35
2022_20,29
2022_21,29
2022_22,22
2022_23,40
2022_24,25
2022_25,25
2022_26,29
2022_27,36
2022_28,39
2022_29,30
2022_30,29
2022_31,30
2022_32,22
2022_33,25
2022_34,29
2022_35,26
2022_36,23
2022_37,20
2022_38,32
2022_39,33
2022_40,30
2022_41,28
2022_42,22
2022_43,32
2022_44,33
2022_45,41
2022_46,25
2022_47,37
2022_48,27
2022_49,33
2022_50,32
2022_51,36
2022_52,10
2023_00,19
2023_01,30
2023_02,37
2023_03,29
2023_04,38
2023_05,40
2023_06,36
2023_07,40
2023_08,43
2023_09,33
2023_10,38
2023_11,33
2023_12,35
2023_13,37
2023_14,28
2023_15,32
2023_16,24
2023_17,33
2023_18,26
2023_19,34
2023_20,37
2023_21,54
2023_22,31
2023_23,38
2023_24,42
2023_25,32
2023_26,26
2023_27,41
2023_28,31
2023_29,32
2023_30,31
2023_31,44
2023_32,47
2023_33,34
2023_34,31
2023_35,42
2023_36,32
2023_37,26
2023_38,35
2023_39,36
2023_40,31
2023_41,32
2023_42,40
2023_43,28
2023_44,33
2023_45,35
2023_46,42
2023_47,35
2023_48,38
2023_49,17
