year_week,count
2019_29,2
2019_30,4
2019_32,4
2019_34,1
2019_35,1
2019_36,1
2019_37,5
2019_38,4
2019_39,2
2019_40,2
2019_41,3
2019_42,5
2019_43,4
2019_44,4
2019_45,3
2019_46,6
2019_47,6
2019_48,3
2019_49,5
2019_50,3
2019_51,6
2019_52,2
2020_00,4
2020_01,1
2020_02,8
2020_03,3
2020_04,7
2020_05,4
2020_06,5
2020_07,6
2020_08,5
2020_09,6
2020_10,5
2020_11,3
2020_12,7
2020_13,6
2020_14,7
2020_15,4
2020_16,1
2020_17,6
2020_18,7
2020_19,4
2020_20,10
2020_21,9
2020_22,10
2020_23,4
2020_24,10
2020_25,9
2020_26,5
2020_27,1
2020_28,10
2020_29,11
2020_30,13
2020_31,11
2020_32,13
2020_33,9
2020_34,12
2020_35,12
2020_36,9
2020_37,8
2020_38,10
2020_39,8
2020_40,6
2020_41,8
2020_42,6
2020_43,12
2020_44,5
2020_45,11
2020_46,13
2020_47,11
2020_48,12
2020_49,12
2020_50,8
2020_51,15
2020_52,6
2021_00,14
2021_01,16
2021_02,12
2021_03,18
2021_04,15
2021_05,11
2021_06,13
2021_07,13
2021_08,15
2021_09,18
2021_10,10
2021_11,11
2021_12,12
2021_13,14
2021_14,13
2021_15,14
2021_16,20
2021_17,17
2021_18,13
2021_19,12
2021_20,12
2021_21,14
2021_22,15
2021_23,15
2021_24,22
2021_25,24
2021_26,18
2021_27,20
2021_28,21
2021_29,15
2021_30,12
2021_31,7
2021_32,20
2021_33,16
2021_34,19
2021_35,9
2021_36,30
2021_37,17
2021_38,16
2021_39,16
2021_40,21
2021_41,15
2021_42,22
2021_43,18
2021_44,12
2021_45,14
2021_46,14
2021_47,19
2021_48,30
2021_49,23
2021_50,30
2021_51,20
2021_52,5
2022_00,21
2022_01,24
2022_02,20
2022_03,30
2022_04,21
2022_05,25
2022_06,22
2022_07,23
2022_08,21
2022_09,26
2022_10,30
2022_11,16
2022_12,19
2022_13,32
2022_14,20
2022_15,9
2022_16,20
2022_17,26
2022_18,28
2022_19,17
2022_20,24
2022_21,23
2022_22,26
2022_23,30
2022_24,20
2022_25,26
2022_26,34
2022_27,23
2022_28,20
2022_29,34
2022_30,23
2022_31,23
2022_32,28
2022_33,29
2022_34,30
2022_35,26
2022_36,24
2022_37,21
2022_38,29
2022_39,27
2022_40,20
2022_41,35
2022_42,24
2022_43,26
2022_44,25
2022_45,23
2022_46,33
2022_47,35
2022_48,31
2022_49,34
2022_50,21
2022_51,34
2022_52,4
2023_00,24
2023_01,35
2023_02,22
2023_03,24
2023_04,36
2023_05,29
2023_06,29
2023_07,31
2023_08,29
2023_09,34
2023_10,37
2023_11,34
2023_12,36
2023_13,39
2023_14,44
2023_15,38
2023_16,31
2023_17,33
2023_18,28
2023_19,25
2023_20,36
2023_21,33
2023_22,37
2023_23,32
2023_24,29
2023_25,24
2023_26,25
2023_27,44
2023_28,34
2023_29,38
2023_30,35
2023_31,41
2023_32,48
2023_33,34
2023_34,33
2023_35,35
2023_36,32
2023_37,28
2023_38,33
2023_39,38
2023_40,32
2023_41,33
2023_42,31
2023_43,39
2023_44,29
2023_45,34
2023_46,39
2023_47,36
2023_48,49
2023_49,23
