year_week,count
2019_31,1
2019_38,1
2019_41,1
2019_42,1
2019_44,1
2019_46,1
2019_49,1
2019_50,1
2020_05,3
2020_07,1
2020_08,1
2020_09,2
2020_10,1
2020_13,1
2020_14,1
2020_15,4
2020_16,2
2020_17,3
2020_18,1
2020_19,1
2020_20,1
2020_21,1
2020_22,1
2020_23,3
2020_24,2
2020_26,1
2020_27,2
2020_28,2
2020_29,2
2020_30,1
2020_31,1
2020_32,5
2020_33,2
2020_34,1
2020_35,1
2020_36,5
2020_38,1
2020_39,2
2020_41,1
2020_42,3
2020_43,1
2020_44,2
2020_45,4
2020_46,2
2020_47,1
2020_48,2
2020_49,4
2020_50,4
2020_51,2
2020_52,3
2021_00,1
2021_01,4
2021_02,2
2021_03,2
2021_04,6
2021_05,2
2021_06,5
2021_07,3
2021_08,2
2021_09,1
2021_10,4
2021_11,4
2021_12,2
2021_13,4
2021_14,4
2021_15,4
2021_16,2
2021_17,5
2021_19,2
2021_20,6
2021_21,2
2021_22,2
2021_23,4
2021_24,1
2021_25,4
2021_26,6
2021_27,5
2021_28,5
2021_29,2
2021_30,1
2021_31,3
2021_32,6
2021_33,4
2021_34,3
2021_35,5
2021_36,4
2021_37,4
2021_38,3
2021_39,3
2021_40,2
2021_41,3
2021_42,2
2021_43,6
2021_44,3
2021_45,4
2021_46,3
2021_47,5
2021_48,4
2021_49,5
2021_50,6
2021_51,5
2021_52,2
2022_00,8
2022_01,8
2022_02,5
2022_03,4
2022_04,5
2022_05,5
2022_06,4
2022_07,6
2022_08,1
2022_09,3
2022_10,3
2022_11,12
2022_12,3
2022_13,14
2022_14,8
2022_15,1
2022_16,3
2022_17,5
2022_18,3
2022_19,7
2022_20,8
2022_21,4
2022_22,8
2022_23,4
2022_24,8
2022_25,3
2022_26,8
2022_27,11
2022_28,10
2022_29,2
2022_30,6
2022_31,1
2022_32,7
2022_33,4
2022_34,4
2022_35,3
2022_36,6
2022_37,7
2022_38,9
2022_39,3
2022_40,4
2022_41,11
2022_42,5
2022_43,6
2022_44,7
2022_45,7
2022_46,7
2022_47,6
2022_48,7
2022_49,9
2022_50,2
2022_51,10
2022_52,3
2023_00,4
2023_01,11
2023_02,6
2023_03,10
2023_04,9
2023_05,7
2023_06,10
2023_07,10
2023_08,7
2023_09,10
2023_10,11
2023_11,4
2023_12,9
2023_13,3
2023_14,7
2023_15,11
2023_16,8
2023_17,8
2023_18,10
2023_19,9
2023_20,9
2023_21,7
2023_22,8
2023_23,2
2023_24,9
2023_25,6
2023_26,13
2023_27,8
2023_28,9
2023_29,4
2023_30,10
2023_31,9
2023_32,10
2023_33,11
2023_34,5
2023_35,14
2023_36,7
2023_37,6
2023_38,4
2023_39,13
2023_40,1
2023_41,9
2023_42,11
2023_43,10
2023_44,5
2023_45,7
2023_46,5
2023_47,8
2023_48,12
2023_49,2
