year_week,count
2019_29,1
2019_31,1
2019_32,1
2019_36,1
2019_37,1
2019_42,1
2019_44,1
2019_46,1
2019_47,1
2019_48,1
2019_50,1
2019_51,1
2020_02,3
2020_03,1
2020_06,2
2020_07,2
2020_08,1
2020_09,1
2020_10,3
2020_12,1
2020_13,1
2020_17,1
2020_18,2
2020_19,2
2020_20,4
2020_21,4
2020_22,2
2020_23,1
2020_26,1
2020_27,3
2020_28,1
2020_29,1
2020_30,2
2020_32,1
2020_33,1
2020_34,2
2020_35,6
2020_37,3
2020_38,1
2020_39,2
2020_40,5
2020_41,1
2020_42,3
2020_43,2
2020_44,4
2020_45,5
2020_46,2
2020_47,2
2020_48,6
2020_49,5
2020_51,2
2020_52,1
2021_00,2
2021_01,4
2021_02,3
2021_03,4
2021_04,1
2021_05,3
2021_06,2
2021_07,3
2021_08,1
2021_09,4
2021_10,1
2021_11,5
2021_12,5
2021_13,6
2021_14,2
2021_15,5
2021_16,3
2021_17,2
2021_18,4
2021_19,8
2021_20,1
2021_21,1
2021_22,3
2021_23,1
2021_24,3
2021_25,3
2021_26,2
2021_27,6
2021_28,4
2021_29,1
2021_30,1
2021_31,1
2021_32,3
2021_33,3
2021_34,1
2021_35,5
2021_36,3
2021_37,8
2021_38,3
2021_39,4
2021_40,4
2021_41,6
2021_42,2
2021_43,5
2021_44,4
2021_45,5
2021_46,3
2021_47,3
2021_48,1
2021_49,2
2021_50,4
2021_51,10
2021_52,2
2022_00,4
2022_01,5
2022_02,3
2022_03,2
2022_04,7
2022_06,6
2022_07,4
2022_08,3
2022_09,8
2022_10,4
2022_11,5
2022_12,6
2022_13,6
2022_14,2
2022_15,3
2022_16,15
2022_17,6
2022_18,6
2022_19,6
2022_20,5
2022_21,5
2022_22,3
2022_23,11
2022_24,6
2022_25,7
2022_26,1
2022_27,5
2022_28,7
2022_29,12
2022_30,3
2022_31,3
2022_32,8
2022_33,6
2022_34,4
2022_35,3
2022_36,5
2022_37,4
2022_38,5
2022_39,6
2022_40,5
2022_41,4
2022_42,6
2022_43,9
2022_44,5
2022_45,16
2022_46,4
2022_47,12
2022_48,5
2022_49,5
2022_50,8
2022_51,5
2022_52,3
2023_00,9
2023_01,5
2023_02,9
2023_03,6
2023_04,9
2023_05,9
2023_06,6
2023_07,6
2023_08,4
2023_09,7
2023_10,2
2023_11,6
2023_12,9
2023_13,5
2023_14,10
2023_15,9
2023_16,7
2023_17,7
2023_18,3
2023_19,11
2023_20,13
2023_21,12
2023_22,7
2023_23,4
2023_24,9
2023_25,8
2023_26,3
2023_27,8
2023_28,10
2023_29,7
2023_30,8
2023_31,7
2023_32,8
2023_33,10
2023_34,13
2023_35,4
2023_36,3
2023_37,6
2023_38,7
2023_39,10
2023_40,11
2023_41,13
2023_42,8
2023_43,6
2023_44,7
2023_45,8
2023_46,9
2023_47,6
2023_48,5
2023_49,3
