year_week,count
2019_29,1
2019_34,1
2019_35,1
2019_36,2
2019_37,2
2019_38,4
2019_39,1
2019_40,2
2019_41,3
2019_42,7
2019_43,2
2019_44,2
2019_45,5
2019_46,2
2019_48,8
2019_49,6
2019_50,3
2019_51,5
2020_00,4
2020_01,6
2020_02,4
2020_03,9
2020_04,1
2020_05,8
2020_06,10
2020_07,13
2020_08,16
2020_09,16
2020_10,11
2020_11,9
2020_12,14
2020_13,14
2020_14,14
2020_15,14
2020_16,7
2020_17,12
2020_18,11
2020_19,24
2020_20,9
2020_21,12
2020_22,10
2020_23,8
2020_24,15
2020_25,9
2020_26,9
2020_27,18
2020_28,18
2020_29,16
2020_30,10
2020_31,10
2020_32,18
2020_33,19
2020_34,16
2020_35,18
2020_36,11
2020_37,14
2020_38,14
2020_39,32
2020_40,14
2020_41,13
2020_42,23
2020_43,20
2020_44,24
2020_45,20
2020_46,15
2020_47,23
2020_48,19
2020_49,9
2020_50,15
2020_51,22
2020_52,8
2021_00,17
2021_01,25
2021_02,24
2021_03,21
2021_04,17
2021_05,34
2021_06,24
2021_07,25
2021_08,23
2021_09,24
2021_10,24
2021_11,21
2021_12,18
2021_13,23
2021_14,24
2021_15,33
2021_16,16
2021_17,29
2021_18,18
2021_19,18
2021_20,33
2021_21,20
2021_22,23
2021_23,25
2021_24,29
2021_25,26
2021_26,24
2021_27,32
2021_28,26
2021_29,21
2021_30,20
2021_31,30
2021_32,40
2021_33,30
2021_34,31
2021_35,27
2021_36,22
2021_37,32
2021_38,30
2021_39,29
2021_40,22
2021_41,32
2021_42,37
2021_43,38
2021_44,45
2021_45,34
2021_46,42
2021_47,35
2021_48,35
2021_49,37
2021_50,40
2021_51,30
2021_52,6
2022_00,27
2022_01,31
2022_02,38
2022_03,43
2022_04,34
2022_05,37
2022_06,36
2022_07,32
2022_08,28
2022_09,40
2022_10,33
2022_11,46
2022_12,40
2022_13,24
2022_14,35
2022_15,41
2022_16,39
2022_17,42
2022_18,30
2022_19,41
2022_20,35
2022_21,31
2022_22,44
2022_23,42
2022_24,36
2022_25,29
2022_26,51
2022_27,38
2022_28,37
2022_29,39
2022_30,38
2022_31,39
2022_32,41
2022_33,46
2022_34,41
2022_35,29
2022_36,50
2022_37,36
2022_38,39
2022_39,43
2022_40,49
2022_41,44
2022_42,38
2022_43,37
2022_44,57
2022_45,58
2022_46,27
2022_47,40
2022_48,49
2022_49,48
2022_50,38
2022_51,47
2022_52,12
2023_00,39
2023_01,59
2023_02,45
2023_03,72
2023_04,46
2023_05,45
2023_06,35
2023_07,64
2023_08,57
2023_09,49
2023_10,45
2023_11,47
2023_12,53
2023_13,41
2023_14,48
2023_15,57
2023_16,53
2023_17,46
2023_18,55
2023_19,66
2023_20,48
2023_21,59
2023_22,60
2023_23,51
2023_24,59
2023_25,65
2023_26,70
2023_27,55
2023_28,60
2023_29,62
2023_30,55
2023_31,45
2023_32,66
2023_33,52
2023_34,45
2023_35,53
2023_36,59
2023_37,59
2023_38,57
2023_39,76
2023_40,72
2023_41,57
2023_42,51
2023_43,61
2023_44,79
2023_45,69
2023_46,40
2023_47,83
2023_48,54
2023_49,27
