year_week,count
2019_28,1
2019_29,1
2019_32,2
2019_33,1
2019_35,1
2019_36,1
2019_37,1
2019_38,4
2019_40,3
2019_41,3
2019_42,5
2019_43,3
2019_44,10
2019_45,1
2019_46,5
2019_47,7
2019_48,3
2019_49,10
2019_50,2
2019_51,7
2020_00,2
2020_01,10
2020_02,8
2020_03,5
2020_04,8
2020_05,8
2020_06,11
2020_07,6
2020_08,7
2020_09,9
2020_10,21
2020_11,9
2020_12,15
2020_13,13
2020_14,8
2020_15,13
2020_16,8
2020_17,8
2020_18,12
2020_19,7
2020_20,12
2020_21,13
2020_22,15
2020_23,16
2020_24,18
2020_25,14
2020_26,19
2020_27,13
2020_28,16
2020_29,12
2020_30,13
2020_31,12
2020_32,16
2020_33,21
2020_34,14
2020_35,21
2020_36,14
2020_37,17
2020_38,21
2020_39,13
2020_40,21
2020_41,15
2020_42,11
2020_43,10
2020_44,19
2020_45,27
2020_46,23
2020_47,13
2020_48,16
2020_49,15
2020_50,22
2020_51,23
2020_52,8
2021_00,21
2021_01,17
2021_02,17
2021_03,19
2021_04,23
2021_05,20
2021_06,31
2021_07,17
2021_08,17
2021_09,34
2021_10,26
2021_11,25
2021_12,24
2021_13,14
2021_14,19
2021_15,22
2021_16,19
2021_17,29
2021_18,27
2021_19,36
2021_20,23
2021_21,31
2021_22,27
2021_23,21
2021_24,23
2021_25,18
2021_26,18
2021_27,31
2021_28,26
2021_29,28
2021_30,32
2021_31,34
2021_32,25
2021_33,35
2021_34,28
2021_35,29
2021_36,32
2021_37,31
2021_38,32
2021_39,36
2021_40,20
2021_41,27
2021_42,31
2021_43,26
2021_44,31
2021_45,30
2021_46,32
2021_47,30
2021_48,30
2021_49,38
2021_50,27
2021_51,39
2021_52,9
2022_00,25
2022_01,34
2022_02,39
2022_03,44
2022_04,31
2022_05,38
2022_06,24
2022_07,37
2022_08,27
2022_09,43
2022_10,35
2022_11,36
2022_12,43
2022_13,33
2022_14,39
2022_15,46
2022_16,34
2022_17,34
2022_18,39
2022_19,46
2022_20,38
2022_21,36
2022_22,20
2022_23,33
2022_24,40
2022_25,41
2022_26,47
2022_27,44
2022_28,28
2022_29,38
2022_30,43
2022_31,45
2022_32,42
2022_33,48
2022_34,51
2022_35,41
2022_36,43
2022_37,43
2022_38,36
2022_39,44
2022_40,39
2022_41,46
2022_42,35
2022_43,43
2022_44,40
2022_45,37
2022_46,56
2022_47,61
2022_48,55
2022_49,44
2022_50,45
2022_51,38
2022_52,26
2023_00,31
2023_01,48
2023_02,40
2023_03,52
2023_04,58
2023_05,47
2023_06,50
2023_07,48
2023_08,44
2023_09,47
2023_10,63
2023_11,44
2023_12,62
2023_13,55
2023_14,52
2023_15,60
2023_16,56
2023_17,49
2023_18,63
2023_19,64
2023_20,51
2023_21,57
2023_22,57
2023_23,66
2023_24,60
2023_25,58
2023_26,55
2023_27,71
2023_28,69
2023_29,60
2023_30,71
2023_31,51
2023_32,62
2023_33,59
2023_34,70
2023_35,52
2023_36,51
2023_37,74
2023_38,64
2023_39,57
2023_40,67
2023_41,61
2023_42,51
2023_43,76
2023_44,67
2023_45,68
2023_46,67
2023_47,61
2023_48,69
2023_49,30
