year_week,count
2019_42,1
2019_43,3
2019_45,1
2019_47,1
2019_49,1
2019_51,1
2020_02,2
2020_07,1
2020_08,1
2020_09,1
2020_11,2
2020_13,1
2020_18,3
2020_20,2
2020_21,1
2020_22,2
2020_23,3
2020_25,1
2020_26,2
2020_27,2
2020_29,3
2020_30,1
2020_31,1
2020_32,1
2020_33,1
2020_34,1
2020_35,2
2020_37,1
2020_38,1
2020_44,2
2020_45,5
2020_46,1
2020_47,1
2020_49,1
2020_50,2
2020_51,2
2021_00,2
2021_01,1
2021_02,3
2021_03,3
2021_04,3
2021_05,3
2021_06,2
2021_08,1
2021_09,5
2021_10,2
2021_11,3
2021_12,3
2021_13,2
2021_14,2
2021_15,1
2021_16,1
2021_18,1
2021_19,4
2021_20,1
2021_21,1
2021_22,1
2021_23,4
2021_24,3
2021_25,2
2021_26,2
2021_27,2
2021_28,3
2021_29,4
2021_30,1
2021_31,2
2021_32,2
2021_33,4
2021_34,1
2021_35,1
2021_36,2
2021_38,4
2021_39,2
2021_40,1
2021_41,2
2021_42,4
2021_43,3
2021_46,2
2021_47,2
2021_48,2
2021_49,4
2021_51,4
2022_00,3
2022_01,2
2022_03,1
2022_04,3
2022_05,2
2022_06,3
2022_07,8
2022_08,1
2022_09,1
2022_10,2
2022_11,2
2022_12,1
2022_13,1
2022_14,3
2022_15,3
2022_16,5
2022_17,6
2022_18,4
2022_19,4
2022_20,4
2022_21,3
2022_22,6
2022_23,6
2022_24,4
2022_25,1
2022_26,5
2022_27,1
2022_28,2
2022_29,2
2022_30,4
2022_31,6
2022_32,3
2022_33,2
2022_35,1
2022_36,2
2022_37,3
2022_38,3
2022_39,1
2022_40,8
2022_42,4
2022_43,4
2022_44,2
2022_45,3
2022_46,3
2022_47,5
2022_48,3
2022_49,2
2022_50,5
2022_51,2
2022_52,1
2023_00,8
2023_01,3
2023_02,3
2023_03,1
2023_04,3
2023_05,4
2023_06,4
2023_07,7
2023_08,5
2023_09,1
2023_10,6
2023_11,1
2023_12,3
2023_13,2
2023_14,5
2023_15,7
2023_16,2
2023_17,1
2023_18,3
2023_19,3
2023_20,4
2023_21,4
2023_22,5
2023_23,4
2023_24,5
2023_25,5
2023_26,9
2023_27,4
2023_28,6
2023_29,5
2023_30,3
2023_31,5
2023_32,4
2023_33,4
2023_34,5
2023_35,4
2023_36,3
2023_37,3
2023_38,4
2023_39,3
2023_40,3
2023_41,5
2023_42,3
2023_43,5
2023_45,1
2023_46,3
2023_47,4
2023_48,3
2023_49,3
