year_week,count
2019_32,1
2019_33,1
2019_34,1
2019_35,3
2019_36,1
2019_37,2
2019_38,2
2019_39,3
2019_41,4
2019_42,5
2019_43,6
2019_44,5
2019_45,3
2019_46,5
2019_47,3
2019_48,7
2019_49,8
2019_50,8
2019_51,3
2020_00,2
2020_01,9
2020_02,11
2020_03,12
2020_04,8
2020_05,7
2020_06,10
2020_07,7
2020_08,8
2020_09,12
2020_10,15
2020_11,11
2020_12,16
2020_13,6
2020_14,12
2020_15,6
2020_16,11
2020_17,5
2020_18,12
2020_19,8
2020_20,14
2020_21,10
2020_22,18
2020_23,13
2020_24,8
2020_25,4
2020_26,10
2020_27,12
2020_28,13
2020_29,20
2020_30,13
2020_31,13
2020_32,10
2020_33,16
2020_34,18
2020_35,11
2020_36,33
2020_37,15
2020_38,24
2020_39,19
2020_40,13
2020_41,22
2020_42,25
2020_43,19
2020_44,18
2020_45,24
2020_46,17
2020_47,14
2020_48,16
2020_49,17
2020_50,8
2020_51,20
2020_52,6
2021_00,15
2021_01,19
2021_02,31
2021_03,24
2021_04,20
2021_05,14
2021_06,17
2021_07,22
2021_08,24
2021_09,27
2021_10,27
2021_11,26
2021_12,31
2021_13,32
2021_14,29
2021_15,17
2021_16,16
2021_17,19
2021_18,31
2021_19,25
2021_20,23
2021_21,31
2021_22,41
2021_23,24
2021_24,34
2021_25,27
2021_26,24
2021_27,26
2021_28,25
2021_29,30
2021_30,29
2021_31,30
2021_32,30
2021_33,32
2021_34,31
2021_35,34
2021_36,27
2021_37,30
2021_38,34
2021_39,41
2021_40,37
2021_41,41
2021_42,24
2021_43,34
2021_44,33
2021_45,29
2021_46,32
2021_47,40
2021_48,24
2021_49,34
2021_50,30
2021_51,31
2021_52,10
2022_00,34
2022_01,39
2022_02,40
2022_03,39
2022_04,34
2022_05,31
2022_06,38
2022_07,39
2022_08,40
2022_09,29
2022_10,44
2022_11,43
2022_12,37
2022_13,39
2022_14,42
2022_15,40
2022_16,37
2022_17,40
2022_18,39
2022_19,41
2022_20,43
2022_21,34
2022_22,39
2022_23,43
2022_24,34
2022_25,43
2022_26,34
2022_27,42
2022_28,42
2022_29,35
2022_30,38
2022_31,39
2022_32,29
2022_33,35
2022_34,36
2022_35,42
2022_36,51
2022_37,58
2022_38,30
2022_39,37
2022_40,39
2022_41,45
2022_42,52
2022_43,44
2022_44,52
2022_45,61
2022_46,48
2022_47,55
2022_48,52
2022_49,57
2022_50,40
2022_51,33
2022_52,16
2023_00,45
2023_01,44
2023_02,45
2023_03,53
2023_04,62
2023_05,54
2023_06,56
2023_07,60
2023_08,68
2023_09,44
2023_10,55
2023_11,46
2023_12,63
2023_13,51
2023_14,61
2023_15,63
2023_16,56
2023_17,46
2023_18,55
2023_19,51
2023_20,62
2023_21,57
2023_22,63
2023_23,59
2023_24,62
2023_25,52
2023_26,60
2023_27,66
2023_28,56
2023_29,75
2023_30,64
2023_31,49
2023_32,56
2023_33,58
2023_34,58
2023_35,59
2023_36,77
2023_37,59
2023_38,65
2023_39,65
2023_40,60
2023_41,71
2023_42,54
2023_43,53
2023_44,64
2023_45,53
2023_46,72
2023_47,62
2023_48,72
2023_49,23
