year_week,count
2019_47,1
2019_49,1
2019_51,1
2020_00,1
2020_04,2
2020_05,1
2020_11,1
2020_12,1
2020_13,2
2020_14,2
2020_20,2
2020_21,2
2020_22,1
2020_25,1
2020_26,1
2020_27,1
2020_28,1
2020_29,1
2020_30,3
2020_31,4
2020_33,1
2020_34,2
2020_36,2
2020_39,3
2020_43,1
2020_44,2
2020_47,2
2020_48,2
2020_50,3
2020_52,2
2021_02,4
2021_04,2
2021_05,2
2021_06,3
2021_08,1
2021_09,1
2021_10,2
2021_11,2
2021_12,1
2021_13,1
2021_14,2
2021_16,2
2021_17,3
2021_18,6
2021_19,1
2021_21,1
2021_22,2
2021_23,1
2021_24,2
2021_25,3
2021_26,1
2021_29,1
2021_30,3
2021_31,1
2021_32,4
2021_33,2
2021_34,4
2021_35,3
2021_36,3
2021_37,3
2021_38,2
2021_40,1
2021_41,4
2021_43,4
2021_44,2
2021_45,1
2021_46,1
2021_47,2
2021_48,4
2021_49,1
2021_50,4
2021_51,1
2021_52,1
2022_00,1
2022_01,4
2022_02,3
2022_03,4
2022_04,1
2022_05,4
2022_06,1
2022_07,5
2022_08,3
2022_09,4
2022_10,5
2022_12,2
2022_13,4
2022_14,2
2022_15,5
2022_16,3
2022_17,3
2022_18,2
2022_19,3
2022_20,5
2022_21,5
2022_22,3
2022_23,2
2022_24,4
2022_25,1
2022_26,3
2022_27,1
2022_28,4
2022_29,1
2022_30,1
2022_31,5
2022_32,2
2022_33,3
2022_34,4
2022_35,2
2022_36,2
2022_37,1
2022_38,1
2022_39,4
2022_40,2
2022_41,1
2022_42,5
2022_43,2
2022_44,1
2022_45,4
2022_46,4
2022_47,4
2022_48,3
2022_49,4
2022_50,4
2022_51,5
2023_00,2
2023_01,4
2023_02,3
2023_03,1
2023_04,5
2023_05,4
2023_06,3
2023_07,3
2023_08,3
2023_09,3
2023_10,4
2023_11,6
2023_12,3
2023_13,3
2023_14,3
2023_15,1
2023_16,3
2023_17,1
2023_18,5
2023_19,4
2023_20,2
2023_21,2
2023_22,6
2023_23,4
2023_24,4
2023_25,5
2023_26,7
2023_27,5
2023_28,4
2023_29,4
2023_30,4
2023_31,7
2023_32,4
2023_33,3
2023_34,5
2023_35,3
2023_36,4
2023_37,3
2023_38,7
2023_39,4
2023_40,7
2023_41,2
2023_42,4
2023_43,5
2023_44,7
2023_45,4
2023_46,3
2023_47,6
2023_48,5
2023_49,2
