year_week,count
2019_32,2
2019_33,1
2019_34,2
2019_35,2
2019_36,2
2019_37,1
2019_38,3
2019_39,2
2019_40,4
2019_41,5
2019_42,2
2019_43,5
2019_44,3
2019_45,4
2019_46,5
2019_47,5
2019_48,9
2019_49,4
2019_50,7
2019_51,12
2019_52,1
2020_00,12
2020_01,7
2020_02,6
2020_03,11
2020_04,7
2020_05,3
2020_06,10
2020_07,6
2020_08,7
2020_09,8
2020_10,7
2020_11,8
2020_12,8
2020_13,7
2020_14,8
2020_15,17
2020_16,10
2020_17,9
2020_18,9
2020_19,11
2020_20,12
2020_21,6
2020_22,15
2020_23,9
2020_24,12
2020_25,7
2020_26,19
2020_27,17
2020_28,18
2020_29,11
2020_30,13
2020_31,18
2020_32,21
2020_33,17
2020_34,13
2020_35,19
2020_36,22
2020_37,20
2020_38,28
2020_39,8
2020_40,12
2020_41,21
2020_42,21
2020_43,18
2020_44,22
2020_45,22
2020_46,15
2020_47,14
2020_48,18
2020_49,17
2020_50,23
2020_51,18
2020_52,5
2021_00,19
2021_01,11
2021_02,20
2021_03,24
2021_04,24
2021_05,33
2021_06,17
2021_07,16
2021_08,25
2021_09,14
2021_10,19
2021_11,20
2021_12,28
2021_13,19
2021_14,15
2021_15,21
2021_16,30
2021_17,24
2021_18,19
2021_19,24
2021_20,22
2021_21,31
2021_22,25
2021_23,36
2021_24,25
2021_25,26
2021_26,23
2021_27,27
2021_28,27
2021_29,25
2021_30,31
2021_31,29
2021_32,28
2021_33,33
2021_34,26
2021_35,28
2021_36,44
2021_37,26
2021_38,23
2021_39,38
2021_40,39
2021_41,29
2021_42,28
2021_43,24
2021_44,34
2021_45,25
2021_46,39
2021_47,40
2021_48,43
2021_49,35
2021_50,33
2021_51,28
2021_52,9
2022_00,33
2022_01,35
2022_02,38
2022_03,32
2022_04,44
2022_05,31
2022_06,38
2022_07,42
2022_08,31
2022_09,42
2022_10,35
2022_11,43
2022_12,35
2022_13,32
2022_14,29
2022_15,27
2022_16,37
2022_17,41
2022_18,35
2022_19,49
2022_20,38
2022_21,40
2022_22,41
2022_23,54
2022_24,32
2022_25,42
2022_26,42
2022_27,50
2022_28,48
2022_29,44
2022_30,39
2022_31,26
2022_32,34
2022_33,46
2022_34,51
2022_35,50
2022_36,34
2022_37,52
2022_38,52
2022_39,42
2022_40,38
2022_41,38
2022_42,51
2022_43,52
2022_44,60
2022_45,44
2022_46,32
2022_47,44
2022_48,40
2022_49,43
2022_50,42
2022_51,50
2022_52,18
2023_00,52
2023_01,42
2023_02,39
2023_03,57
2023_04,46
2023_05,53
2023_06,66
2023_07,54
2023_08,45
2023_09,43
2023_10,49
2023_11,63
2023_12,51
2023_13,39
2023_14,65
2023_15,55
2023_16,59
2023_17,53
2023_18,36
2023_19,39
2023_20,68
2023_21,63
2023_22,55
2023_23,54
2023_24,47
2023_25,56
2023_26,57
2023_27,47
2023_28,60
2023_29,56
2023_30,60
2023_31,61
2023_32,53
2023_33,71
2023_34,61
2023_35,42
2023_36,67
2023_37,56
2023_38,60
2023_39,57
2023_40,72
2023_41,44
2023_42,49
2023_43,51
2023_44,73
2023_45,68
2023_46,62
2023_47,65
2023_48,67
2023_49,19
