year_week,count
2019_29,3
2019_30,1
2019_31,3
2019_33,3
2019_34,3
2019_35,5
2019_36,4
2019_37,5
2019_38,4
2019_39,10
2019_40,7
2019_41,8
2019_42,9
2019_43,3
2019_44,7
2019_45,12
2019_46,6
2019_47,8
2019_48,10
2019_49,7
2019_50,14
2019_51,15
2020_00,14
2020_01,13
2020_02,20
2020_03,11
2020_04,10
2020_05,14
2020_06,12
2020_07,15
2020_08,15
2020_09,12
2020_10,19
2020_11,20
2020_12,22
2020_13,25
2020_14,18
2020_15,21
2020_16,21
2020_17,25
2020_18,22
2020_19,23
2020_20,22
2020_21,33
2020_22,27
2020_23,20
2020_24,26
2020_25,25
2020_26,25
2020_27,16
2020_28,33
2020_29,29
2020_30,34
2020_31,27
2020_32,36
2020_33,33
2020_34,30
2020_35,28
2020_36,30
2020_37,28
2020_38,30
2020_39,29
2020_40,29
2020_41,22
2020_42,31
2020_43,35
2020_44,33
2020_45,34
2020_46,27
2020_47,42
2020_48,32
2020_49,41
2020_50,27
2020_51,49
2020_52,18
2021_00,35
2021_01,28
2021_02,47
2021_03,37
2021_04,41
2021_05,33
2021_06,51
2021_07,41
2021_08,30
2021_09,51
2021_10,39
2021_11,52
2021_12,47
2021_13,42
2021_14,49
2021_15,46
2021_16,49
2021_17,43
2021_18,56
2021_19,44
2021_20,47
2021_21,45
2021_22,35
2021_23,48
2021_24,44
2021_25,38
2021_26,57
2021_27,47
2021_28,42
2021_29,54
2021_30,46
2021_31,69
2021_32,44
2021_33,54
2021_34,56
2021_35,59
2021_36,75
2021_37,59
2021_38,58
2021_39,44
2021_40,52
2021_41,58
2021_42,66
2021_43,63
2021_44,69
2021_45,74
2021_46,63
2021_47,65
2021_48,67
2021_49,69
2021_50,69
2021_51,72
2021_52,12
2022_00,69
2022_01,66
2022_02,67
2022_03,65
2022_04,71
2022_05,72
2022_06,49
2022_07,60
2022_08,70
2022_09,64
2022_10,78
2022_11,64
2022_12,71
2022_13,90
2022_14,76
2022_15,62
2022_16,97
2022_17,73
2022_18,78
2022_19,84
2022_20,105
2022_21,89
2022_22,86
2022_23,68
2022_24,87
2022_25,97
2022_26,91
2022_27,78
2022_28,80
2022_29,86
2022_30,67
2022_31,75
2022_32,97
2022_33,90
2022_34,92
2022_35,78
2022_36,92
2022_37,86
2022_38,100
2022_39,89
2022_40,97
2022_41,98
2022_42,78
2022_43,93
2022_44,94
2022_45,94
2022_46,86
2022_47,125
2022_48,94
2022_49,106
2022_50,107
2022_51,101
2022_52,33
2023_00,97
2023_01,102
2023_02,127
2023_03,98
2023_04,109
2023_05,100
2023_06,93
2023_07,112
2023_08,104
2023_09,106
2023_10,107
2023_11,110
2023_12,109
2023_13,117
2023_14,103
2023_15,129
2023_16,98
2023_17,88
2023_18,95
2023_19,107
2023_20,97
2023_21,118
2023_22,105
2023_23,121
2023_24,115
2023_25,115
2023_26,119
2023_27,101
2023_28,131
2023_29,126
2023_30,110
2023_31,124
2023_32,101
2023_33,122
2023_34,120
2023_35,108
2023_36,95
2023_37,115
2023_38,137
2023_39,130
2023_40,116
2023_41,104
2023_42,101
2023_43,110
2023_44,121
2023_45,105
2023_46,110
2023_47,140
2023_48,119
2023_49,50
