year_week,count
2019_30,2
2019_31,2
2019_33,1
2019_34,4
2019_35,1
2019_36,2
2019_37,1
2019_39,3
2019_40,3
2019_41,3
2019_42,1
2019_43,6
2019_44,3
2019_45,2
2019_46,3
2019_47,7
2019_48,1
2019_49,4
2019_50,9
2019_51,8
2020_00,7
2020_01,9
2020_02,6
2020_03,1
2020_04,3
2020_05,7
2020_06,7
2020_07,3
2020_09,3
2020_10,8
2020_11,4
2020_12,8
2020_13,7
2020_14,7
2020_15,14
2020_16,3
2020_17,4
2020_18,6
2020_19,5
2020_20,8
2020_21,11
2020_22,8
2020_23,11
2020_24,14
2020_25,7
2020_26,12
2020_27,9
2020_28,8
2020_29,10
2020_30,9
2020_31,13
2020_32,10
2020_33,7
2020_34,15
2020_35,14
2020_36,10
2020_37,12
2020_38,14
2020_39,10
2020_40,12
2020_41,14
2020_42,6
2020_43,10
2020_44,6
2020_45,9
2020_46,13
2020_47,11
2020_48,14
2020_49,21
2020_50,15
2020_51,13
2020_52,9
2021_00,16
2021_01,19
2021_02,15
2021_03,12
2021_04,16
2021_05,18
2021_06,13
2021_07,21
2021_08,14
2021_09,14
2021_10,18
2021_11,18
2021_12,18
2021_13,18
2021_14,17
2021_15,19
2021_16,18
2021_17,19
2021_18,13
2021_19,16
2021_20,16
2021_21,13
2021_22,14
2021_23,22
2021_24,17
2021_25,15
2021_26,22
2021_27,21
2021_28,19
2021_29,20
2021_30,21
2021_31,14
2021_32,27
2021_33,15
2021_34,27
2021_35,21
2021_36,22
2021_37,20
2021_38,23
2021_39,25
2021_40,15
2021_41,27
2021_42,16
2021_43,23
2021_44,20
2021_45,19
2021_46,30
2021_47,22
2021_48,19
2021_49,24
2021_50,31
2021_51,26
2021_52,3
2022_00,22
2022_01,17
2022_02,28
2022_03,25
2022_04,28
2022_05,24
2022_06,23
2022_07,25
2022_08,38
2022_09,16
2022_10,22
2022_11,24
2022_12,28
2022_13,26
2022_14,34
2022_15,19
2022_16,27
2022_17,27
2022_18,22
2022_19,29
2022_20,28
2022_21,21
2022_22,37
2022_23,34
2022_24,40
2022_25,25
2022_26,36
2022_27,24
2022_28,21
2022_29,30
2022_30,30
2022_31,43
2022_32,29
2022_33,25
2022_34,37
2022_35,26
2022_36,26
2022_37,26
2022_38,35
2022_39,31
2022_40,30
2022_41,31
2022_42,25
2022_43,46
2022_44,36
2022_45,41
2022_46,24
2022_47,29
2022_48,25
2022_49,25
2022_50,36
2022_51,37
2022_52,7
2023_00,28
2023_01,31
2023_02,33
2023_03,24
2023_04,26
2023_05,30
2023_06,33
2023_07,41
2023_08,49
2023_09,31
2023_10,34
2023_11,33
2023_12,46
2023_13,32
2023_14,47
2023_15,46
2023_16,35
2023_17,37
2023_18,38
2023_19,39
2023_20,28
2023_21,35
2023_22,39
2023_23,37
2023_24,40
2023_25,31
2023_26,38
2023_27,36
2023_28,30
2023_29,33
2023_30,41
2023_31,44
2023_32,41
2023_33,43
2023_34,42
2023_35,45
2023_36,44
2023_37,46
2023_38,45
2023_39,45
2023_40,40
2023_41,36
2023_42,44
2023_43,27
2023_44,43
2023_45,54
2023_46,51
2023_47,44
2023_48,56
2023_49,24
