year_week,count
2019_29,4
2019_30,11
2019_31,6
2019_32,5
2019_33,5
2019_34,7
2019_35,11
2019_36,8
2019_37,12
2019_38,13
2019_39,23
2019_40,25
2019_41,26
2019_42,22
2019_43,28
2019_44,28
2019_45,28
2019_46,19
2019_47,40
2019_48,29
2019_49,29
2019_50,24
2019_51,24
2019_52,12
2020_00,35
2020_01,31
2020_02,49
2020_03,42
2020_04,39
2020_05,38
2020_06,45
2020_07,44
2020_08,50
2020_09,36
2020_10,55
2020_11,51
2020_12,47
2020_13,69
2020_14,49
2020_15,47
2020_16,63
2020_17,52
2020_18,68
2020_19,54
2020_20,61
2020_21,72
2020_22,72
2020_23,50
2020_24,80
2020_25,55
2020_26,58
2020_27,69
2020_28,82
2020_29,59
2020_30,85
2020_31,63
2020_32,66
2020_33,78
2020_34,76
2020_35,83
2020_36,87
2020_37,61
2020_38,97
2020_39,70
2020_40,65
2020_41,83
2020_42,89
2020_43,80
2020_44,88
2020_45,112
2020_46,89
2020_47,103
2020_48,103
2020_49,94
2020_50,80
2020_51,93
2020_52,39
2021_00,83
2021_01,99
2021_02,85
2021_03,87
2021_04,108
2021_05,114
2021_06,101
2021_07,88
2021_08,112
2021_09,117
2021_10,99
2021_11,107
2021_12,122
2021_13,104
2021_14,117
2021_15,134
2021_16,128
2021_17,113
2021_18,111
2021_19,132
2021_20,110
2021_21,131
2021_22,128
2021_23,131
2021_24,127
2021_25,136
2021_26,123
2021_27,130
2021_28,131
2021_29,119
2021_30,127
2021_31,141
2021_32,126
2021_33,168
2021_34,151
2021_35,163
2021_36,160
2021_37,114
2021_38,159
2021_39,148
2021_40,137
2021_41,156
2021_42,129
2021_43,162
2021_44,166
2021_45,160
2021_46,173
2021_47,175
2021_48,183
2021_49,181
2021_50,194
2021_51,189
2021_52,35
2022_00,157
2022_01,172
2022_02,171
2022_03,165
2022_04,188
2022_05,201
2022_06,144
2022_07,180
2022_08,188
2022_09,209
2022_10,173
2022_11,182
2022_12,205
2022_13,199
2022_14,197
2022_15,210
2022_16,176
2022_17,192
2022_18,225
2022_19,200
2022_20,271
2022_21,215
2022_22,220
2022_23,207
2022_24,204
2022_25,239
2022_26,222
2022_27,219
2022_28,206
2022_29,224
2022_30,222
2022_31,232
2022_32,215
2022_33,220
2022_34,228
2022_35,231
2022_36,205
2022_37,217
2022_38,224
2022_39,223
2022_40,228
2022_41,236
2022_42,244
2022_43,241
2022_44,208
2022_45,281
2022_46,250
2022_47,232
2022_48,240
2022_49,270
2022_50,251
2022_51,260
2022_52,74
2023_00,217
2023_01,261
2023_02,240
2023_03,257
2023_04,279
2023_05,266
2023_06,247
2023_07,308
2023_08,259
2023_09,258
2023_10,252
2023_11,250
2023_12,287
2023_13,255
2023_14,263
2023_15,285
2023_16,245
2023_17,278
2023_18,278
2023_19,268
2023_20,276
2023_21,307
2023_22,264
2023_23,323
2023_24,289
2023_25,273
2023_26,301
2023_27,319
2023_28,283
2023_29,300
2023_30,303
2023_31,304
2023_32,278
2023_33,275
2023_34,318
2023_35,301
2023_36,292
2023_37,294
2023_38,329
2023_39,285
2023_40,311
2023_41,306
2023_42,315
2023_43,283
2023_44,315
2023_45,331
2023_46,302
2023_47,293
2023_48,313
2023_49,116
