year_week,count
2019_28,1
2019_29,3
2019_30,5
2019_31,1
2019_32,5
2019_33,3
2019_34,3
2019_35,3
2019_36,13
2019_37,8
2019_38,19
2019_39,9
2019_40,16
2019_41,16
2019_42,11
2019_43,15
2019_44,21
2019_45,25
2019_46,19
2019_47,16
2019_48,18
2019_49,21
2019_50,18
2019_51,14
2019_52,4
2020_00,17
2020_01,38
2020_02,30
2020_03,16
2020_04,33
2020_05,35
2020_06,31
2020_07,26
2020_08,39
2020_09,26
2020_10,29
2020_11,26
2020_12,39
2020_13,35
2020_14,39
2020_15,47
2020_16,39
2020_17,40
2020_18,33
2020_19,32
2020_20,47
2020_21,52
2020_22,43
2020_23,43
2020_24,48
2020_25,42
2020_26,44
2020_27,45
2020_28,40
2020_29,39
2020_30,44
2020_31,45
2020_32,56
2020_33,45
2020_34,54
2020_35,70
2020_36,54
2020_37,49
2020_38,59
2020_39,45
2020_40,54
2020_41,46
2020_42,51
2020_43,58
2020_44,71
2020_45,71
2020_46,58
2020_47,75
2020_48,80
2020_49,47
2020_50,51
2020_51,69
2020_52,34
2021_00,54
2021_01,67
2021_02,75
2021_03,65
2021_04,59
2021_05,71
2021_06,62
2021_07,71
2021_08,66
2021_09,73
2021_10,100
2021_11,80
2021_12,86
2021_13,71
2021_14,73
2021_15,94
2021_16,100
2021_17,80
2021_18,96
2021_19,81
2021_20,90
2021_21,64
2021_22,95
2021_23,78
2021_24,96
2021_25,81
2021_26,88
2021_27,95
2021_28,98
2021_29,105
2021_30,82
2021_31,86
2021_32,101
2021_33,99
2021_34,106
2021_35,108
2021_36,111
2021_37,106
2021_38,102
2021_39,93
2021_40,100
2021_41,111
2021_42,97
2021_43,122
2021_44,99
2021_45,121
2021_46,113
2021_47,102
2021_48,106
2021_49,113
2021_50,99
2021_51,118
2021_52,20
2022_00,111
2022_01,110
2022_02,124
2022_03,141
2022_04,120
2022_05,137
2022_06,130
2022_07,145
2022_08,110
2022_09,136
2022_10,118
2022_11,127
2022_12,156
2022_13,137
2022_14,142
2022_15,139
2022_16,151
2022_17,149
2022_18,144
2022_19,161
2022_20,152
2022_21,141
2022_22,148
2022_23,155
2022_24,154
2022_25,166
2022_26,165
2022_27,172
2022_28,131
2022_29,139
2022_30,139
2022_31,169
2022_32,168
2022_33,138
2022_34,176
2022_35,162
2022_36,160
2022_37,143
2022_38,135
2022_39,179
2022_40,188
2022_41,174
2022_42,168
2022_43,156
2022_44,171
2022_45,168
2022_46,159
2022_47,169
2022_48,153
2022_49,181
2022_50,174
2022_51,193
2022_52,57
2023_00,160
2023_01,180
2023_02,178
2023_03,180
2023_04,177
2023_05,179
2023_06,181
2023_07,193
2023_08,210
2023_09,185
2023_10,157
2023_11,179
2023_12,200
2023_13,179
2023_14,186
2023_15,193
2023_16,225
2023_17,169
2023_18,195
2023_19,212
2023_20,183
2023_21,221
2023_22,198
2023_23,208
2023_24,189
2023_25,199
2023_26,178
2023_27,193
2023_28,194
2023_29,218
2023_30,214
2023_31,201
2023_32,193
2023_33,188
2023_34,197
2023_35,192
2023_36,205
2023_37,219
2023_38,220
2023_39,205
2023_40,205
2023_41,230
2023_42,219
2023_43,228
2023_44,204
2023_45,244
2023_46,200
2023_47,214
2023_48,235
2023_49,88
