year_week,count
2019_31,1
2019_33,3
2019_35,1
2019_37,3
2019_38,6
2019_39,4
2019_40,2
2019_41,2
2019_42,3
2019_43,3
2019_44,2
2019_45,7
2019_46,3
2019_47,4
2019_48,9
2019_49,2
2019_50,3
2019_51,7
2019_52,2
2020_00,2
2020_01,7
2020_02,7
2020_03,8
2020_04,7
2020_05,8
2020_06,5
2020_07,8
2020_08,5
2020_09,6
2020_10,9
2020_11,9
2020_12,7
2020_13,10
2020_14,16
2020_15,14
2020_16,6
2020_17,12
2020_18,10
2020_19,11
2020_20,15
2020_21,9
2020_22,13
2020_23,15
2020_24,11
2020_25,13
2020_26,16
2020_27,23
2020_28,16
2020_29,20
2020_30,18
2020_31,14
2020_32,16
2020_33,19
2020_34,22
2020_35,14
2020_36,15
2020_37,25
2020_38,21
2020_39,18
2020_40,21
2020_41,16
2020_42,14
2020_43,11
2020_44,23
2020_45,18
2020_46,16
2020_47,25
2020_48,27
2020_49,20
2020_50,15
2020_51,16
2020_52,6
2021_00,13
2021_01,15
2021_02,23
2021_03,24
2021_04,31
2021_05,28
2021_06,20
2021_07,31
2021_08,17
2021_09,22
2021_10,26
2021_11,31
2021_12,21
2021_13,24
2021_14,22
2021_15,26
2021_16,18
2021_17,33
2021_18,26
2021_19,26
2021_20,35
2021_21,20
2021_22,23
2021_23,36
2021_24,26
2021_25,29
2021_26,26
2021_27,28
2021_28,21
2021_29,33
2021_30,36
2021_31,28
2021_32,29
2021_33,33
2021_34,28
2021_35,30
2021_36,22
2021_37,26
2021_38,41
2021_39,31
2021_40,33
2021_41,37
2021_42,24
2021_43,36
2021_44,26
2021_45,33
2021_46,40
2021_47,38
2021_48,33
2021_49,36
2021_50,26
2021_51,31
2021_52,11
2022_00,19
2022_01,39
2022_02,35
2022_03,40
2022_04,35
2022_05,27
2022_06,29
2022_07,46
2022_08,36
2022_09,26
2022_10,30
2022_11,49
2022_12,32
2022_13,31
2022_14,38
2022_15,38
2022_16,38
2022_17,42
2022_18,28
2022_19,43
2022_20,32
2022_21,45
2022_22,47
2022_23,44
2022_24,38
2022_25,50
2022_26,35
2022_27,51
2022_28,34
2022_29,44
2022_30,39
2022_31,42
2022_32,46
2022_33,40
2022_34,43
2022_35,40
2022_36,50
2022_37,49
2022_38,54
2022_39,32
2022_40,39
2022_41,40
2022_42,36
2022_43,51
2022_44,43
2022_45,49
2022_46,44
2022_47,57
2022_48,43
2022_49,54
2022_50,50
2022_51,44
2022_52,15
2023_00,31
2023_01,40
2023_02,40
2023_03,51
2023_04,60
2023_05,59
2023_06,52
2023_07,51
2023_08,37
2023_09,50
2023_10,58
2023_11,56
2023_12,55
2023_13,44
2023_14,44
2023_15,54
2023_16,52
2023_17,55
2023_18,63
2023_19,52
2023_20,61
2023_21,68
2023_22,59
2023_23,63
2023_24,55
2023_25,63
2023_26,63
2023_27,50
2023_28,66
2023_29,64
2023_30,50
2023_31,58
2023_32,66
2023_33,55
2023_34,57
2023_35,70
2023_36,53
2023_37,59
2023_38,71
2023_39,55
2023_40,51
2023_41,47
2023_42,72
2023_43,58
2023_44,60
2023_45,64
2023_46,52
2023_47,58
2023_48,59
2023_49,26
