year_week,count
2019_36,2
2019_37,1
2019_38,1
2019_39,1
2019_40,1
2019_42,1
2019_43,3
2019_45,4
2019_46,1
2019_47,4
2019_48,6
2019_49,1
2019_50,3
2019_51,1
2019_52,1
2020_01,5
2020_02,3
2020_03,3
2020_04,4
2020_05,2
2020_06,5
2020_07,3
2020_08,5
2020_09,1
2020_10,2
2020_11,5
2020_12,4
2020_13,8
2020_14,5
2020_15,2
2020_16,4
2020_17,2
2020_18,5
2020_19,3
2020_20,8
2020_21,8
2020_22,8
2020_23,6
2020_24,6
2020_25,9
2020_26,5
2020_27,7
2020_28,8
2020_29,5
2020_30,4
2020_31,6
2020_32,10
2020_33,8
2020_34,6
2020_35,9
2020_36,6
2020_37,5
2020_38,5
2020_39,10
2020_40,7
2020_41,8
2020_42,6
2020_43,9
2020_44,4
2020_45,9
2020_46,9
2020_47,12
2020_48,4
2020_49,7
2020_50,4
2020_51,12
2020_52,2
2021_00,6
2021_01,6
2021_02,4
2021_03,8
2021_04,6
2021_05,11
2021_06,7
2021_07,12
2021_08,4
2021_09,10
2021_10,7
2021_11,11
2021_12,15
2021_13,7
2021_14,6
2021_15,11
2021_16,11
2021_17,14
2021_18,10
2021_19,10
2021_20,11
2021_21,10
2021_22,7
2021_23,11
2021_24,8
2021_25,9
2021_26,9
2021_27,13
2021_28,8
2021_29,12
2021_30,10
2021_31,11
2021_32,13
2021_33,16
2021_34,13
2021_35,9
2021_36,13
2021_37,12
2021_38,10
2021_39,13
2021_40,12
2021_41,13
2021_42,15
2021_43,21
2021_44,20
2021_45,9
2021_46,7
2021_47,7
2021_48,6
2021_49,9
2021_50,14
2021_51,10
2021_52,2
2022_00,10
2022_01,21
2022_02,11
2022_03,15
2022_04,15
2022_05,10
2022_06,14
2022_07,12
2022_08,19
2022_09,16
2022_10,11
2022_11,8
2022_12,27
2022_13,17
2022_14,17
2022_15,17
2022_16,8
2022_17,23
2022_18,16
2022_19,17
2022_20,28
2022_21,18
2022_22,21
2022_23,22
2022_24,15
2022_25,20
2022_26,11
2022_27,13
2022_28,12
2022_29,12
2022_30,20
2022_31,19
2022_32,18
2022_33,14
2022_34,21
2022_35,27
2022_36,24
2022_37,16
2022_38,19
2022_39,19
2022_40,21
2022_41,21
2022_42,21
2022_43,19
2022_44,17
2022_45,27
2022_46,10
2022_47,17
2022_48,12
2022_49,13
2022_50,22
2022_51,19
2022_52,4
2023_00,25
2023_01,17
2023_02,26
2023_03,19
2023_04,24
2023_05,29
2023_06,25
2023_07,17
2023_08,16
2023_09,13
2023_10,21
2023_11,22
2023_12,16
2023_13,31
2023_14,28
2023_15,18
2023_16,21
2023_17,22
2023_18,27
2023_19,21
2023_20,25
2023_21,25
2023_22,26
2023_23,26
2023_24,17
2023_25,24
2023_26,30
2023_27,24
2023_28,21
2023_29,23
2023_30,27
2023_31,25
2023_32,30
2023_33,25
2023_34,18
2023_35,17
2023_36,24
2023_37,29
2023_38,29
2023_39,33
2023_40,21
2023_41,24
2023_42,24
2023_43,28
2023_44,24
2023_45,31
2023_46,31
2023_47,29
2023_48,29
2023_49,13
