year_week,count
2019_27,1
2019_28,1
2019_30,2
2019_32,2
2019_33,1
2019_34,8
2019_35,5
2019_36,10
2019_37,2
2019_38,7
2019_39,8
2019_40,13
2019_41,12
2019_42,13
2019_43,10
2019_44,12
2019_45,7
2019_46,9
2019_47,5
2019_48,11
2019_49,18
2019_50,8
2019_51,13
2019_52,3
2020_00,18
2020_01,23
2020_02,20
2020_03,19
2020_04,13
2020_05,19
2020_06,16
2020_07,16
2020_08,19
2020_09,17
2020_10,23
2020_11,22
2020_12,21
2020_13,25
2020_14,33
2020_15,25
2020_16,22
2020_17,21
2020_18,25
2020_19,29
2020_20,33
2020_21,32
2020_22,28
2020_23,11
2020_24,25
2020_25,25
2020_26,28
2020_27,30
2020_28,34
2020_29,37
2020_30,33
2020_31,29
2020_32,42
2020_33,27
2020_34,24
2020_35,43
2020_36,35
2020_37,26
2020_38,40
2020_39,36
2020_40,27
2020_41,40
2020_42,38
2020_43,46
2020_44,39
2020_45,30
2020_46,48
2020_47,46
2020_48,59
2020_49,42
2020_50,43
2020_51,40
2020_52,17
2021_00,35
2021_01,46
2021_02,50
2021_03,42
2021_04,49
2021_05,37
2021_06,45
2021_07,48
2021_08,44
2021_09,51
2021_10,49
2021_11,54
2021_12,53
2021_13,55
2021_14,49
2021_15,51
2021_16,60
2021_17,69
2021_18,64
2021_19,52
2021_20,58
2021_21,54
2021_22,63
2021_23,40
2021_24,60
2021_25,67
2021_26,59
2021_27,57
2021_28,55
2021_29,58
2021_30,69
2021_31,63
2021_32,73
2021_33,44
2021_34,70
2021_35,78
2021_36,82
2021_37,70
2021_38,73
2021_39,56
2021_40,69
2021_41,73
2021_42,73
2021_43,77
2021_44,80
2021_45,75
2021_46,61
2021_47,72
2021_48,90
2021_49,85
2021_50,72
2021_51,86
2021_52,16
2022_00,64
2022_01,68
2022_02,84
2022_03,63
2022_04,88
2022_05,72
2022_06,74
2022_07,89
2022_08,94
2022_09,84
2022_10,64
2022_11,99
2022_12,95
2022_13,92
2022_14,91
2022_15,83
2022_16,96
2022_17,82
2022_18,88
2022_19,109
2022_20,104
2022_21,86
2022_22,101
2022_23,86
2022_24,99
2022_25,104
2022_26,89
2022_27,99
2022_28,89
2022_29,90
2022_30,98
2022_31,86
2022_32,114
2022_33,97
2022_34,113
2022_35,90
2022_36,72
2022_37,99
2022_38,96
2022_39,112
2022_40,101
2022_41,112
2022_42,104
2022_43,100
2022_44,98
2022_45,115
2022_46,136
2022_47,127
2022_48,93
2022_49,119
2022_50,120
2022_51,111
2022_52,28
2023_00,88
2023_01,106
2023_02,132
2023_03,103
2023_04,113
2023_05,125
2023_06,117
2023_07,124
2023_08,103
2023_09,135
2023_10,138
2023_11,112
2023_12,124
2023_13,142
2023_14,116
2023_15,122
2023_16,123
2023_17,120
2023_18,122
2023_19,127
2023_20,109
2023_21,137
2023_22,126
2023_23,138
2023_24,139
2023_25,133
2023_26,125
2023_27,149
2023_28,135
2023_29,143
2023_30,131
2023_31,142
2023_32,105
2023_33,136
2023_34,133
2023_35,156
2023_36,142
2023_37,148
2023_38,128
2023_39,153
2023_40,134
2023_41,131
2023_42,135
2023_43,132
2023_44,136
2023_45,154
2023_46,141
2023_47,152
2023_48,128
2023_49,68
