year_week,count
2019_30,1
2019_35,1
2019_40,2
2019_42,1
2019_46,1
2019_48,1
2019_49,1
2019_51,2
2020_02,1
2020_04,1
2020_05,2
2020_08,1
2020_09,1
2020_14,2
2020_15,1
2020_16,3
2020_17,2
2020_18,1
2020_19,1
2020_23,1
2020_24,2
2020_25,1
2020_28,1
2020_29,2
2020_30,1
2020_32,1
2020_33,1
2020_34,1
2020_36,1
2020_39,1
2020_40,1
2020_42,2
2020_43,3
2020_44,1
2020_45,1
2020_46,1
2020_48,1
2020_49,3
2020_50,2
2020_51,2
2021_00,3
2021_02,2
2021_03,2
2021_05,3
2021_06,1
2021_07,4
2021_08,1
2021_10,2
2021_11,3
2021_12,1
2021_13,1
2021_14,4
2021_15,3
2021_16,2
2021_17,4
2021_18,2
2021_19,1
2021_20,3
2021_21,2
2021_22,2
2021_23,2
2021_25,2
2021_26,1
2021_27,1
2021_28,1
2021_30,1
2021_31,4
2021_32,1
2021_33,2
2021_34,3
2021_35,2
2021_36,2
2021_37,4
2021_38,4
2021_40,3
2021_41,4
2021_42,4
2021_43,4
2021_44,3
2021_45,2
2021_47,1
2021_48,2
2021_49,1
2021_50,1
2021_51,1
2021_52,1
2022_00,1
2022_01,2
2022_02,4
2022_03,2
2022_04,1
2022_05,3
2022_06,3
2022_07,5
2022_08,1
2022_09,2
2022_10,1
2022_11,1
2022_12,3
2022_13,7
2022_14,4
2022_15,1
2022_16,3
2022_17,1
2022_18,5
2022_19,1
2022_20,2
2022_21,3
2022_22,1
2022_23,3
2022_24,1
2022_25,4
2022_26,2
2022_27,2
2022_28,6
2022_29,4
2022_30,1
2022_31,2
2022_32,2
2022_33,4
2022_34,2
2022_35,3
2022_36,1
2022_37,2
2022_38,3
2022_39,1
2022_40,3
2022_41,2
2022_42,1
2022_43,3
2022_44,3
2022_45,8
2022_46,2
2022_47,4
2022_48,1
2022_50,5
2022_51,4
2023_01,5
2023_02,2
2023_03,6
2023_04,7
2023_05,3
2023_07,3
2023_08,6
2023_09,1
2023_10,4
2023_11,3
2023_12,6
2023_13,2
2023_14,5
2023_15,7
2023_16,1
2023_17,3
2023_18,2
2023_19,7
2023_20,2
2023_21,2
2023_22,5
2023_23,5
2023_24,5
2023_25,4
2023_26,2
2023_27,4
2023_28,4
2023_29,3
2023_30,3
2023_31,4
2023_32,5
2023_33,3
2023_34,3
2023_35,2
2023_36,6
2023_37,7
2023_38,4
2023_39,5
2023_40,5
2023_41,6
2023_42,7
2023_43,4
2023_44,3
2023_45,3
2023_46,5
2023_47,4
2023_48,5
2023_49,6
