year_week,count
2019_29,2
2019_30,1
2019_32,1
2019_33,6
2019_34,3
2019_35,3
2019_36,2
2019_37,6
2019_38,7
2019_39,7
2019_40,13
2019_41,5
2019_42,8
2019_43,11
2019_44,7
2019_45,6
2019_46,13
2019_47,12
2019_48,11
2019_49,13
2019_50,10
2019_51,15
2019_52,3
2020_00,13
2020_01,18
2020_02,14
2020_03,14
2020_04,8
2020_05,16
2020_06,14
2020_07,17
2020_08,15
2020_09,10
2020_10,10
2020_11,25
2020_12,11
2020_13,15
2020_14,22
2020_15,15
2020_16,6
2020_17,18
2020_18,17
2020_19,15
2020_20,22
2020_21,26
2020_22,21
2020_23,24
2020_24,28
2020_25,15
2020_26,17
2020_27,25
2020_28,25
2020_29,25
2020_30,32
2020_31,41
2020_32,28
2020_33,31
2020_34,22
2020_35,25
2020_36,26
2020_37,24
2020_38,30
2020_39,37
2020_40,21
2020_41,24
2020_42,36
2020_43,27
2020_44,36
2020_45,43
2020_46,31
2020_47,29
2020_48,27
2020_49,41
2020_50,43
2020_51,42
2020_52,12
2021_00,35
2021_01,48
2021_02,29
2021_03,42
2021_04,36
2021_05,36
2021_06,43
2021_07,27
2021_08,44
2021_09,41
2021_10,45
2021_11,53
2021_12,43
2021_13,51
2021_14,47
2021_15,49
2021_16,57
2021_17,52
2021_18,40
2021_19,41
2021_20,46
2021_21,47
2021_22,33
2021_23,49
2021_24,59
2021_25,60
2021_26,38
2021_27,48
2021_28,62
2021_29,48
2021_30,59
2021_31,40
2021_32,62
2021_33,57
2021_34,44
2021_35,57
2021_36,76
2021_37,62
2021_38,48
2021_39,45
2021_40,54
2021_41,51
2021_42,48
2021_43,66
2021_44,51
2021_45,57
2021_46,66
2021_47,68
2021_48,73
2021_49,54
2021_50,55
2021_51,69
2021_52,18
2022_00,58
2022_01,77
2022_02,70
2022_03,68
2022_04,79
2022_05,53
2022_06,72
2022_07,88
2022_08,65
2022_09,70
2022_10,73
2022_11,49
2022_12,76
2022_13,79
2022_14,80
2022_15,88
2022_16,78
2022_17,57
2022_18,74
2022_19,71
2022_20,81
2022_21,83
2022_22,70
2022_23,71
2022_24,77
2022_25,67
2022_26,82
2022_27,82
2022_28,79
2022_29,76
2022_30,73
2022_31,77
2022_32,81
2022_33,83
2022_34,101
2022_35,85
2022_36,85
2022_37,73
2022_38,80
2022_39,93
2022_40,75
2022_41,92
2022_42,109
2022_43,90
2022_44,111
2022_45,89
2022_46,107
2022_47,87
2022_48,86
2022_49,93
2022_50,80
2022_51,103
2022_52,31
2023_00,78
2023_01,91
2023_02,108
2023_03,98
2023_04,91
2023_05,70
2023_06,91
2023_07,112
2023_08,101
2023_09,78
2023_10,92
2023_11,115
2023_12,115
2023_13,107
2023_14,105
2023_15,95
2023_16,97
2023_17,118
2023_18,86
2023_19,114
2023_20,102
2023_21,109
2023_22,121
2023_23,121
2023_24,117
2023_25,116
2023_26,114
2023_27,117
2023_28,103
2023_29,109
2023_30,134
2023_31,129
2023_32,111
2023_33,116
2023_34,104
2023_35,106
2023_36,103
2023_37,115
2023_38,107
2023_39,100
2023_40,115
2023_41,118
2023_42,123
2023_43,120
2023_44,137
2023_45,126
2023_46,117
2023_47,122
2023_48,123
2023_49,54
