year_week,count
2019_34,1
2019_38,1
2019_39,1
2019_40,3
2019_41,2
2019_42,3
2019_44,2
2019_45,1
2019_47,2
2019_49,1
2019_50,1
2019_51,1
2019_52,1
2020_00,2
2020_01,4
2020_02,1
2020_03,2
2020_04,2
2020_05,2
2020_06,3
2020_07,2
2020_09,2
2020_10,5
2020_11,1
2020_12,3
2020_13,5
2020_14,6
2020_15,3
2020_16,4
2020_18,2
2020_19,2
2020_20,2
2020_21,3
2020_22,2
2020_23,1
2020_24,3
2020_25,2
2020_26,2
2020_27,3
2020_28,3
2020_29,2
2020_30,5
2020_32,5
2020_33,5
2020_34,3
2020_35,5
2020_36,3
2020_37,3
2020_38,1
2020_39,3
2020_40,2
2020_41,5
2020_42,1
2020_43,4
2020_44,6
2020_45,4
2020_46,2
2020_47,4
2020_48,6
2020_49,10
2020_50,4
2020_51,8
2020_52,1
2021_00,2
2021_01,4
2021_02,4
2021_03,3
2021_04,5
2021_05,2
2021_06,5
2021_07,7
2021_08,4
2021_09,3
2021_10,6
2021_11,3
2021_12,7
2021_13,6
2021_14,6
2021_15,5
2021_16,2
2021_17,4
2021_18,4
2021_19,7
2021_20,6
2021_21,6
2021_22,5
2021_23,6
2021_24,9
2021_25,6
2021_26,3
2021_27,2
2021_28,2
2021_29,4
2021_30,8
2021_31,7
2021_32,7
2021_33,10
2021_34,12
2021_35,4
2021_36,3
2021_37,5
2021_38,5
2021_39,4
2021_40,5
2021_41,5
2021_42,7
2021_43,9
2021_44,8
2021_45,10
2021_46,9
2021_47,6
2021_48,3
2021_49,4
2021_50,6
2021_51,3
2022_00,6
2022_01,4
2022_02,9
2022_03,7
2022_04,3
2022_05,4
2022_06,10
2022_07,9
2022_08,7
2022_09,6
2022_10,9
2022_11,5
2022_12,8
2022_13,12
2022_14,6
2022_15,9
2022_16,6
2022_17,6
2022_18,12
2022_19,8
2022_20,4
2022_21,5
2022_22,8
2022_23,10
2022_24,7
2022_25,7
2022_26,9
2022_27,9
2022_28,2
2022_29,5
2022_30,5
2022_31,8
2022_32,6
2022_33,6
2022_34,9
2022_35,10
2022_36,8
2022_37,5
2022_38,4
2022_39,7
2022_40,7
2022_41,10
2022_42,8
2022_43,10
2022_44,13
2022_45,8
2022_46,4
2022_47,15
2022_48,9
2022_49,8
2022_50,10
2022_51,7
2022_52,2
2023_00,8
2023_01,6
2023_02,10
2023_03,7
2023_04,15
2023_05,8
2023_06,12
2023_07,9
2023_08,13
2023_09,16
2023_10,10
2023_11,2
2023_12,10
2023_13,12
2023_14,11
2023_15,16
2023_16,12
2023_17,10
2023_18,15
2023_19,17
2023_20,13
2023_21,12
2023_22,14
2023_23,6
2023_24,5
2023_25,17
2023_26,11
2023_27,29
2023_28,13
2023_29,16
2023_30,14
2023_31,7
2023_32,6
2023_33,10
2023_34,11
2023_35,14
2023_36,19
2023_37,8
2023_38,7
2023_39,13
2023_40,13
2023_41,8
2023_42,16
2023_43,12
2023_44,6
2023_45,16
2023_46,15
2023_47,14
2023_48,14
2023_49,8
