year_week,count
2019_31,2
2019_32,3
2019_33,6
2019_34,3
2019_35,2
2019_36,3
2019_37,3
2019_38,8
2019_39,5
2019_40,7
2019_41,6
2019_42,8
2019_43,12
2019_44,6
2019_45,11
2019_46,10
2019_47,13
2019_48,13
2019_49,14
2019_50,15
2019_51,20
2019_52,4
2020_00,9
2020_01,12
2020_02,21
2020_03,15
2020_04,22
2020_05,20
2020_06,27
2020_07,34
2020_08,17
2020_09,22
2020_10,19
2020_11,25
2020_12,26
2020_13,25
2020_14,25
2020_15,34
2020_16,20
2020_17,14
2020_18,27
2020_19,29
2020_20,26
2020_21,29
2020_22,40
2020_23,40
2020_24,34
2020_25,25
2020_26,27
2020_27,28
2020_28,43
2020_29,43
2020_30,34
2020_31,32
2020_32,44
2020_33,41
2020_34,48
2020_35,39
2020_36,37
2020_37,39
2020_38,54
2020_39,40
2020_40,36
2020_41,35
2020_42,51
2020_43,54
2020_44,42
2020_45,64
2020_46,50
2020_47,41
2020_48,53
2020_49,59
2020_50,37
2020_51,37
2020_52,11
2021_00,31
2021_01,53
2021_02,45
2021_03,42
2021_04,35
2021_05,56
2021_06,42
2021_07,58
2021_08,57
2021_09,66
2021_10,60
2021_11,56
2021_12,57
2021_13,58
2021_14,58
2021_15,58
2021_16,57
2021_17,74
2021_18,54
2021_19,60
2021_20,47
2021_21,58
2021_22,67
2021_23,71
2021_24,57
2021_25,79
2021_26,72
2021_27,63
2021_28,70
2021_29,62
2021_30,81
2021_31,74
2021_32,67
2021_33,65
2021_34,91
2021_35,79
2021_36,69
2021_37,71
2021_38,65
2021_39,76
2021_40,67
2021_41,72
2021_42,87
2021_43,73
2021_44,86
2021_45,84
2021_46,84
2021_47,82
2021_48,97
2021_49,91
2021_50,79
2021_51,82
2021_52,16
2022_00,72
2022_01,91
2022_02,82
2022_03,95
2022_04,93
2022_05,79
2022_06,101
2022_07,102
2022_08,61
2022_09,92
2022_10,74
2022_11,92
2022_12,99
2022_13,95
2022_14,94
2022_15,74
2022_16,80
2022_17,106
2022_18,95
2022_19,90
2022_20,83
2022_21,95
2022_22,107
2022_23,99
2022_24,106
2022_25,100
2022_26,88
2022_27,110
2022_28,93
2022_29,94
2022_30,91
2022_31,107
2022_32,93
2022_33,87
2022_34,91
2022_35,85
2022_36,95
2022_37,122
2022_38,91
2022_39,112
2022_40,98
2022_41,101
2022_42,125
2022_43,102
2022_44,119
2022_45,116
2022_46,106
2022_47,135
2022_48,111
2022_49,116
2022_50,107
2022_51,112
2022_52,28
2023_00,106
2023_01,154
2023_02,105
2023_03,123
2023_04,109
2023_05,133
2023_06,137
2023_07,127
2023_08,136
2023_09,141
2023_10,143
2023_11,140
2023_12,135
2023_13,133
2023_14,134
2023_15,124
2023_16,127
2023_17,133
2023_18,127
2023_19,128
2023_20,168
2023_21,132
2023_22,123
2023_23,163
2023_24,145
2023_25,123
2023_26,133
2023_27,142
2023_28,166
2023_29,142
2023_30,139
2023_31,157
2023_32,150
2023_33,137
2023_34,138
2023_35,148
2023_36,140
2023_37,155
2023_38,169
2023_39,169
2023_40,159
2023_41,135
2023_42,153
2023_43,155
2023_44,159
2023_45,127
2023_46,170
2023_47,155
2023_48,159
2023_49,66
