year_week,count
2019_31,1
2019_33,4
2019_34,5
2019_35,2
2019_36,5
2019_37,2
2019_38,4
2019_39,6
2019_40,6
2019_41,6
2019_42,5
2019_43,2
2019_44,4
2019_45,4
2019_46,5
2019_47,3
2019_48,9
2019_49,9
2019_50,7
2019_51,15
2020_00,14
2020_01,8
2020_02,8
2020_03,16
2020_04,11
2020_05,12
2020_06,8
2020_07,11
2020_08,9
2020_09,11
2020_10,11
2020_11,14
2020_12,20
2020_13,16
2020_14,18
2020_15,12
2020_16,13
2020_17,18
2020_18,21
2020_19,18
2020_20,12
2020_21,13
2020_22,11
2020_23,18
2020_24,12
2020_25,22
2020_26,12
2020_27,14
2020_28,21
2020_29,18
2020_30,17
2020_31,23
2020_32,26
2020_33,16
2020_34,21
2020_35,34
2020_36,26
2020_37,21
2020_38,26
2020_39,27
2020_40,33
2020_41,31
2020_42,22
2020_43,21
2020_44,19
2020_45,31
2020_46,20
2020_47,29
2020_48,20
2020_49,25
2020_50,22
2020_51,23
2020_52,5
2021_00,29
2021_01,39
2021_02,28
2021_03,31
2021_04,31
2021_05,27
2021_06,33
2021_07,39
2021_08,28
2021_09,29
2021_10,27
2021_11,29
2021_12,29
2021_13,36
2021_14,44
2021_15,32
2021_16,27
2021_17,39
2021_18,40
2021_19,27
2021_20,29
2021_21,35
2021_22,32
2021_23,38
2021_24,31
2021_25,43
2021_26,39
2021_27,32
2021_28,27
2021_29,38
2021_30,32
2021_31,49
2021_32,35
2021_33,49
2021_34,56
2021_35,38
2021_36,48
2021_37,35
2021_38,45
2021_39,46
2021_40,39
2021_41,41
2021_42,38
2021_43,62
2021_44,47
2021_45,45
2021_46,41
2021_47,44
2021_48,61
2021_49,40
2021_50,44
2021_51,42
2021_52,11
2022_00,32
2022_01,44
2022_02,44
2022_03,43
2022_04,51
2022_05,49
2022_06,43
2022_07,47
2022_08,51
2022_09,53
2022_10,52
2022_11,54
2022_12,54
2022_13,39
2022_14,49
2022_15,42
2022_16,56
2022_17,57
2022_18,58
2022_19,65
2022_20,59
2022_21,47
2022_22,63
2022_23,51
2022_24,46
2022_25,60
2022_26,54
2022_27,48
2022_28,66
2022_29,54
2022_30,82
2022_31,45
2022_32,66
2022_33,56
2022_34,61
2022_35,52
2022_36,53
2022_37,64
2022_38,62
2022_39,60
2022_40,67
2022_41,66
2022_42,75
2022_43,83
2022_44,73
2022_45,56
2022_46,67
2022_47,65
2022_48,52
2022_49,85
2022_50,54
2022_51,65
2022_52,28
2023_00,48
2023_01,58
2023_02,76
2023_03,81
2023_04,58
2023_05,83
2023_06,72
2023_07,73
2023_08,74
2023_09,88
2023_10,74
2023_11,64
2023_12,71
2023_13,74
2023_14,67
2023_15,83
2023_16,59
2023_17,75
2023_18,83
2023_19,75
2023_20,90
2023_21,77
2023_22,98
2023_23,67
2023_24,84
2023_25,78
2023_26,71
2023_27,83
2023_28,83
2023_29,71
2023_30,67
2023_31,78
2023_32,79
2023_33,98
2023_34,78
2023_35,86
2023_36,67
2023_37,93
2023_38,85
2023_39,85
2023_40,92
2023_41,71
2023_42,83
2023_43,101
2023_44,96
2023_45,89
2023_46,81
2023_47,89
2023_48,68
2023_49,40
