year_week,count
2019_28,1
2019_29,1
2019_30,3
2019_32,2
2019_33,3
2019_34,4
2019_35,4
2019_36,6
2019_37,5
2019_38,7
2019_39,6
2019_40,14
2019_41,10
2019_42,9
2019_43,10
2019_44,11
2019_45,17
2019_46,10
2019_47,14
2019_48,19
2019_49,21
2019_50,21
2019_51,21
2019_52,5
2020_00,22
2020_01,19
2020_02,21
2020_03,31
2020_04,30
2020_05,36
2020_06,18
2020_07,38
2020_08,19
2020_09,26
2020_10,37
2020_11,34
2020_12,43
2020_13,33
2020_14,34
2020_15,35
2020_16,24
2020_17,25
2020_18,38
2020_19,41
2020_20,36
2020_21,35
2020_22,53
2020_23,30
2020_24,32
2020_25,36
2020_26,43
2020_27,46
2020_28,45
2020_29,48
2020_30,40
2020_31,47
2020_32,55
2020_33,50
2020_34,52
2020_35,56
2020_36,48
2020_37,58
2020_38,43
2020_39,44
2020_40,44
2020_41,71
2020_42,47
2020_43,68
2020_44,66
2020_45,53
2020_46,50
2020_47,59
2020_48,67
2020_49,77
2020_50,60
2020_51,61
2020_52,12
2021_00,61
2021_01,68
2021_02,61
2021_03,68
2021_04,81
2021_05,73
2021_06,74
2021_07,69
2021_08,68
2021_09,70
2021_10,68
2021_11,80
2021_12,72
2021_13,93
2021_14,68
2021_15,77
2021_16,66
2021_17,86
2021_18,59
2021_19,70
2021_20,91
2021_21,76
2021_22,74
2021_23,81
2021_24,81
2021_25,81
2021_26,89
2021_27,79
2021_28,90
2021_29,112
2021_30,90
2021_31,77
2021_32,107
2021_33,99
2021_34,103
2021_35,93
2021_36,82
2021_37,98
2021_38,111
2021_39,99
2021_40,100
2021_41,95
2021_42,102
2021_43,116
2021_44,109
2021_45,91
2021_46,84
2021_47,108
2021_48,99
2021_49,90
2021_50,107
2021_51,113
2021_52,26
2022_00,98
2022_01,97
2022_02,106
2022_03,97
2022_04,103
2022_05,109
2022_06,99
2022_07,111
2022_08,117
2022_09,118
2022_10,98
2022_11,113
2022_12,126
2022_13,121
2022_14,128
2022_15,118
2022_16,106
2022_17,110
2022_18,113
2022_19,164
2022_20,104
2022_21,102
2022_22,122
2022_23,128
2022_24,95
2022_25,125
2022_26,101
2022_27,123
2022_28,134
2022_29,123
2022_30,125
2022_31,119
2022_32,133
2022_33,131
2022_34,130
2022_35,131
2022_36,126
2022_37,137
2022_38,125
2022_39,117
2022_40,125
2022_41,146
2022_42,156
2022_43,145
2022_44,157
2022_45,130
2022_46,157
2022_47,159
2022_48,164
2022_49,158
2022_50,160
2022_51,130
2022_52,47
2023_00,127
2023_01,134
2023_02,181
2023_03,176
2023_04,138
2023_05,139
2023_06,158
2023_07,164
2023_08,159
2023_09,160
2023_10,184
2023_11,182
2023_12,167
2023_13,175
2023_14,176
2023_15,159
2023_16,184
2023_17,162
2023_18,175
2023_19,180
2023_20,175
2023_21,194
2023_22,209
2023_23,157
2023_24,161
2023_25,201
2023_26,144
2023_27,199
2023_28,200
2023_29,192
2023_30,173
2023_31,180
2023_32,174
2023_33,181
2023_34,171
2023_35,208
2023_36,185
2023_37,204
2023_38,204
2023_39,236
2023_40,180
2023_41,211
2023_42,193
2023_43,180
2023_44,205
2023_45,197
2023_46,219
2023_47,183
2023_48,208
2023_49,107
