year_week,count
2019_34,3
2019_35,1
2019_36,2
2019_39,1
2019_40,1
2019_42,2
2019_43,1
2019_44,3
2019_45,2
2019_46,1
2019_47,2
2019_48,2
2019_49,1
2019_51,1
2020_01,4
2020_02,5
2020_04,1
2020_05,3
2020_06,1
2020_07,1
2020_08,1
2020_09,3
2020_10,4
2020_12,3
2020_13,1
2020_14,5
2020_15,2
2020_16,2
2020_17,1
2020_18,2
2020_19,4
2020_20,2
2020_21,3
2020_23,2
2020_24,2
2020_25,1
2020_26,5
2020_27,6
2020_28,5
2020_29,2
2020_30,6
2020_31,5
2020_32,2
2020_33,6
2020_34,2
2020_35,9
2020_36,4
2020_37,4
2020_38,3
2020_39,4
2020_40,4
2020_41,2
2020_42,2
2020_43,3
2020_44,1
2020_45,5
2020_46,3
2020_47,3
2020_48,3
2020_49,6
2020_51,1
2020_52,2
2021_00,4
2021_01,6
2021_02,2
2021_03,2
2021_04,5
2021_05,6
2021_06,7
2021_07,4
2021_08,6
2021_09,3
2021_10,8
2021_11,11
2021_12,9
2021_13,8
2021_14,11
2021_15,7
2021_16,5
2021_17,3
2021_18,8
2021_19,8
2021_20,7
2021_21,4
2021_22,6
2021_23,7
2021_24,11
2021_25,8
2021_26,6
2021_27,7
2021_28,8
2021_29,3
2021_30,6
2021_31,8
2021_32,5
2021_33,4
2021_34,14
2021_35,13
2021_36,10
2021_37,8
2021_38,9
2021_39,7
2021_40,8
2021_41,7
2021_42,7
2021_43,10
2021_44,3
2021_45,12
2021_46,8
2021_47,7
2021_48,9
2021_49,13
2021_50,7
2021_51,6
2021_52,1
2022_00,7
2022_01,13
2022_02,9
2022_03,10
2022_04,8
2022_05,12
2022_06,11
2022_07,8
2022_08,9
2022_09,11
2022_10,8
2022_11,8
2022_12,8
2022_13,8
2022_14,8
2022_15,7
2022_16,17
2022_17,11
2022_18,11
2022_19,7
2022_20,8
2022_21,13
2022_22,14
2022_23,12
2022_24,11
2022_25,11
2022_26,9
2022_27,7
2022_28,11
2022_29,9
2022_30,14
2022_31,10
2022_32,13
2022_33,8
2022_34,8
2022_35,14
2022_36,9
2022_37,8
2022_38,8
2022_39,14
2022_40,19
2022_41,11
2022_42,16
2022_43,10
2022_44,18
2022_45,15
2022_46,20
2022_47,14
2022_48,9
2022_49,16
2022_50,7
2022_51,17
2022_52,5
2023_00,9
2023_01,12
2023_02,11
2023_03,12
2023_04,13
2023_05,19
2023_06,18
2023_07,19
2023_08,16
2023_09,21
2023_10,8
2023_11,13
2023_12,18
2023_13,15
2023_14,17
2023_15,12
2023_16,8
2023_17,19
2023_18,12
2023_19,17
2023_20,11
2023_21,20
2023_22,21
2023_23,16
2023_24,15
2023_25,8
2023_26,9
2023_27,15
2023_28,17
2023_29,23
2023_30,20
2023_31,17
2023_32,19
2023_33,15
2023_34,16
2023_35,22
2023_36,22
2023_37,17
2023_38,21
2023_39,19
2023_40,16
2023_41,10
2023_42,15
2023_43,12
2023_44,15
2023_45,22
2023_46,18
2023_47,20
2023_48,17
2023_49,3
