year_week,count
2019_28,1
2019_29,4
2019_30,10
2019_31,4
2019_32,3
2019_33,10
2019_34,9
2019_35,16
2019_36,13
2019_37,12
2019_38,13
2019_39,24
2019_40,18
2019_41,29
2019_42,28
2019_43,39
2019_44,29
2019_45,17
2019_46,35
2019_47,32
2019_48,28
2019_49,26
2019_50,37
2019_51,48
2019_52,7
2020_00,36
2020_01,48
2020_02,38
2020_03,44
2020_04,61
2020_05,36
2020_06,45
2020_07,40
2020_08,40
2020_09,59
2020_10,62
2020_11,43
2020_12,60
2020_13,61
2020_14,69
2020_15,59
2020_16,50
2020_17,54
2020_18,76
2020_19,58
2020_20,71
2020_21,82
2020_22,73
2020_23,60
2020_24,82
2020_25,53
2020_26,71
2020_27,75
2020_28,75
2020_29,80
2020_30,91
2020_31,91
2020_32,88
2020_33,105
2020_34,89
2020_35,97
2020_36,115
2020_37,86
2020_38,91
2020_39,73
2020_40,94
2020_41,104
2020_42,76
2020_43,85
2020_44,86
2020_45,113
2020_46,102
2020_47,100
2020_48,112
2020_49,105
2020_50,95
2020_51,104
2020_52,32
2021_00,98
2021_01,113
2021_02,97
2021_03,117
2021_04,126
2021_05,125
2021_06,108
2021_07,121
2021_08,129
2021_09,119
2021_10,126
2021_11,159
2021_12,134
2021_13,130
2021_14,118
2021_15,148
2021_16,126
2021_17,130
2021_18,142
2021_19,160
2021_20,158
2021_21,134
2021_22,144
2021_23,125
2021_24,126
2021_25,146
2021_26,157
2021_27,154
2021_28,128
2021_29,147
2021_30,128
2021_31,140
2021_32,169
2021_33,142
2021_34,194
2021_35,167
2021_36,190
2021_37,178
2021_38,168
2021_39,145
2021_40,161
2021_41,178
2021_42,173
2021_43,178
2021_44,189
2021_45,191
2021_46,190
2021_47,172
2021_48,188
2021_49,198
2021_50,211
2021_51,221
2021_52,47
2022_00,174
2022_01,195
2022_02,213
2022_03,197
2022_04,200
2022_05,193
2022_06,198
2022_07,221
2022_08,206
2022_09,222
2022_10,214
2022_11,228
2022_12,255
2022_13,222
2022_14,236
2022_15,222
2022_16,243
2022_17,213
2022_18,231
2022_19,244
2022_20,256
2022_21,235
2022_22,247
2022_23,253
2022_24,220
2022_25,232
2022_26,259
2022_27,255
2022_28,236
2022_29,257
2022_30,265
2022_31,235
2022_32,238
2022_33,241
2022_34,259
2022_35,247
2022_36,265
2022_37,271
2022_38,237
2022_39,235
2022_40,232
2022_41,231
2022_42,264
2022_43,244
2022_44,290
2022_45,275
2022_46,281
2022_47,290
2022_48,285
2022_49,316
2022_50,274
2022_51,262
2022_52,93
2023_00,242
2023_01,291
2023_02,297
2023_03,269
2023_04,320
2023_05,293
2023_06,304
2023_07,308
2023_08,308
2023_09,332
2023_10,302
2023_11,308
2023_12,281
2023_13,284
2023_14,292
2023_15,325
2023_16,298
2023_17,295
2023_18,272
2023_19,331
2023_20,302
2023_21,316
2023_22,320
2023_23,335
2023_24,333
2023_25,341
2023_26,337
2023_27,341
2023_28,349
2023_29,348
2023_30,318
2023_31,333
2023_32,368
2023_33,326
2023_34,350
2023_35,314
2023_36,323
2023_37,300
2023_38,340
2023_39,330
2023_40,353
2023_41,362
2023_42,334
2023_43,329
2023_44,337
2023_45,379
2023_46,361
2023_47,364
2023_48,379
2023_49,137
