year_week,count
2019_28,4
2019_31,1
2019_32,1
2019_33,2
2019_34,2
2019_35,5
2019_36,5
2019_37,2
2019_38,3
2019_39,4
2019_40,10
2019_41,12
2019_42,10
2019_43,6
2019_44,8
2019_45,11
2019_46,10
2019_47,9
2019_48,7
2019_49,15
2019_50,11
2019_51,4
2019_52,6
2020_00,8
2020_01,14
2020_02,9
2020_03,11
2020_04,17
2020_05,14
2020_06,20
2020_07,14
2020_08,19
2020_09,29
2020_10,18
2020_11,28
2020_12,24
2020_13,16
2020_14,32
2020_15,22
2020_16,27
2020_17,18
2020_18,20
2020_19,20
2020_20,27
2020_21,19
2020_22,19
2020_23,24
2020_24,20
2020_25,24
2020_26,19
2020_27,34
2020_28,28
2020_29,36
2020_30,29
2020_31,30
2020_32,39
2020_33,26
2020_34,36
2020_35,39
2020_36,35
2020_37,21
2020_38,38
2020_39,34
2020_40,41
2020_41,37
2020_42,33
2020_43,29
2020_44,28
2020_45,31
2020_46,33
2020_47,39
2020_48,50
2020_49,51
2020_50,38
2020_51,47
2020_52,14
2021_00,47
2021_01,36
2021_02,36
2021_03,42
2021_04,52
2021_05,48
2021_06,41
2021_07,41
2021_08,41
2021_09,41
2021_10,46
2021_11,52
2021_12,41
2021_13,42
2021_14,48
2021_15,50
2021_16,41
2021_17,52
2021_18,40
2021_19,49
2021_20,55
2021_21,46
2021_22,55
2021_23,61
2021_24,50
2021_25,54
2021_26,50
2021_27,51
2021_28,58
2021_29,48
2021_30,59
2021_31,72
2021_32,49
2021_33,61
2021_34,49
2021_35,62
2021_36,61
2021_37,56
2021_38,58
2021_39,56
2021_40,65
2021_41,66
2021_42,67
2021_43,69
2021_44,77
2021_45,61
2021_46,60
2021_47,74
2021_48,64
2021_49,55
2021_50,53
2021_51,72
2021_52,14
2022_00,51
2022_01,70
2022_02,73
2022_03,73
2022_04,74
2022_05,66
2022_06,72
2022_07,68
2022_08,62
2022_09,78
2022_10,60
2022_11,78
2022_12,72
2022_13,64
2022_14,76
2022_15,52
2022_16,73
2022_17,79
2022_18,71
2022_19,93
2022_20,76
2022_21,87
2022_22,73
2022_23,66
2022_24,100
2022_25,73
2022_26,69
2022_27,84
2022_28,71
2022_29,76
2022_30,74
2022_31,97
2022_32,77
2022_33,74
2022_34,80
2022_35,87
2022_36,70
2022_37,81
2022_38,81
2022_39,110
2022_40,80
2022_41,91
2022_42,104
2022_43,74
2022_44,89
2022_45,85
2022_46,98
2022_47,110
2022_48,99
2022_49,72
2022_50,89
2022_51,78
2022_52,20
2023_00,66
2023_01,81
2023_02,92
2023_03,114
2023_04,122
2023_05,105
2023_06,92
2023_07,87
2023_08,87
2023_09,88
2023_10,109
2023_11,103
2023_12,107
2023_13,112
2023_14,91
2023_15,94
2023_16,115
2023_17,101
2023_18,123
2023_19,129
2023_20,120
2023_21,116
2023_22,97
2023_23,135
2023_24,116
2023_25,113
2023_26,121
2023_27,121
2023_28,118
2023_29,112
2023_30,116
2023_31,98
2023_32,118
2023_33,121
2023_34,112
2023_35,114
2023_36,127
2023_37,129
2023_38,117
2023_39,134
2023_40,112
2023_41,124
2023_42,125
2023_43,126
2023_44,124
2023_45,117
2023_46,130
2023_47,114
2023_48,118
2023_49,55
