year_week,count
2019_35,2
2019_39,2
2019_40,1
2019_43,1
2019_46,1
2019_48,1
2020_00,1
2020_02,2
2020_04,1
2020_05,1
2020_06,1
2020_08,1
2020_09,2
2020_11,1
2020_15,1
2020_16,1
2020_22,1
2020_23,2
2020_24,3
2020_26,2
2020_28,1
2020_31,1
2020_32,1
2020_34,1
2020_35,1
2020_36,1
2020_38,1
2020_41,1
2020_42,2
2020_43,2
2020_44,1
2020_45,2
2020_46,5
2020_47,2
2020_48,1
2020_49,1
2020_50,1
2020_51,1
2020_52,2
2021_00,1
2021_04,1
2021_05,1
2021_06,2
2021_07,3
2021_08,1
2021_09,1
2021_11,3
2021_12,2
2021_14,1
2021_15,1
2021_16,1
2021_17,2
2021_18,4
2021_19,1
2021_20,2
2021_21,2
2021_22,1
2021_23,1
2021_24,2
2021_25,2
2021_26,2
2021_27,5
2021_28,1
2021_29,2
2021_30,3
2021_32,3
2021_33,1
2021_34,2
2021_36,2
2021_37,1
2021_39,1
2021_40,3
2021_41,4
2021_42,1
2021_43,2
2021_44,3
2021_45,1
2021_46,1
2021_47,3
2021_48,2
2021_49,2
2021_50,4
2021_51,3
2022_01,3
2022_02,4
2022_03,5
2022_04,1
2022_05,2
2022_06,2
2022_07,1
2022_08,2
2022_09,1
2022_10,1
2022_11,7
2022_12,1
2022_13,5
2022_14,3
2022_15,3
2022_16,4
2022_17,2
2022_18,2
2022_19,3
2022_20,6
2022_21,4
2022_22,4
2022_23,1
2022_24,3
2022_25,1
2022_26,2
2022_27,2
2022_28,2
2022_29,2
2022_30,3
2022_32,5
2022_33,2
2022_34,1
2022_35,2
2022_36,2
2022_37,5
2022_38,2
2022_39,4
2022_40,3
2022_41,2
2022_42,3
2022_43,2
2022_44,3
2022_45,3
2022_46,3
2022_47,4
2022_48,3
2022_49,6
2022_50,5
2022_51,8
2023_00,1
2023_01,5
2023_02,7
2023_03,1
2023_04,5
2023_05,5
2023_06,4
2023_07,4
2023_08,8
2023_09,5
2023_10,3
2023_11,6
2023_12,7
2023_13,6
2023_14,3
2023_15,1
2023_16,8
2023_17,4
2023_18,1
2023_19,4
2023_20,2
2023_21,1
2023_22,1
2023_23,8
2023_24,5
2023_25,3
2023_26,6
2023_27,6
2023_28,5
2023_29,7
2023_30,4
2023_31,2
2023_32,5
2023_33,4
2023_34,5
2023_35,5
2023_36,2
2023_37,10
2023_38,9
2023_39,1
2023_40,4
2023_41,5
2023_42,5
2023_43,1
2023_44,7
2023_45,3
2023_46,5
2023_47,7
2023_48,5
2023_49,1
