year_week,count
2019_27,1
2019_29,1
2019_30,2
2019_31,3
2019_32,1
2019_33,7
2019_34,3
2019_35,4
2019_36,5
2019_37,5
2019_38,7
2019_39,8
2019_40,9
2019_41,11
2019_42,11
2019_43,12
2019_44,14
2019_45,14
2019_46,11
2019_47,18
2019_48,8
2019_49,17
2019_50,18
2019_51,15
2019_52,7
2020_00,19
2020_01,22
2020_02,16
2020_03,12
2020_04,34
2020_05,21
2020_06,25
2020_07,24
2020_08,19
2020_09,18
2020_10,33
2020_11,26
2020_12,28
2020_13,26
2020_14,32
2020_15,23
2020_16,24
2020_17,23
2020_18,17
2020_19,28
2020_20,24
2020_21,39
2020_22,31
2020_23,37
2020_24,29
2020_25,38
2020_26,44
2020_27,25
2020_28,34
2020_29,42
2020_30,30
2020_31,38
2020_32,37
2020_33,42
2020_34,35
2020_35,36
2020_36,42
2020_37,39
2020_38,38
2020_39,53
2020_40,36
2020_41,43
2020_42,39
2020_43,46
2020_44,29
2020_45,40
2020_46,54
2020_47,44
2020_48,40
2020_49,43
2020_50,35
2020_51,52
2020_52,18
2021_00,43
2021_01,52
2021_02,43
2021_03,71
2021_04,56
2021_05,38
2021_06,52
2021_07,67
2021_08,51
2021_09,57
2021_10,50
2021_11,73
2021_12,61
2021_13,57
2021_14,59
2021_15,65
2021_16,57
2021_17,69
2021_18,60
2021_19,62
2021_20,70
2021_21,82
2021_22,53
2021_23,61
2021_24,49
2021_25,63
2021_26,53
2021_27,68
2021_28,67
2021_29,69
2021_30,63
2021_31,81
2021_32,80
2021_33,68
2021_34,80
2021_35,86
2021_36,94
2021_37,63
2021_38,62
2021_39,77
2021_40,76
2021_41,82
2021_42,51
2021_43,60
2021_44,85
2021_45,72
2021_46,84
2021_47,74
2021_48,81
2021_49,85
2021_50,103
2021_51,84
2021_52,11
2022_00,74
2022_01,80
2022_02,83
2022_03,88
2022_04,84
2022_05,97
2022_06,105
2022_07,108
2022_08,77
2022_09,76
2022_10,86
2022_11,104
2022_12,87
2022_13,81
2022_14,95
2022_15,76
2022_16,90
2022_17,89
2022_18,91
2022_19,106
2022_20,111
2022_21,87
2022_22,107
2022_23,127
2022_24,94
2022_25,96
2022_26,88
2022_27,106
2022_28,101
2022_29,119
2022_30,109
2022_31,108
2022_32,85
2022_33,91
2022_34,106
2022_35,93
2022_36,118
2022_37,89
2022_38,103
2022_39,98
2022_40,110
2022_41,99
2022_42,128
2022_43,113
2022_44,112
2022_45,100
2022_46,106
2022_47,153
2022_48,121
2022_49,122
2022_50,146
2022_51,130
2022_52,39
2023_00,83
2023_01,126
2023_02,119
2023_03,118
2023_04,161
2023_05,137
2023_06,142
2023_07,120
2023_08,101
2023_09,119
2023_10,128
2023_11,131
2023_12,150
2023_13,150
2023_14,141
2023_15,145
2023_16,148
2023_17,139
2023_18,120
2023_19,157
2023_20,126
2023_21,150
2023_22,143
2023_23,153
2023_24,136
2023_25,165
2023_26,132
2023_27,141
2023_28,138
2023_29,151
2023_30,157
2023_31,126
2023_32,143
2023_33,128
2023_34,142
2023_35,150
2023_36,143
2023_37,150
2023_38,165
2023_39,156
2023_40,139
2023_41,141
2023_42,182
2023_43,162
2023_44,139
2023_45,146
2023_46,147
2023_47,172
2023_48,165
2023_49,56
