year_week,count
2019_33,1
2019_39,1
2019_41,1
2019_42,1
2019_43,1
2019_44,1
2019_45,1
2019_47,1
2019_48,1
2019_51,1
2020_01,1
2020_06,3
2020_08,1
2020_09,2
2020_10,2
2020_11,2
2020_13,3
2020_14,1
2020_15,1
2020_16,1
2020_17,3
2020_18,2
2020_19,2
2020_20,1
2020_21,2
2020_22,4
2020_23,3
2020_24,2
2020_26,2
2020_27,2
2020_28,3
2020_29,3
2020_30,4
2020_31,1
2020_32,2
2020_33,2
2020_34,4
2020_35,3
2020_36,4
2020_37,2
2020_38,2
2020_39,1
2020_40,5
2020_41,5
2020_43,2
2020_44,2
2020_45,3
2020_47,3
2020_48,1
2020_49,2
2020_50,3
2020_51,4
2020_52,2
2021_00,1
2021_01,3
2021_02,6
2021_03,3
2021_04,4
2021_05,4
2021_06,2
2021_07,5
2021_08,4
2021_09,2
2021_10,2
2021_12,1
2021_13,5
2021_14,2
2021_15,1
2021_16,1
2021_17,1
2021_18,6
2021_19,2
2021_20,5
2021_21,6
2021_22,4
2021_23,2
2021_24,4
2021_25,4
2021_26,4
2021_27,3
2021_28,5
2021_29,5
2021_30,4
2021_31,4
2021_32,4
2021_33,3
2021_34,5
2021_35,5
2021_36,6
2021_37,3
2021_38,4
2021_39,3
2021_40,2
2021_41,4
2021_42,5
2021_43,2
2021_44,4
2021_45,4
2021_46,5
2021_47,6
2021_48,12
2021_49,3
2021_50,1
2021_51,4
2021_52,1
2022_00,2
2022_01,6
2022_02,5
2022_03,2
2022_04,4
2022_05,8
2022_06,6
2022_07,3
2022_08,10
2022_09,5
2022_10,3
2022_11,4
2022_12,5
2022_13,4
2022_14,7
2022_15,3
2022_16,6
2022_17,5
2022_18,5
2022_19,5
2022_20,10
2022_21,8
2022_22,9
2022_23,3
2022_24,6
2022_25,7
2022_26,4
2022_27,7
2022_28,9
2022_29,6
2022_30,3
2022_31,3
2022_32,9
2022_33,5
2022_34,5
2022_35,8
2022_36,7
2022_37,4
2022_38,8
2022_39,8
2022_40,7
2022_41,8
2022_42,5
2022_43,9
2022_44,7
2022_45,6
2022_46,3
2022_47,14
2022_48,6
2022_49,7
2022_50,7
2022_51,6
2022_52,2
2023_00,4
2023_01,6
2023_02,7
2023_03,4
2023_04,4
2023_05,7
2023_06,9
2023_07,3
2023_08,12
2023_09,10
2023_10,5
2023_11,4
2023_12,5
2023_13,6
2023_14,4
2023_15,9
2023_16,3
2023_17,6
2023_18,10
2023_19,5
2023_20,9
2023_21,13
2023_22,7
2023_23,14
2023_24,11
2023_25,7
2023_26,7
2023_27,8
2023_28,8
2023_29,7
2023_30,10
2023_31,5
2023_32,4
2023_33,9
2023_34,8
2023_35,11
2023_36,11
2023_37,8
2023_38,6
2023_39,11
2023_40,7
2023_41,3
2023_42,8
2023_43,16
2023_44,10
2023_45,9
2023_46,6
2023_47,6
2023_48,7
2023_49,5
