year_week,count
2019_29,1
2019_31,1
2019_32,3
2019_33,5
2019_34,1
2019_35,2
2019_36,1
2019_37,2
2019_38,3
2019_39,1
2019_40,3
2019_41,3
2019_42,1
2019_43,7
2019_44,6
2019_45,4
2019_46,2
2019_47,6
2019_48,3
2019_49,7
2019_50,7
2019_51,6
2019_52,1
2020_00,8
2020_01,12
2020_02,15
2020_03,9
2020_04,9
2020_05,8
2020_06,7
2020_07,8
2020_08,9
2020_09,11
2020_10,13
2020_11,8
2020_12,13
2020_13,13
2020_14,12
2020_15,9
2020_16,16
2020_17,9
2020_18,11
2020_19,11
2020_20,12
2020_21,9
2020_22,19
2020_23,15
2020_24,11
2020_25,10
2020_26,13
2020_27,7
2020_28,16
2020_29,14
2020_30,10
2020_31,13
2020_32,22
2020_33,12
2020_34,18
2020_35,13
2020_36,20
2020_37,12
2020_38,16
2020_39,14
2020_40,16
2020_41,18
2020_42,18
2020_43,21
2020_44,16
2020_45,24
2020_46,21
2020_47,24
2020_48,15
2020_49,15
2020_50,21
2020_51,20
2020_52,7
2021_00,14
2021_01,15
2021_02,17
2021_03,15
2021_04,27
2021_05,19
2021_06,21
2021_07,19
2021_08,28
2021_09,18
2021_10,21
2021_11,36
2021_12,21
2021_13,19
2021_14,21
2021_15,22
2021_16,26
2021_17,28
2021_18,26
2021_19,25
2021_20,34
2021_21,25
2021_22,22
2021_23,29
2021_24,29
2021_25,24
2021_26,28
2021_27,24
2021_28,32
2021_29,13
2021_30,40
2021_31,32
2021_32,35
2021_33,28
2021_34,36
2021_35,19
2021_36,36
2021_37,24
2021_38,34
2021_39,27
2021_40,24
2021_41,31
2021_42,25
2021_43,27
2021_44,40
2021_45,32
2021_46,31
2021_47,30
2021_48,29
2021_49,33
2021_50,36
2021_51,28
2021_52,9
2022_00,17
2022_01,44
2022_02,32
2022_03,32
2022_04,27
2022_05,28
2022_06,31
2022_07,32
2022_08,28
2022_09,36
2022_10,45
2022_11,33
2022_12,48
2022_13,23
2022_14,45
2022_15,39
2022_16,30
2022_17,43
2022_18,38
2022_19,41
2022_20,57
2022_21,37
2022_22,32
2022_23,48
2022_24,29
2022_25,38
2022_26,51
2022_27,35
2022_28,24
2022_29,39
2022_30,45
2022_31,31
2022_32,42
2022_33,38
2022_34,30
2022_35,40
2022_36,41
2022_37,33
2022_38,38
2022_39,45
2022_40,40
2022_41,43
2022_42,47
2022_43,43
2022_44,56
2022_45,56
2022_46,46
2022_47,50
2022_48,46
2022_49,47
2022_50,44
2022_51,50
2022_52,14
2023_00,36
2023_01,48
2023_02,72
2023_03,56
2023_04,60
2023_05,48
2023_06,60
2023_07,48
2023_08,56
2023_09,43
2023_10,48
2023_11,53
2023_12,55
2023_13,44
2023_14,53
2023_15,49
2023_16,54
2023_17,46
2023_18,64
2023_19,55
2023_20,68
2023_21,63
2023_22,43
2023_23,49
2023_24,58
2023_25,68
2023_26,58
2023_27,58
2023_28,62
2023_29,49
2023_30,59
2023_31,52
2023_32,51
2023_33,50
2023_34,73
2023_35,66
2023_36,52
2023_37,70
2023_38,64
2023_39,56
2023_40,67
2023_41,48
2023_42,68
2023_43,68
2023_44,56
2023_45,72
2023_46,67
2023_47,71
2023_48,52
2023_49,16
