year_week,count
2019_35,1
2019_36,1
2019_44,2
2019_49,1
2019_50,3
2019_51,1
2020_02,2
2020_04,2
2020_05,1
2020_07,3
2020_08,2
2020_10,1
2020_11,2
2020_12,1
2020_14,3
2020_15,1
2020_16,1
2020_17,3
2020_18,4
2020_19,4
2020_20,3
2020_21,2
2020_22,3
2020_23,2
2020_24,4
2020_26,2
2020_27,3
2020_28,1
2020_29,2
2020_30,1
2020_31,2
2020_32,3
2020_33,2
2020_34,2
2020_35,4
2020_36,1
2020_37,3
2020_38,2
2020_39,1
2020_40,3
2020_41,3
2020_42,3
2020_43,1
2020_44,1
2020_45,1
2020_46,1
2020_48,1
2020_50,4
2020_51,2
2020_52,1
2021_00,3
2021_01,2
2021_02,2
2021_03,3
2021_04,4
2021_05,2
2021_06,2
2021_07,3
2021_08,4
2021_09,3
2021_10,8
2021_11,1
2021_12,3
2021_13,3
2021_15,4
2021_16,3
2021_17,2
2021_18,4
2021_19,3
2021_20,4
2021_21,3
2021_22,2
2021_23,2
2021_24,2
2021_25,3
2021_26,2
2021_27,5
2021_28,2
2021_29,2
2021_30,3
2021_31,11
2021_32,4
2021_33,2
2021_34,4
2021_35,4
2021_36,3
2021_37,1
2021_38,4
2021_39,7
2021_40,5
2021_41,5
2021_42,4
2021_43,9
2021_44,2
2021_45,5
2021_46,6
2021_47,10
2021_48,4
2021_49,4
2021_50,1
2021_51,6
2022_00,5
2022_01,4
2022_02,8
2022_03,4
2022_04,5
2022_05,2
2022_06,8
2022_07,5
2022_08,2
2022_09,6
2022_10,7
2022_11,4
2022_12,1
2022_13,3
2022_14,3
2022_15,5
2022_16,6
2022_17,6
2022_18,8
2022_19,6
2022_20,7
2022_21,3
2022_22,5
2022_23,6
2022_24,10
2022_25,4
2022_26,5
2022_27,9
2022_28,6
2022_29,5
2022_30,7
2022_31,5
2022_32,11
2022_33,11
2022_34,10
2022_35,4
2022_36,6
2022_37,7
2022_38,3
2022_39,2
2022_40,5
2022_41,6
2022_42,6
2022_43,5
2022_44,7
2022_45,7
2022_46,9
2022_47,6
2022_48,4
2022_49,9
2022_50,7
2022_51,10
2022_52,2
2023_00,5
2023_01,6
2023_02,7
2023_03,6
2023_04,10
2023_05,9
2023_06,12
2023_07,8
2023_08,7
2023_09,5
2023_10,11
2023_11,8
2023_12,5
2023_13,10
2023_14,4
2023_15,8
2023_16,6
2023_17,6
2023_18,10
2023_19,6
2023_20,5
2023_21,6
2023_22,6
2023_23,5
2023_24,13
2023_25,7
2023_26,5
2023_27,9
2023_28,5
2023_29,9
2023_30,6
2023_31,10
2023_32,9
2023_33,5
2023_34,9
2023_35,8
2023_36,4
2023_37,4
2023_38,10
2023_39,5
2023_40,7
2023_41,6
2023_42,11
2023_43,11
2023_44,10
2023_45,6
2023_46,4
2023_47,9
2023_48,12
2023_49,2
