year_week,count
2019_28,3
2019_30,7
2019_31,1
2019_32,7
2019_33,8
2019_34,12
2019_35,10
2019_36,16
2019_37,9
2019_38,14
2019_39,18
2019_40,20
2019_41,25
2019_42,22
2019_43,13
2019_44,15
2019_45,21
2019_46,24
2019_47,27
2019_48,22
2019_49,24
2019_50,33
2019_51,40
2019_52,8
2020_00,29
2020_01,39
2020_02,40
2020_03,46
2020_04,39
2020_05,35
2020_06,41
2020_07,53
2020_08,42
2020_09,42
2020_10,48
2020_11,41
2020_12,46
2020_13,41
2020_14,51
2020_15,44
2020_16,60
2020_17,41
2020_18,52
2020_19,58
2020_20,63
2020_21,58
2020_22,65
2020_23,58
2020_24,52
2020_25,60
2020_26,67
2020_27,68
2020_28,57
2020_29,71
2020_30,63
2020_31,59
2020_32,82
2020_33,62
2020_34,81
2020_35,73
2020_36,86
2020_37,80
2020_38,85
2020_39,85
2020_40,61
2020_41,75
2020_42,71
2020_43,91
2020_44,83
2020_45,91
2020_46,81
2020_47,83
2020_48,97
2020_49,94
2020_50,88
2020_51,96
2020_52,23
2021_00,83
2021_01,96
2021_02,87
2021_03,89
2021_04,105
2021_05,98
2021_06,86
2021_07,91
2021_08,90
2021_09,102
2021_10,121
2021_11,97
2021_12,106
2021_13,84
2021_14,128
2021_15,107
2021_16,105
2021_17,108
2021_18,115
2021_19,110
2021_20,115
2021_21,118
2021_22,89
2021_23,97
2021_24,134
2021_25,126
2021_26,133
2021_27,118
2021_28,101
2021_29,112
2021_30,140
2021_31,125
2021_32,123
2021_33,153
2021_34,159
2021_35,150
2021_36,131
2021_37,142
2021_38,170
2021_39,127
2021_40,125
2021_41,146
2021_42,161
2021_43,160
2021_44,163
2021_45,151
2021_46,158
2021_47,170
2021_48,135
2021_49,150
2021_50,143
2021_51,159
2021_52,31
2022_00,149
2022_01,169
2022_02,139
2022_03,172
2022_04,168
2022_05,177
2022_06,184
2022_07,169
2022_08,183
2022_09,167
2022_10,181
2022_11,168
2022_12,177
2022_13,171
2022_14,167
2022_15,169
2022_16,153
2022_17,189
2022_18,184
2022_19,182
2022_20,204
2022_21,190
2022_22,180
2022_23,161
2022_24,186
2022_25,185
2022_26,175
2022_27,189
2022_28,194
2022_29,179
2022_30,201
2022_31,183
2022_32,175
2022_33,218
2022_34,213
2022_35,168
2022_36,193
2022_37,184
2022_38,205
2022_39,205
2022_40,198
2022_41,207
2022_42,230
2022_43,216
2022_44,216
2022_45,221
2022_46,236
2022_47,235
2022_48,242
2022_49,206
2022_50,223
2022_51,221
2022_52,66
2023_00,181
2023_01,219
2023_02,245
2023_03,230
2023_04,262
2023_05,246
2023_06,232
2023_07,252
2023_08,241
2023_09,271
2023_10,237
2023_11,269
2023_12,237
2023_13,246
2023_14,238
2023_15,254
2023_16,243
2023_17,223
2023_18,246
2023_19,255
2023_20,267
2023_21,236
2023_22,269
2023_23,262
2023_24,254
2023_25,278
2023_26,265
2023_27,259
2023_28,271
2023_29,277
2023_30,265
2023_31,249
2023_32,276
2023_33,302
2023_34,275
2023_35,278
2023_36,288
2023_37,277
2023_38,266
2023_39,278
2023_40,263
2023_41,270
2023_42,248
2023_43,279
2023_44,308
2023_45,307
2023_46,293
2023_47,287
2023_48,280
2023_49,122
