year_week,count
2019_28,1
2019_29,2
2019_30,2
2019_31,4
2019_33,4
2019_34,3
2019_35,3
2019_36,6
2019_37,4
2019_38,2
2019_39,7
2019_40,4
2019_41,11
2019_42,7
2019_43,10
2019_44,14
2019_45,16
2019_46,11
2019_47,10
2019_48,6
2019_49,18
2019_50,12
2019_51,11
2019_52,3
2020_00,9
2020_01,22
2020_02,25
2020_03,11
2020_04,13
2020_05,21
2020_06,21
2020_07,17
2020_08,23
2020_09,29
2020_10,24
2020_11,21
2020_12,31
2020_13,23
2020_14,28
2020_15,17
2020_16,22
2020_17,18
2020_18,17
2020_19,29
2020_20,26
2020_21,31
2020_22,25
2020_23,25
2020_24,35
2020_25,18
2020_26,36
2020_27,31
2020_28,29
2020_29,25
2020_30,33
2020_31,27
2020_32,40
2020_33,38
2020_34,14
2020_35,37
2020_36,30
2020_37,31
2020_38,43
2020_39,41
2020_40,28
2020_41,34
2020_42,43
2020_43,42
2020_44,30
2020_45,42
2020_46,37
2020_47,33
2020_48,41
2020_49,29
2020_50,41
2020_51,33
2020_52,9
2021_00,40
2021_01,51
2021_02,39
2021_03,42
2021_04,54
2021_05,49
2021_06,41
2021_07,43
2021_08,56
2021_09,42
2021_10,43
2021_11,50
2021_12,54
2021_13,40
2021_14,47
2021_15,50
2021_16,65
2021_17,57
2021_18,51
2021_19,42
2021_20,61
2021_21,56
2021_22,51
2021_23,60
2021_24,63
2021_25,41
2021_26,61
2021_27,67
2021_28,51
2021_29,54
2021_30,46
2021_31,68
2021_32,65
2021_33,55
2021_34,81
2021_35,73
2021_36,64
2021_37,52
2021_38,77
2021_39,71
2021_40,78
2021_41,64
2021_42,64
2021_43,65
2021_44,59
2021_45,80
2021_46,75
2021_47,62
2021_48,73
2021_49,71
2021_50,86
2021_51,67
2021_52,9
2022_00,63
2022_01,59
2022_02,78
2022_03,65
2022_04,91
2022_05,85
2022_06,61
2022_07,78
2022_08,64
2022_09,88
2022_10,88
2022_11,92
2022_12,88
2022_13,73
2022_14,78
2022_15,83
2022_16,94
2022_17,81
2022_18,80
2022_19,89
2022_20,79
2022_21,99
2022_22,93
2022_23,92
2022_24,93
2022_25,88
2022_26,80
2022_27,76
2022_28,100
2022_29,92
2022_30,85
2022_31,103
2022_32,99
2022_33,87
2022_34,100
2022_35,97
2022_36,79
2022_37,76
2022_38,91
2022_39,103
2022_40,109
2022_41,96
2022_42,96
2022_43,84
2022_44,92
2022_45,99
2022_46,96
2022_47,104
2022_48,115
2022_49,99
2022_50,101
2022_51,92
2022_52,37
2023_00,79
2023_01,99
2023_02,115
2023_03,102
2023_04,94
2023_05,120
2023_06,110
2023_07,111
2023_08,105
2023_09,116
2023_10,105
2023_11,123
2023_12,105
2023_13,102
2023_14,125
2023_15,136
2023_16,120
2023_17,100
2023_18,105
2023_19,112
2023_20,122
2023_21,112
2023_22,121
2023_23,139
2023_24,153
2023_25,122
2023_26,113
2023_27,117
2023_28,113
2023_29,142
2023_30,136
2023_31,112
2023_32,117
2023_33,143
2023_34,137
2023_35,147
2023_36,142
2023_37,135
2023_38,130
2023_39,127
2023_40,129
2023_41,154
2023_42,138
2023_43,140
2023_44,138
2023_45,125
2023_46,121
2023_47,129
2023_48,130
2023_49,59
