year_week,count
2019_38,1
2019_49,1
2019_50,1
2020_02,2
2020_06,2
2020_10,2
2020_11,1
2020_12,2
2020_15,2
2020_16,1
2020_17,1
2020_18,1
2020_19,1
2020_20,4
2020_25,1
2020_26,3
2020_29,1
2020_32,3
2020_33,1
2020_35,2
2020_36,1
2020_38,3
2020_40,2
2020_41,1
2020_42,2
2020_44,1
2020_45,1
2020_46,1
2020_47,3
2020_48,1
2020_49,1
2020_50,2
2020_51,2
2021_00,2
2021_01,4
2021_02,2
2021_03,1
2021_06,2
2021_07,2
2021_08,1
2021_09,4
2021_11,1
2021_14,1
2021_15,1
2021_17,1
2021_18,2
2021_19,2
2021_20,2
2021_21,1
2021_22,2
2021_23,2
2021_25,1
2021_26,4
2021_27,1
2021_29,2
2021_31,2
2021_32,2
2021_33,1
2021_34,2
2021_35,4
2021_36,4
2021_37,2
2021_38,4
2021_39,4
2021_40,4
2021_41,3
2021_42,2
2021_43,3
2021_44,1
2021_45,2
2021_48,1
2021_49,1
2021_50,2
2021_51,3
2021_52,1
2022_00,3
2022_01,2
2022_03,2
2022_04,2
2022_05,3
2022_06,4
2022_08,1
2022_09,2
2022_10,3
2022_11,1
2022_12,4
2022_13,2
2022_14,1
2022_15,4
2022_16,1
2022_17,2
2022_18,2
2022_19,4
2022_20,4
2022_21,2
2022_22,5
2022_23,1
2022_24,1
2022_25,1
2022_26,5
2022_27,6
2022_28,2
2022_29,3
2022_30,1
2022_31,1
2022_32,3
2022_33,1
2022_34,6
2022_35,2
2022_36,3
2022_37,5
2022_38,5
2022_39,6
2022_40,3
2022_41,2
2022_42,4
2022_43,2
2022_44,3
2022_45,2
2022_46,5
2022_47,3
2022_48,6
2022_49,4
2022_50,1
2022_51,2
2022_52,3
2023_01,4
2023_02,2
2023_03,2
2023_04,3
2023_05,1
2023_06,5
2023_07,4
2023_08,3
2023_09,5
2023_10,2
2023_11,6
2023_12,4
2023_13,1
2023_14,2
2023_15,2
2023_16,6
2023_17,4
2023_18,5
2023_19,8
2023_20,4
2023_21,1
2023_22,4
2023_23,3
2023_24,6
2023_25,1
2023_26,3
2023_27,5
2023_28,1
2023_29,5
2023_30,5
2023_31,4
2023_32,3
2023_33,3
2023_34,3
2023_35,9
2023_36,5
2023_37,1
2023_38,8
2023_39,1
2023_40,6
2023_41,2
2023_42,3
2023_43,5
2023_44,6
2023_45,2
2023_46,1
2023_47,10
2023_48,2
2023_49,2
