year_week,count
2019_30,1
2019_31,1
2019_32,3
2019_33,3
2019_34,2
2019_35,4
2019_36,4
2019_37,7
2019_38,4
2019_39,5
2019_40,3
2019_41,15
2019_42,5
2019_43,11
2019_44,8
2019_45,4
2019_46,10
2019_47,9
2019_48,6
2019_49,6
2019_50,12
2019_51,6
2019_52,2
2020_00,10
2020_01,14
2020_02,4
2020_03,11
2020_04,13
2020_05,11
2020_06,10
2020_07,13
2020_08,8
2020_09,13
2020_10,19
2020_11,8
2020_12,14
2020_13,10
2020_14,13
2020_15,16
2020_16,26
2020_17,14
2020_18,12
2020_19,13
2020_20,14
2020_21,15
2020_22,17
2020_23,20
2020_24,19
2020_25,11
2020_26,15
2020_27,14
2020_28,14
2020_29,24
2020_30,16
2020_31,15
2020_32,13
2020_33,24
2020_34,20
2020_35,23
2020_36,21
2020_37,19
2020_38,14
2020_39,25
2020_40,18
2020_41,15
2020_42,26
2020_43,17
2020_44,22
2020_45,25
2020_46,27
2020_47,30
2020_48,36
2020_49,29
2020_50,21
2020_51,23
2020_52,11
2021_00,28
2021_01,27
2021_02,25
2021_03,39
2021_04,33
2021_05,25
2021_06,24
2021_07,11
2021_08,16
2021_09,33
2021_10,34
2021_11,29
2021_12,29
2021_13,39
2021_14,36
2021_15,51
2021_16,40
2021_17,37
2021_18,41
2021_19,32
2021_20,39
2021_21,35
2021_22,34
2021_23,45
2021_24,38
2021_25,32
2021_26,35
2021_27,27
2021_28,31
2021_29,35
2021_30,35
2021_31,38
2021_32,44
2021_33,48
2021_34,36
2021_35,42
2021_36,41
2021_37,50
2021_38,45
2021_39,42
2021_40,40
2021_41,36
2021_42,40
2021_43,33
2021_44,51
2021_45,29
2021_46,44
2021_47,63
2021_48,46
2021_49,56
2021_50,42
2021_51,52
2021_52,12
2022_00,49
2022_01,49
2022_02,44
2022_03,56
2022_04,32
2022_05,44
2022_06,41
2022_07,69
2022_08,44
2022_09,55
2022_10,48
2022_11,55
2022_12,50
2022_13,60
2022_14,50
2022_15,57
2022_16,74
2022_17,57
2022_18,60
2022_19,58
2022_20,72
2022_21,50
2022_22,66
2022_23,61
2022_24,63
2022_25,54
2022_26,61
2022_27,68
2022_28,51
2022_29,70
2022_30,52
2022_31,64
2022_32,55
2022_33,66
2022_34,55
2022_35,60
2022_36,50
2022_37,59
2022_38,60
2022_39,72
2022_40,62
2022_41,65
2022_42,67
2022_43,70
2022_44,52
2022_45,70
2022_46,68
2022_47,66
2022_48,59
2022_49,68
2022_50,58
2022_51,73
2022_52,16
2023_00,68
2023_01,72
2023_02,76
2023_03,73
2023_04,78
2023_05,50
2023_06,77
2023_07,51
2023_08,72
2023_09,68
2023_10,66
2023_11,84
2023_12,78
2023_13,91
2023_14,61
2023_15,66
2023_16,81
2023_17,86
2023_18,67
2023_19,77
2023_20,72
2023_21,87
2023_22,80
2023_23,72
2023_24,82
2023_25,80
2023_26,70
2023_27,89
2023_28,74
2023_29,84
2023_30,77
2023_31,77
2023_32,75
2023_33,79
2023_34,88
2023_35,79
2023_36,88
2023_37,73
2023_38,93
2023_39,75
2023_40,90
2023_41,82
2023_42,96
2023_43,87
2023_44,76
2023_45,80
2023_46,74
2023_47,79
2023_48,95
2023_49,40
