year_week,count
2019_36,3
2019_37,1
2019_38,1
2019_39,3
2019_41,2
2019_42,1
2019_43,3
2019_44,3
2019_45,4
2019_46,2
2019_47,1
2019_48,1
2019_49,3
2019_50,1
2019_51,2
2020_00,4
2020_01,1
2020_02,3
2020_04,3
2020_05,2
2020_06,3
2020_07,2
2020_08,2
2020_09,5
2020_10,3
2020_11,2
2020_12,1
2020_13,6
2020_14,4
2020_15,5
2020_16,3
2020_17,1
2020_18,8
2020_19,3
2020_20,5
2020_21,3
2020_22,6
2020_23,2
2020_24,3
2020_25,4
2020_26,3
2020_27,4
2020_28,3
2020_29,5
2020_30,6
2020_31,2
2020_32,4
2020_33,3
2020_34,6
2020_35,6
2020_36,4
2020_37,3
2020_38,8
2020_39,6
2020_40,6
2020_41,7
2020_42,4
2020_43,2
2020_44,6
2020_45,4
2020_46,10
2020_47,5
2020_48,4
2020_49,6
2020_50,3
2020_51,12
2020_52,1
2021_00,3
2021_01,7
2021_02,8
2021_03,8
2021_04,3
2021_05,6
2021_06,6
2021_07,6
2021_08,7
2021_09,2
2021_10,8
2021_11,13
2021_12,9
2021_13,12
2021_14,12
2021_15,6
2021_16,11
2021_17,13
2021_18,11
2021_19,12
2021_20,9
2021_21,12
2021_22,5
2021_23,8
2021_24,9
2021_25,6
2021_26,9
2021_27,17
2021_28,10
2021_29,9
2021_30,9
2021_31,11
2021_32,12
2021_33,17
2021_34,15
2021_35,7
2021_36,14
2021_37,11
2021_38,10
2021_39,8
2021_40,11
2021_41,12
2021_42,10
2021_43,6
2021_44,16
2021_45,15
2021_46,4
2021_47,11
2021_48,16
2021_49,7
2021_50,5
2021_51,13
2022_00,13
2022_01,10
2022_02,6
2022_03,12
2022_04,11
2022_05,7
2022_06,15
2022_07,11
2022_08,10
2022_09,7
2022_10,16
2022_11,7
2022_12,20
2022_13,6
2022_14,13
2022_15,16
2022_16,14
2022_17,10
2022_18,7
2022_19,12
2022_20,22
2022_21,20
2022_22,13
2022_23,11
2022_24,11
2022_25,21
2022_26,15
2022_27,15
2022_28,14
2022_29,18
2022_30,12
2022_31,9
2022_32,15
2022_33,10
2022_34,19
2022_35,18
2022_36,18
2022_37,21
2022_38,10
2022_39,12
2022_40,20
2022_41,14
2022_42,15
2022_43,15
2022_44,16
2022_45,10
2022_46,16
2022_47,18
2022_48,10
2022_49,21
2022_50,24
2022_51,18
2022_52,2
2023_00,11
2023_01,15
2023_02,15
2023_03,23
2023_04,19
2023_05,15
2023_06,13
2023_07,19
2023_08,19
2023_09,22
2023_10,18
2023_11,17
2023_12,13
2023_13,19
2023_14,11
2023_15,22
2023_16,16
2023_17,21
2023_18,18
2023_19,18
2023_20,15
2023_21,17
2023_22,20
2023_23,17
2023_24,18
2023_25,15
2023_26,23
2023_27,22
2023_28,19
2023_29,33
2023_30,32
2023_31,24
2023_32,21
2023_33,19
2023_34,23
2023_35,30
2023_36,21
2023_37,20
2023_38,17
2023_39,23
2023_40,17
2023_41,20
2023_42,19
2023_43,20
2023_44,24
2023_45,16
2023_46,27
2023_47,15
2023_48,21
2023_49,8
