year_week,count
2019_31,1
2019_32,1
2019_33,4
2019_34,2
2019_37,2
2019_38,1
2019_39,6
2019_40,4
2019_41,4
2019_42,2
2019_43,3
2019_44,4
2019_46,3
2019_47,2
2019_48,8
2019_49,7
2019_50,4
2019_51,7
2019_52,1
2020_00,5
2020_01,8
2020_02,3
2020_03,8
2020_04,7
2020_05,13
2020_06,7
2020_07,16
2020_08,10
2020_09,9
2020_10,11
2020_11,12
2020_12,11
2020_13,12
2020_14,9
2020_15,11
2020_16,8
2020_17,15
2020_18,6
2020_19,19
2020_20,12
2020_21,19
2020_22,11
2020_23,12
2020_24,13
2020_25,15
2020_26,13
2020_27,12
2020_28,21
2020_29,12
2020_30,15
2020_31,18
2020_32,17
2020_33,19
2020_34,18
2020_35,13
2020_36,16
2020_37,22
2020_38,19
2020_39,18
2020_40,15
2020_41,19
2020_42,16
2020_43,15
2020_44,17
2020_45,22
2020_46,18
2020_47,36
2020_48,25
2020_49,29
2020_50,16
2020_51,26
2020_52,4
2021_00,24
2021_01,19
2021_02,22
2021_03,22
2021_04,22
2021_05,31
2021_06,22
2021_07,29
2021_08,26
2021_09,26
2021_10,28
2021_11,30
2021_12,36
2021_13,24
2021_14,27
2021_15,31
2021_16,33
2021_17,28
2021_18,20
2021_19,39
2021_20,37
2021_21,34
2021_22,23
2021_23,20
2021_24,24
2021_25,32
2021_26,20
2021_27,32
2021_28,28
2021_29,34
2021_30,33
2021_31,30
2021_32,34
2021_33,36
2021_34,42
2021_35,28
2021_36,39
2021_37,35
2021_38,36
2021_39,35
2021_40,32
2021_41,37
2021_42,34
2021_43,42
2021_44,41
2021_45,38
2021_46,37
2021_47,51
2021_48,45
2021_49,43
2021_50,33
2021_51,42
2021_52,11
2022_00,33
2022_01,34
2022_02,32
2022_03,42
2022_04,43
2022_05,29
2022_06,34
2022_07,56
2022_08,35
2022_09,37
2022_10,43
2022_11,41
2022_12,35
2022_13,43
2022_14,35
2022_15,50
2022_16,42
2022_17,52
2022_18,40
2022_19,45
2022_20,48
2022_21,60
2022_22,45
2022_23,38
2022_24,44
2022_25,44
2022_26,50
2022_27,38
2022_28,50
2022_29,45
2022_30,41
2022_31,49
2022_32,62
2022_33,50
2022_34,45
2022_35,40
2022_36,63
2022_37,60
2022_38,35
2022_39,41
2022_40,53
2022_41,61
2022_42,43
2022_43,58
2022_44,53
2022_45,49
2022_46,61
2022_47,50
2022_48,60
2022_49,56
2022_50,56
2022_51,47
2022_52,17
2023_00,41
2023_01,43
2023_02,50
2023_03,59
2023_04,54
2023_05,65
2023_06,45
2023_07,51
2023_08,70
2023_09,54
2023_10,60
2023_11,73
2023_12,71
2023_13,60
2023_14,59
2023_15,69
2023_16,57
2023_17,72
2023_18,71
2023_19,67
2023_20,65
2023_21,77
2023_22,66
2023_23,50
2023_24,62
2023_25,72
2023_26,65
2023_27,57
2023_28,72
2023_29,66
2023_30,86
2023_31,72
2023_32,70
2023_33,66
2023_34,64
2023_35,71
2023_36,66
2023_37,65
2023_38,73
2023_39,61
2023_40,78
2023_41,54
2023_42,75
2023_43,52
2023_44,80
2023_45,55
2023_46,67
2023_47,77
2023_48,70
2023_49,24
